stage	status	command	output	reason	started_utc	finished_utc
validate_registry	PASS		results\real_pipeline\real_registry_validation.tsv		2026-05-05T04:47:26.471528+00:00	2026-05-05T04:47:26.471528+00:00
audit_data_access	PASS		results\real_pipeline\real_data_access_audit.tsv		2026-05-05T04:47:26.475067+00:00	2026-05-05T04:47:26.475067+00:00
download_plan	PASS		results\real_pipeline\real_download_plan.tsv	dry-run plan only	2026-05-05T04:47:26.496147+00:00	2026-05-05T04:47:26.496147+00:00
download_public_metadata	SKIPPED	C:\Users\admin\AppData\Local\Programs\Python\Python311\python.exe scripts/download/download_geo.py --registry D:\EcoNiche-Opt\config\data_registry.yml --metadata-only	data/metadata/geo_download_summary.tsv	not requested; dry-run plan recorded instead	2026-05-05T04:47:26.496147+00:00	2026-05-05T04:47:26.496147+00:00
preprocess_build_metadata	SKIPPED	C:\Users\admin\AppData\Local\Programs\Python\Python311\python.exe scripts/preprocess/build_metadata.py		not requested; use --execute-preprocess after raw/metadata QC	2026-05-05T04:47:26.496147+00:00	2026-05-05T04:47:26.496147+00:00
preprocess_harmonize_labels	SKIPPED	C:\Users\admin\AppData\Local\Programs\Python\Python311\python.exe scripts/preprocess/harmonize_labels.py		not requested; use --execute-preprocess after raw/metadata QC	2026-05-05T04:47:26.496147+00:00	2026-05-05T04:47:26.496147+00:00
preprocess_deduplicate_patients	SKIPPED	C:\Users\admin\AppData\Local\Programs\Python\Python311\python.exe scripts/preprocess/deduplicate_patients.py		not requested; use --execute-preprocess after raw/metadata QC	2026-05-05T04:47:26.496147+00:00	2026-05-05T04:47:26.496147+00:00
preprocess_bulk	SKIPPED	C:\Users\admin\AppData\Local\Programs\Python\Python311\python.exe scripts/preprocess/preprocess_bulk.py		not requested; use --execute-preprocess after raw/metadata QC	2026-05-05T04:47:26.496147+00:00	2026-05-05T04:47:26.496147+00:00
train_econiche_real	SKIPPED	C:\Users\admin\AppData\Local\Programs\Python\Python311\python.exe scripts/model/run_econiche.py --config config/model_config.yml		not requested; existing real results are validated without overwriting	2026-05-05T04:47:26.496147+00:00	2026-05-05T04:47:26.496147+00:00
score_baselines_real	SKIPPED	C:\Users\admin\AppData\Local\Programs\Python\Python311\python.exe scripts/baselines/run_baselines.py --config config/baselines.yml		not requested; existing real results are validated without overwriting	2026-05-05T04:47:26.496147+00:00	2026-05-05T04:47:26.496147+00:00
run_lodo_real	SKIPPED	C:\Users\admin\AppData\Local\Programs\Python\Python311\python.exe scripts/benchmark/run_lodo.py		not requested; existing real results are validated without overwriting	2026-05-05T04:47:26.496147+00:00	2026-05-05T04:47:26.496147+00:00
bootstrap_compare_real	SKIPPED	C:\Users\admin\AppData\Local\Programs\Python\Python311\python.exe scripts/benchmark/bootstrap_compare.py		not requested; existing real results are validated without overwriting	2026-05-05T04:47:26.496147+00:00	2026-05-05T04:47:26.496147+00:00
calibration_real	SKIPPED	C:\Users\admin\AppData\Local\Programs\Python\Python311\python.exe scripts/benchmark/calibration.py		not requested; existing real results are validated without overwriting	2026-05-05T04:47:26.496147+00:00	2026-05-05T04:47:26.496147+00:00
decision_curve_real	SKIPPED	C:\Users\admin\AppData\Local\Programs\Python\Python311\python.exe scripts/benchmark/decision_curve.py		not requested; existing real results are validated without overwriting	2026-05-05T04:47:26.496147+00:00	2026-05-05T04:47:26.496147+00:00
validate_existing_real_results	PASS		results\real_pipeline\real_result_schema_validation.tsv		2026-05-05T04:47:26.496147+00:00	2026-05-05T04:47:26.500662+00:00
