accession	name	access_status	planned_status	download_script	preprocessing_script	action
GSE91061	Riaz_antiPD1_melanoma	public	READY	scripts/download/download_geo.py	scripts/preprocess/preprocess_bulk.py	scripts/download/download_geo.py
GSE78220	Hugo_antiPD1_melanoma	public	READY	scripts/download/download_geo.py	scripts/preprocess/preprocess_bulk.py	scripts/download/download_geo.py
GSE145996	JerbyArnon_or_related_melanoma_antiPD1	public	READY	scripts/download/download_geo.py	scripts/preprocess/preprocess_bulk.py	scripts/download/download_geo.py
GSE168204	Du_pathway_signature_melanoma_antiPD1	public	READY	scripts/download/download_geo.py	scripts/preprocess/preprocess_bulk.py	scripts/download/download_geo.py
GSE115821	Auslander_IMPRES_melanoma	public	READY	scripts/download/download_geo.py	scripts/preprocess/preprocess_bulk.py	scripts/download/download_geo.py
GSE93157	Prat_mixed_antiPD1_panel	public	READY	scripts/download/download_geo.py	scripts/preprocess/preprocess_nanostring.py	scripts/download/download_geo.py
PRJEB23709	Gide_melanoma_ICB	unknown	VERIFY_ACCESS	scripts/download/download_geo.py	scripts/preprocess/preprocess_bulk.py	manual_access_review
Liu_DFCI_melanoma	Liu_NatMed_2019_melanoma	controlled	ACCESS_RESTRICTED	ACCESS_RESTRICTED	scripts/preprocess/preprocess_bulk.py	record_instructions_only
GSE244982	acquired_resistance_melanoma_progression	public	READY	scripts/download/download_geo.py	scripts/preprocess/preprocess_bulk.py	scripts/download/download_geo.py
GSE136961	NSCLC_antiPD1_DCB_NDB	public	READY	scripts/download/download_geo.py	scripts/preprocess/preprocess_bulk.py	scripts/download/download_geo.py
GSE176307	urothelial_ICB_real_world	public	READY	scripts/download/download_geo.py	scripts/preprocess/preprocess_bulk.py	scripts/download/download_geo.py
IMvigor210	IMvigor210_urothelial_atezolizumab	unknown	VERIFY_ACCESS	scripts/download/download_xena.R	scripts/preprocess/preprocess_bulk.py	manual_access_review
GSE67501	RCC_nivolumab_small	public	READY	scripts/download/download_geo.py	scripts/preprocess/preprocess_bulk.py	scripts/download/download_geo.py
GSE121810	glioblastoma_pembrolizumab	public	READY	scripts/download/download_geo.py	scripts/preprocess/preprocess_bulk.py	scripts/download/download_geo.py
GSE140901	HCC_ICI_nCounter	public	READY	scripts/download/download_geo.py	scripts/preprocess/preprocess_nanostring.py	scripts/download/download_geo.py
GSE165252	PERFECT_esophageal_atezolizumab	public	READY	scripts/download/download_geo.py	scripts/preprocess/preprocess_bulk.py	scripts/download/download_geo.py
GSE183924	esophageal_GEj_durvalumab	public	READY	scripts/download/download_geo.py	scripts/preprocess/preprocess_bulk.py	scripts/download/download_geo.py
GSE115978	melanoma_ecosystem_scRNA	public	READY	scripts/download/download_geo.py	scripts/single_cell/preprocess_scrna.R	scripts/download/download_geo.py
GSE123139	melanoma_Tcell_states_scRNA	public	READY	scripts/download/download_geo.py	scripts/single_cell/preprocess_scrna.R	scripts/download/download_geo.py
GSE123728	melanoma_ICB_public_candidate	public	READY	scripts/download/download_geo.py	scripts/preprocess/preprocess_bulk.py	scripts/download/download_geo.py
GSE165745	melanoma_ICB_public_candidate	public	READY	scripts/download/download_geo.py	scripts/preprocess/preprocess_bulk.py	scripts/download/download_geo.py
GSE122220	melanoma_ICB_public_candidate	public	READY	scripts/download/download_geo.py	scripts/preprocess/preprocess_bulk.py	scripts/download/download_geo.py
TCGA_SKCM_Xena	TCGA_SKCM_UCSC_Xena	public	READY	scripts/download/download_xena.R	scripts/preprocess/preprocess_bulk.py	scripts/download/download_xena.R
GDC_TCGA_SKCM	TCGA_SKCM_GDC	public	READY	scripts/download/download_xena.R	scripts/preprocess/preprocess_bulk.py	scripts/download/download_xena.R
LINCS_L1000	LINCS_L1000_perturbation	public	READY	scripts/download/download_lincs_template.py	scripts/perturbation/lincs_reversal.py	scripts/download/download_lincs_template.py
CMap	Connectivity_Map	unknown	VERIFY_ACCESS	scripts/download/download_lincs_template.py	scripts/perturbation/lincs_reversal.py	manual_access_review
DepMap	DepMap_dependency	public	READY	scripts/download/download_depmap_template.py	scripts/perturbation/depmap_prioritize.py	scripts/download/download_depmap_template.py
DGIdb	Drug_Gene_Interaction_database	public	READY	scripts/perturbation/dgidb_lookup.py	scripts/perturbation/dgidb_lookup.py	scripts/perturbation/dgidb_lookup.py
DrugBank_optional	DrugBank_optional	controlled	ACCESS_RESTRICTED	ACCESS_RESTRICTED	scripts/perturbation/dgidb_lookup.py	record_instructions_only
