	tumor_dedifferentiation	antigen_presentation_mhc	tnk_effector	tcell_dysfunction	caf_ecm_exclusion	myeloid_suppression
AXL	0.9	0.0	0.0	0.0	0.0	0.0
B2M	0.0	0.9	0.0	0.0	0.0	0.0
CD163	0.0	0.0	0.0	0.0	0.0	0.9
COL1A1	0.0	0.0	0.0	0.0	0.9	0.0
COL3A1	0.0	0.0	0.0	0.0	0.9	0.0
CXCL12	0.0	0.0	0.0	0.0	0.9	0.0
FN1	0.0	0.0	0.0	0.0	0.9	0.0
GNLY	0.0	0.0	0.9	0.0	0.0	0.0
GZMB	0.0	0.0	0.9	0.0	0.0	0.0
HAVCR2	0.0	0.0	0.0	0.9	0.0	0.0
HLA-A	0.0	0.9	0.0	0.0	0.0	0.0
HLA-B	0.0	0.9	0.0	0.0	0.0	0.0
IFNG	0.0	0.0	0.9	0.0	0.0	0.0
IL10	0.0	0.0	0.0	0.0	0.0	0.9
ITGA3	0.9	0.0	0.0	0.0	0.0	0.0
LAG3	0.0	0.0	0.0	0.9	0.0	0.0
LILRB2	0.0	0.0	0.0	0.0	0.0	0.9
NGFR	0.9	0.0	0.0	0.0	0.0	0.0
NKG7	0.0	0.0	0.9	0.0	0.0	0.0
PDCD1	0.0	0.0	0.0	0.9	0.0	0.0
PRF1	0.0	0.0	0.9	0.0	0.0	0.0
S100A8	0.0	0.0	0.0	0.0	0.0	0.9
S100A9	0.0	0.0	0.0	0.0	0.0	0.9
TAP1	0.0	0.9	0.0	0.0	0.0	0.0
TAP2	0.0	0.9	0.0	0.0	0.0	0.0
TGFB1	0.0	0.0	0.0	0.0	0.9	0.0
TIGIT	0.0	0.0	0.0	0.9	0.0	0.0
TOX	0.0	0.0	0.0	0.9	0.0	0.0
VIM	0.9	0.0	0.0	0.0	0.0	0.0
ZEB1	0.9	0.0	0.0	0.0	0.0	0.0
