"relative_path"	"Length"	"LastWriteTime"
"figures\article\article_suite_contact.png"	"1604638"	"2026/5/8 13:06:06"
"figures\article\fig1_study_design_benchmark.pdf"	"63545"	"2026/5/8 13:04:27"
"figures\article\fig1_study_design_benchmark.png"	"1009690"	"2026/5/8 13:04:26"
"figures\article\fig1_study_design_benchmark.svg"	"78874"	"2026/5/8 13:04:28"
"figures\article\fig1_study_design_benchmark.tiff"	"111653630"	"2026/5/8 13:04:27"
"figures\article\fig2_model_optimizer.pdf"	"79365"	"2026/5/8 13:04:29"
"figures\article\fig2_model_optimizer.png"	"739513"	"2026/5/8 13:04:29"
"figures\article\fig2_model_optimizer.svg"	"55414"	"2026/5/8 13:04:29"
"figures\article\fig2_model_optimizer.tiff"	"111632882"	"2026/5/8 13:04:29"
"figures\article\fig3_primary_melanoma_performance.pdf"	"60267"	"2026/5/8 13:04:31"
"figures\article\fig3_primary_melanoma_performance.png"	"777168"	"2026/5/8 13:04:30"
"figures\article\fig3_primary_melanoma_performance.svg"	"74085"	"2026/5/8 13:04:31"
"figures\article\fig3_primary_melanoma_performance.tiff"	"112467142"	"2026/5/8 13:04:31"
"figures\article\fig4_robustness_ablation_claims.pdf"	"54924"	"2026/5/8 13:04:33"
"figures\article\fig4_robustness_ablation_claims.png"	"829817"	"2026/5/8 13:04:32"
"figures\article\fig4_robustness_ablation_claims.svg"	"53701"	"2026/5/8 13:04:33"
"figures\article\fig4_robustness_ablation_claims.tiff"	"111446630"	"2026/5/8 13:04:33"
"figures\article\fig5_external_panel_rescue.pdf"	"52719"	"2026/5/8 13:04:34"
"figures\article\fig5_external_panel_rescue.png"	"659593"	"2026/5/8 13:04:34"
"figures\article\fig5_external_panel_rescue.svg"	"49180"	"2026/5/8 13:04:34"
"figures\article\fig5_external_panel_rescue.tiff"	"111640366"	"2026/5/8 13:04:34"
"figures\article\fig6_mechanism_perturbation.pdf"	"80186"	"2026/5/8 13:04:37"
"figures\article\fig6_mechanism_perturbation.png"	"931767"	"2026/5/8 13:04:35"
"figures\article\fig6_mechanism_perturbation.svg"	"93495"	"2026/5/8 13:04:37"
"figures\article\fig6_mechanism_perturbation.tiff"	"133053610"	"2026/5/8 13:04:36"
"figures\article\fig7_translation_package.pdf"	"54739"	"2026/5/8 13:04:38"
"figures\article\fig7_translation_package.png"	"691310"	"2026/5/8 13:04:38"
"figures\article\fig7_translation_package.svg"	"49061"	"2026/5/8 13:04:38"
"figures\article\fig7_translation_package.tiff"	"112237262"	"2026/5/8 13:04:38"
"figures\article\figure_manifest.tsv"	"3884"	"2026/5/8 13:04:52"
"figures\article\suppfig10_reproducibility_package.pdf"	"39070"	"2026/5/8 13:04:52"
"figures\article\suppfig10_reproducibility_package.png"	"197115"	"2026/5/8 13:04:52"
"figures\article\suppfig10_reproducibility_package.svg"	"14124"	"2026/5/8 13:04:52"
"figures\article\suppfig10_reproducibility_package.tiff"	"59247446"	"2026/5/8 13:04:52"
