"directory"	"name"	"type"	"bytes"	"last_write_time"
"external"	"depmap_manifest.tsv"	"file"	"584"	"2026-05-05T12:42:09"
"external"	"external_cohort_index.tsv"	"file"	"2352"	"2026-05-05T12:43:29"
"external"	"external_data_manifest.tsv"	"file"	"11236"	"2026-05-05T12:45:04"
"external"	"lincs_enrichr_manifest.tsv"	"file"	"59802"	"2026-05-05T12:17:39"
"external"	"README.md"	"file"	"437"	"2026-05-05T12:42:58"
"external"	"xena_tcga_manifest.tsv"	"file"	"1643"	"2026-05-05T12:19:30"
"interim"	"expression_qc_report_real_refresh.tsv"	"file"	"1767"	"2026-05-05T11:52:15"
"interim"	"interim_artifact_manifest.tsv"	"file"	"7467"	"2026-05-05T12:43:29"
"interim"	"pipeline_run_manifest.tsv"	"file"	"6118"	"2026-05-05T12:49:19"
"interim"	"public_cohort_smoke_tests.tsv"	"file"	"2848"	"2026-05-05T12:47:27"
"interim"	"README.md"	"file"	"448"	"2026-05-05T12:43:05"
"interim"	"real_result_schema_validation.tsv"	"file"	"197"	"2026-05-05T12:47:26"
