"path"	"line"	"marker"	"text"
"results\audit\data_access_audit.tsv"	"9"	"ACCESS_RESTRICTED"	"Liu_DFCI_melanoma	Liu_NatMed_2019_melanoma	A	melanoma	anti-PD1	RNA-seq_WES	locked_external_if_accessible	dbGaP_or_controlled_verify	controlled	high	ACCESS_RESTRICTED	True	controlled	emit_access_instructions"
"results\audit\data_access_audit.tsv"	"30"	"ACCESS_RESTRICTED"	"DrugBank_optional	DrugBank_optional	E	actionability_reference	drug_gene_interaction	database	optional_actionability_annotation	controlled_or_license_required	controlled	low	ACCESS_RESTRICTED	True	controlled	emit_access_instructions"
"results\audit\public_cohort_smoke_tests.tsv"	"4"	"RESULT_PENDING"	"GSE145996	public	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests.tsv"	"7"	"RESULT_PENDING"	"GSE93157	public	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests.tsv"	"8"	"RESULT_PENDING"	"PRJEB23709	unknown	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests.tsv"	"9"	"ACCESS_RESTRICTED"	"Liu_DFCI_melanoma	controlled	True	False	False	False	ACCESS_RESTRICTED	controlled_or_licensed_access"
"results\audit\public_cohort_smoke_tests.tsv"	"10"	"RESULT_PENDING"	"GSE244982	public	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests.tsv"	"13"	"RESULT_PENDING"	"IMvigor210	unknown	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests.tsv"	"14"	"RESULT_PENDING"	"GSE67501	public	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests.tsv"	"15"	"RESULT_PENDING"	"GSE121810	public	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests.tsv"	"16"	"RESULT_PENDING"	"GSE140901	public	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests.tsv"	"17"	"RESULT_PENDING"	"GSE165252	public	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests.tsv"	"18"	"RESULT_PENDING"	"GSE183924	public	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests.tsv"	"19"	"RESULT_PENDING"	"GSE115978	public	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests.tsv"	"20"	"RESULT_PENDING"	"GSE123139	public	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests.tsv"	"21"	"RESULT_PENDING"	"GSE123728	public	False	False	False	False	RESULT_PENDING	public_entry_registered_but_not_downloaded_or_curated"
"results\audit\public_cohort_smoke_tests.tsv"	"22"	"RESULT_PENDING"	"GSE165745	public	False	False	False	False	RESULT_PENDING	public_entry_registered_but_not_downloaded_or_curated"
"results\audit\public_cohort_smoke_tests.tsv"	"23"	"RESULT_PENDING"	"GSE122220	public	False	False	False	False	RESULT_PENDING	public_entry_registered_but_not_downloaded_or_curated"
"results\audit\public_cohort_smoke_tests.tsv"	"30"	"ACCESS_RESTRICTED"	"DrugBank_optional	controlled	False	False	False	False	ACCESS_RESTRICTED	controlled_or_licensed_access"
"results\audit\public_cohort_smoke_tests_cli.tsv"	"4"	"RESULT_PENDING"	"GSE145996	public	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests_cli.tsv"	"7"	"RESULT_PENDING"	"GSE93157	public	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests_cli.tsv"	"8"	"RESULT_PENDING"	"PRJEB23709	unknown	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests_cli.tsv"	"9"	"ACCESS_RESTRICTED"	"Liu_DFCI_melanoma	controlled	True	False	False	False	ACCESS_RESTRICTED	controlled_or_licensed_access"
"results\audit\public_cohort_smoke_tests_cli.tsv"	"10"	"RESULT_PENDING"	"GSE244982	public	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests_cli.tsv"	"13"	"RESULT_PENDING"	"IMvigor210	unknown	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests_cli.tsv"	"14"	"RESULT_PENDING"	"GSE67501	public	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests_cli.tsv"	"15"	"RESULT_PENDING"	"GSE121810	public	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests_cli.tsv"	"16"	"RESULT_PENDING"	"GSE140901	public	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests_cli.tsv"	"17"	"RESULT_PENDING"	"GSE165252	public	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests_cli.tsv"	"18"	"RESULT_PENDING"	"GSE183924	public	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests_cli.tsv"	"19"	"RESULT_PENDING"	"GSE115978	public	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests_cli.tsv"	"20"	"RESULT_PENDING"	"GSE123139	public	True	False	False	False	RESULT_PENDING	raw_or_metadata_available_but_not_in_current_result_table"
"results\audit\public_cohort_smoke_tests_cli.tsv"	"21"	"RESULT_PENDING"	"GSE123728	public	False	False	False	False	RESULT_PENDING	public_entry_registered_but_not_downloaded_or_curated"
"results\audit\public_cohort_smoke_tests_cli.tsv"	"22"	"RESULT_PENDING"	"GSE165745	public	False	False	False	False	RESULT_PENDING	public_entry_registered_but_not_downloaded_or_curated"
"results\audit\public_cohort_smoke_tests_cli.tsv"	"23"	"RESULT_PENDING"	"GSE122220	public	False	False	False	False	RESULT_PENDING	public_entry_registered_but_not_downloaded_or_curated"
"results\audit\public_cohort_smoke_tests_cli.tsv"	"30"	"ACCESS_RESTRICTED"	"DrugBank_optional	controlled	False	False	False	False	ACCESS_RESTRICTED	controlled_or_licensed_access"
"results\real\deconvolution_cohort_summary.tsv"	"17"	"RESULT_PENDING"	"GSE136961	endothelial	21	0				1	RESULT_PENDING"
"results\real\deconvolution_cohort_summary.tsv"	"18"	"RESULT_PENDING"	"GSE136961	fibroblast_caf	21	0				0	RESULT_PENDING"
"results\real\pancancer_transfer_metrics.tsv"	"4"	"RESULT_PENDING"	"														cancer_type_intercept_only				RESULT_PENDING	Calibration cohort not configured yet"
"results\real\pancancer_transfer_metrics.tsv"	"5"	"RESULT_PENDING"	"														state_level_recalibration				RESULT_PENDING	Cancer-type-specific calibration not configured yet"
"results\real_pipeline\real_data_access_audit.tsv"	"9"	"ACCESS_RESTRICTED"	"Liu_DFCI_melanoma	Liu_NatMed_2019_melanoma	A	melanoma	anti-PD1	RNA-seq_WES	locked_external_if_accessible	dbGaP_or_controlled_verify	controlled	high	ACCESS_RESTRICTED	True	controlled	emit_access_instructions"
"results\real_pipeline\real_data_access_audit.tsv"	"30"	"ACCESS_RESTRICTED"	"DrugBank_optional	DrugBank_optional	E	actionability_reference	drug_gene_interaction	database	optional_actionability_annotation	controlled_or_license_required	controlled	low	ACCESS_RESTRICTED	True	controlled	emit_access_instructions"
"results\real_pipeline\real_download_plan.tsv"	"8"	"VERIFY_ACCESS"	"PRJEB23709	Gide_melanoma_ICB	unknown	VERIFY_ACCESS	scripts/download/download_geo.py	scripts/preprocess/preprocess_bulk.py	manual_access_review"
"results\real_pipeline\real_download_plan.tsv"	"9"	"ACCESS_RESTRICTED"	"Liu_DFCI_melanoma	Liu_NatMed_2019_melanoma	controlled	ACCESS_RESTRICTED	ACCESS_RESTRICTED	scripts/preprocess/preprocess_bulk.py	record_instructions_only"
"results\real_pipeline\real_download_plan.tsv"	"13"	"VERIFY_ACCESS"	"IMvigor210	IMvigor210_urothelial_atezolizumab	unknown	VERIFY_ACCESS	scripts/download/download_xena.R	scripts/preprocess/preprocess_bulk.py	manual_access_review"
"results\real_pipeline\real_download_plan.tsv"	"27"	"VERIFY_ACCESS"	"CMap	Connectivity_Map	unknown	VERIFY_ACCESS	scripts/download/download_lincs_template.py	scripts/perturbation/lincs_reversal.py	manual_access_review"
"results\real_pipeline\real_download_plan.tsv"	"30"	"ACCESS_RESTRICTED"	"DrugBank_optional	DrugBank_optional	controlled	ACCESS_RESTRICTED	ACCESS_RESTRICTED	scripts/perturbation/dgidb_lookup.py	record_instructions_only"
"paper\demo_manuscript.md"	"13"	"ACCESS_RESTRICTED"	"Controlled or license-restricted resources are marked ACCESS_RESTRICTED and are not replaced by fabricated data."
"paper\demo_reproducibility_report.md"	"6"	"ACCESS_RESTRICTED"	"- restricted_data_policy: ACCESS_RESTRICTED datasets are documented, not imputed"
"paper\manuscript.md"	"5"	"RESULT_PENDING"	"[RESULT_PENDING]"
"paper\manuscript.md"	"18"	"RESULT_PENDING"	"[RESULT_PENDING: run registry audit and benchmark first]"
"paper\manuscript.md"	"26"	"RESULT_PENDING"	"[RESULT_PENDING: run EcoNiche-Opt on real cohorts first]"
"paper\manuscript.md"	"30"	"RESULT_PENDING"	"[RESULT_PENDING: run locked external benchmark first]"
"paper\manuscript.md"	"34"	"RESULT_PENDING"	"[RESULT_PENDING: run pan-cancer transfer first]"
"paper\manuscript.md"	"38"	"RESULT_PENDING"	"[RESULT_PENDING: run single-cell mapping first]"
"paper\manuscript.md"	"42"	"RESULT_PENDING"	"[RESULT_PENDING: run perturbation prioritization first]"
"paper\real_manuscript.md"	"13"	"ACCESS_RESTRICTED"	"Controlled or license-restricted resources are marked ACCESS_RESTRICTED and are not replaced by fabricated data."
"paper\real_reproducibility_report.md"	"6"	"ACCESS_RESTRICTED"	"- restricted_data_policy: ACCESS_RESTRICTED datasets are documented, not imputed"
"paper\supplement.md"	"3"	"RESULT_PENDING"	"[RESULT_PENDING]"
"docs\run_public_data.md"	"68"	"RESULT_PENDING"	"Without `--execute-real`, these scripts record `RESULT_PENDING` instead of accidentally using demo processed inputs."
"docs\run_public_data.md"	"70"	"ACCESS_RESTRICTED"	"Controlled or licensed cohorts must remain `ACCESS_RESTRICTED` until approved files are available locally."
"docs\troubleshooting.md"	"7"	"RESULT_PENDING"	"- Real-data result missing: write `RESULT_PENDING` and document the reason rather than inventing values."
