"item"	"path"	"status"	"detail"
"goal_status"	"docs/goal_status.yml"	"PASS"	"81/81 goals completed; 0 interface_completed"
"real_lodo_metrics"	"results/real/lodo_metrics.tsv"	"PASS"	"6 rows"
"deconvolution_scores"	"results/real/deconvolution_scores.tsv"	"PASS"	"2497 scored rows"
"xena_tcga_manifest"	"results/real/xena_tcga_manifest.tsv"	"PASS"	"4 manifest rows"
"lincs_reversal"	"results/perturbation/lincs_reversal.tsv"	"PASS"	"200 LINCS rows"
"dgidb_hits"	"results/perturbation/dgidb_hits.tsv"	"PASS"	"381 DGIdb rows"
"depmap_targets"	"results/perturbation/depmap_targets.tsv"	"PASS"	"24 DepMap target rows"
"prioritized_perturbations"	"results/perturbation/prioritized_perturbations.tsv"	"PASS"	"100 hypothesis-only rows"
"data_external_layer"	"data/external/external_data_manifest.tsv"	"PASS"	"59 external/raw files indexed"
"data_interim_layer"	"data/interim/interim_artifact_manifest.tsv"	"PASS"	"70 interim artifacts indexed"
