endpoint	stratum	target_model	baseline_model	n_samples	target_AUROC	baseline_AUROC	delta_AUROC	mean_delta	ci_low	ci_high	p_value	one_sided_p	one_sided_ci_low	one_sided_ci_high	two_sided_fdr_q	one_sided_fdr_q	claim_level
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-HeuristicEcology	IFNG	117	0.7049025769956003	0.6643620364550596	0.04054054054054068	0.0413725512499854	-0.009968052291421736	0.09146396694945218	0.1064	0.0556	-0.0012085799823092099	0.08257839721254356	0.14186666666666667	0.07413333333333333	point_estimate_only
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-HeuristicEcology	CXCL9	117	0.7049025769956003	0.6656191074795725	0.03928346951602779	0.04018841903167344	-0.013333333333333308	0.09238095238095223	0.1308	0.0704	-0.004288781963279925	0.08303190517934111	0.14948571428571428	0.08045714285714287	point_estimate_only
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-HeuristicEcology	TIG	117	0.7049025769956003	0.6656191074795725	0.03928346951602779	0.039736778909473726	-0.00433313195542225	0.08343216154833609	0.08	0.037	0.002955066805417268	0.07514870247901924	0.128	0.059199999999999996	point_estimate_only
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-HeuristicEcology	TIDE_dysfunction	117	0.7049025769956003	0.6546197360150849	0.050282840980515386	0.05055975211633308	-0.001333977116301171	0.10384606388124072	0.0572	0.0322	0.006219268926934365	0.09513997754382378	0.128	0.059199999999999996	point_estimate_only
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-HeuristicEcology	APM	117	0.7049025769956003	0.6637335009428034	0.04116907605279696	0.041760529521903164	-0.029622455529066654	0.11385666250842397	0.2532	0.1256	-0.016301593881896014	0.1027835305719921	0.2532	0.1256	point_estimate_only
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-HeuristicEcology	CYT	117	0.7049025769956003	0.6297925832809553	0.075109993714645	0.0750096460594297	0.01836671931476472	0.13200722165191348	0.0108	0.0042	0.028697813400234553	0.12188551165146902	0.0864	0.0336	pre_directional_FDR_supported
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-HeuristicEcology	IPRES	117	0.7049025769956003	0.5669390320553112	0.13796354494028917	0.13796881634414332	-0.01132544581618653	0.2861530520905522	0.0728	0.0352	0.013473571057899005	0.2611657988898886	0.128	0.059199999999999996	point_estimate_only
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-HeuristicEcology	TIDE_exclusion	117	0.7049025769956003	0.5436832181018227	0.1612193588937776	0.1607275354710273	0.005646061140956181	0.30938274548158995	0.0428	0.02	0.0335265172601008	0.2891278501813665	0.128	0.059199999999999996	point_estimate_only
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-HeuristicEcology	IFNG	131	0.6845588235294118	0.6397058823529411	0.04485294117647065	0.044348428106465686	-0.003677888838462306	0.09362830403808382	0.0756	0.0336	0.004457677437172193	0.08588932644492739	0.1512	0.0672	point_estimate_only
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-HeuristicEcology	CXCL9	131	0.6845588235294118	0.649264705882353	0.03529411764705881	0.034960871330590115	-0.016677841687713964	0.08800444226316319	0.1748	0.0906	-0.007754043494340667	0.07775654061408732	0.19977142857142857	0.10354285714285714	point_estimate_only
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-HeuristicEcology	TIG	131	0.6845588235294118	0.6443627450980393	0.04019607843137252	0.03986348580853113	-0.0016840139466721108	0.08134053382118406	0.0648	0.0282	0.005689900426742556	0.07514097144073739	0.1512	0.0672	point_estimate_only
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-HeuristicEcology	TIDE_dysfunction	131	0.6845588235294118	0.6455882352941177	0.03897058823529409	0.03861672350248019	-0.009287148594377514	0.08750105218855209	0.1184	0.0628	-0.0023035778126117286	0.08214795424701081	0.15786666666666668	0.08373333333333333	point_estimate_only
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-HeuristicEcology	APM	131	0.6845588235294118	0.6419117647058823	0.04264705882352948	0.04196153167739231	-0.029458714460908392	0.11611856027086291	0.2512	0.1224	-0.017172722747635715	0.10129417620706815	0.2512	0.1224	point_estimate_only
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-HeuristicEcology	CYT	131	0.6845588235294118	0.6242647058823529	0.06029411764705883	0.05987255161900207	0.007921302993212346	0.1104886430473773	0.0272	0.0078	0.018180655661474084	0.10543550568111966	0.1512	0.0624	point_estimate_only
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-HeuristicEcology	IPRES	131	0.6845588235294118	0.5732843137254903	0.1112745098039215	0.11155634232825591	-0.0226409666283084	0.2456681056217294	0.1128	0.0514	-0.0007416515386586776	0.22090133940900308	0.15786666666666668	0.08224000000000001	point_estimate_only
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-HeuristicEcology	TIDE_exclusion	131	0.6845588235294118	0.5392156862745099	0.1453431372549019	0.14474210720524758	0.0026446733343285346	0.28243084918956995	0.0452	0.0202	0.0281144883485309	0.2597971148158526	0.1512	0.0672	point_estimate_only
