context_id	context_type	source_context	endpoint	model_name	n_samples	n_high_score	n_low_score	responders_high_score	responders_low_score	response_rate_high_score	response_rate_low_score	response_rate_difference	response_rate_ratio	odds_ratio_haldane	fisher_two_sided_p	fisher_greater_p	threshold_policy	fisher_two_sided_q	fisher_greater_q
locked_external|clinical_benefit|locked_external_melanoma_combination_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	32	17	15	15	11	0.8823529411764706	0.7333333333333333	0.14901960784313728	1.2032085561497328	2.4260869565217393	0.38280187863057724	0.2667161043134347	locked_or_training_fold_threshold	0.6474818760456128	0.4191253067782545
locked_external|clinical_benefit|locked_external_melanoma_pd1_like	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	121	58	63	36	30	0.6206896551724138	0.47619047619047616	0.14449917898193765	1.3034482758620691	1.781785063752277	0.14397610605159628	0.07880035362046704	locked_or_training_fold_threshold	0.3519415925705687	0.21670097245628436
locked_external|clinical_benefit|locked_external_melanoma_pd1_recist	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	14	6	8	4	5	0.6666666666666666	0.625	0.04166666666666663	1.0666666666666667	1.1454545454545455	1.0	0.6573426573426574	locked_or_training_fold_threshold	1.0	0.7230769230769232
locked_external|clinical_benefit|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	24	15	9	11	5	0.7333333333333333	0.5555555555555556	0.1777777777777777	1.3199999999999998	2.090909090909091	0.4120339211199354	0.32453896890564	locked_or_training_fold_threshold	0.6474818760456128	0.446241082245255
locked_external|clinical_benefit|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	65	38	27	22	14	0.5789473684210527	0.5185185185185185	0.060428849902534165	1.1165413533834587	1.2695924764890283	0.8004746992361855	0.40868271643123416	locked_or_training_fold_threshold	0.8805221691598041	0.5288835153815972
locked_external|primary_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	32	18	14	14	7	0.7777777777777778	0.5	0.2777777777777778	1.5555555555555556	3.2222222222222223	0.14218938917637955	0.10290338701616931	locked_or_training_fold_threshold	0.3519415925705687	0.2515416127061917
locked_external|primary_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	121	63	58	28	22	0.4444444444444444	0.3793103448275862	0.06513409961685823	1.1717171717171717	1.3023474178403756	0.5796075808001826	0.29409067566581903	locked_or_training_fold_threshold	0.7236467236467238	0.4313329909765346
locked_external|primary_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	14	7	7	3	5	0.42857142857142855	0.7142857142857143	-0.28571428571428575	0.6	0.35353535353535354	0.592074592074592	0.9487179487179487	locked_or_training_fold_threshold	0.7236467236467238	0.9487179487179488
locked_external|primary_recist|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	24	16	8	6	0	0.375	0.0	0.375		10.523809523809524	0.06636155606407323	0.05949656750572083	locked_or_training_fold_threshold	0.2919908466819222	0.21670097245628436
locked_external|primary_recist|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	65	39	26	12	8	0.3076923076923077	0.3076923076923077	0.0	1.0	0.9893048128342246	1.0	0.6103793274996381	locked_or_training_fold_threshold	1.0	0.7067550107890547
locked_external|strict_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	27	16	11	14	7	0.875	0.6363636363636364	0.23863636363636365	1.375	3.48	0.18736529171311778	0.16031215161649948	locked_or_training_fold_threshold	0.4122036417688591	0.29777051885324685
locked_external|strict_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	103	49	54	26	22	0.5306122448979592	0.4074074074074074	0.12320483749055183	1.3024118738404453	1.6288416075650118	0.23935740514369758	0.14592516327031563	locked_or_training_fold_threshold	0.47871481028739515	0.29777051885324685
locked_external|strict_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	13	6	7	3	5	0.5	0.7142857142857143	-0.2142857142857143	0.7	0.45454545454545453	0.5920745920745921	0.9137529137529138	locked_or_training_fold_threshold	0.7236467236467238	0.9487179487179488
locked_external|strict_recist|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	14	10	4	6	0	0.6	0.0	0.6		13.0	0.0849150849150849	0.06993006993006994	locked_or_training_fold_threshold	0.29446653647503623	0.21670097245628436
locked_external|strict_recist|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	49	28	21	12	8	0.42857142857142855	0.38095238095238093	0.047619047619047616	1.125	1.2032085561497325	0.7767872116226979	0.48436462238715994	locked_or_training_fold_threshold	0.8805221691598041	0.5920012051398621
primary_lodo|primary_recist|melanoma_core_high_evidence	standard_context	primary_lodo	primary_recist	EcoNiche-Opt-HeuristicEcology	117	54	63	26	17	0.48148148148148145	0.2698412698412698	0.21164021164021163	1.7843137254901962	2.4706766917293232	0.021680287554225915	0.014726836175373284	locked_or_training_fold_threshold	0.23848316309648507	0.16054907805432905
primary_lodo|primary_recist|melanoma_recist_supported_primary	standard_context	primary_lodo	primary_recist	EcoNiche-Opt-HeuristicEcology	131	62	69	30	21	0.4838709677419355	0.30434782608695654	0.17952314165497896	1.5898617511520736	2.116994633273703	0.04817741324400424	0.027014750777425448	locked_or_training_fold_threshold	0.2919908466819222	0.16054907805432905
locked_external|strict_recist|strict_melanoma_pd1_like_pooled	predeclared_strict_external_pool	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	116	55	61	29	27	0.5272727272727272	0.4426229508196721	0.0846497764530551	1.1912457912457912	1.3965694682675815	0.45699194655943903	0.23430519556606236	locked_or_training_fold_threshold	0.670254854953844	0.3965164848041055
