candidate	weights_json
single__EcoNiche-Opt-ModulePriorFixed	"{""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
single__IFNG	"{""IFNG"": 1.0}"
single__CXCL9	"{""CXCL9"": 1.0}"
single__TIG	"{""TIG"": 1.0}"
single__TIDE_dysfunction	"{""TIDE_dysfunction"": 1.0}"
single__TIDE_exclusion	"{""TIDE_exclusion"": 1.0}"
single__CYT	"{""CYT"": 1.0}"
single__APM	"{""APM"": 1.0}"
single__IPRES	"{""IPRES"": 1.0}"
immune_family_mean	"{""APM"": 0.16666666666666666, ""CXCL9"": 0.16666666666666666, ""CYT"": 0.16666666666666666, ""IFNG"": 0.16666666666666666, ""TIDE_dysfunction"": 0.16666666666666666, ""TIG"": 0.16666666666666666}"
eight_signature_family_mean	"{""APM"": 0.125, ""CXCL9"": 0.125, ""CYT"": 0.125, ""IFNG"": 0.125, ""IPRES"": 0.125, ""TIDE_dysfunction"": 0.125, ""TIDE_exclusion"": 0.125, ""TIG"": 0.125}"
module_plus_immune_family_alpha0.5	"{""APM"": 0.08333333333333331, ""CXCL9"": 0.08333333333333331, ""CYT"": 0.08333333333333331, ""EcoNiche-Opt-ModulePriorFixed"": 0.4999999999999999, ""IFNG"": 0.08333333333333331, ""TIDE_dysfunction"": 0.08333333333333331, ""TIG"": 0.08333333333333331}"
module_plus_eight_family_alpha0.5	"{""APM"": 0.0625, ""CXCL9"": 0.0625, ""CYT"": 0.0625, ""EcoNiche-Opt-ModulePriorFixed"": 0.5, ""IFNG"": 0.0625, ""IPRES"": 0.0625, ""TIDE_dysfunction"": 0.0625, ""TIDE_exclusion"": 0.0625, ""TIG"": 0.0625}"
module_plus_immune_family_alpha0.65	"{""APM"": 0.05833333333333333, ""CXCL9"": 0.05833333333333333, ""CYT"": 0.05833333333333333, ""EcoNiche-Opt-ModulePriorFixed"": 0.65, ""IFNG"": 0.05833333333333333, ""TIDE_dysfunction"": 0.05833333333333333, ""TIG"": 0.05833333333333333}"
module_plus_eight_family_alpha0.65	"{""APM"": 0.04375000000000001, ""CXCL9"": 0.04375000000000001, ""CYT"": 0.04375000000000001, ""EcoNiche-Opt-ModulePriorFixed"": 0.6500000000000002, ""IFNG"": 0.04375000000000001, ""IPRES"": 0.04375000000000001, ""TIDE_dysfunction"": 0.04375000000000001, ""TIDE_exclusion"": 0.04375000000000001, ""TIG"": 0.04375000000000001}"
module_plus_immune_family_alpha0.75	"{""APM"": 0.04166666666666667, ""CXCL9"": 0.04166666666666667, ""CYT"": 0.04166666666666667, ""EcoNiche-Opt-ModulePriorFixed"": 0.7500000000000002, ""IFNG"": 0.04166666666666667, ""TIDE_dysfunction"": 0.04166666666666667, ""TIG"": 0.04166666666666667}"
module_plus_eight_family_alpha0.75	"{""APM"": 0.03125, ""CXCL9"": 0.03125, ""CYT"": 0.03125, ""EcoNiche-Opt-ModulePriorFixed"": 0.75, ""IFNG"": 0.03125, ""IPRES"": 0.03125, ""TIDE_dysfunction"": 0.03125, ""TIDE_exclusion"": 0.03125, ""TIG"": 0.03125}"
module_plus_immune_family_alpha0.85	"{""APM"": 0.025000000000000005, ""CXCL9"": 0.025000000000000005, ""CYT"": 0.025000000000000005, ""EcoNiche-Opt-ModulePriorFixed"": 0.85, ""IFNG"": 0.025000000000000005, ""TIDE_dysfunction"": 0.025000000000000005, ""TIG"": 0.025000000000000005}"
module_plus_eight_family_alpha0.85	"{""APM"": 0.01875, ""CXCL9"": 0.01875, ""CYT"": 0.01875, ""EcoNiche-Opt-ModulePriorFixed"": 0.8499999999999998, ""IFNG"": 0.01875, ""IPRES"": 0.01875, ""TIDE_dysfunction"": 0.01875, ""TIDE_exclusion"": 0.01875, ""TIG"": 0.01875}"
module_plus_IFNG_alpha0.5	"{""EcoNiche-Opt-ModulePriorFixed"": 0.5, ""IFNG"": 0.5}"
module_plus_IFNG_alpha0.65	"{""EcoNiche-Opt-ModulePriorFixed"": 0.65, ""IFNG"": 0.35}"
module_plus_IFNG_alpha0.8	"{""EcoNiche-Opt-ModulePriorFixed"": 0.8, ""IFNG"": 0.19999999999999996}"
module_plus_CXCL9_alpha0.5	"{""CXCL9"": 0.5, ""EcoNiche-Opt-ModulePriorFixed"": 0.5}"
module_plus_CXCL9_alpha0.65	"{""CXCL9"": 0.35, ""EcoNiche-Opt-ModulePriorFixed"": 0.65}"
module_plus_CXCL9_alpha0.8	"{""CXCL9"": 0.19999999999999996, ""EcoNiche-Opt-ModulePriorFixed"": 0.8}"
module_plus_TIG_alpha0.5	"{""EcoNiche-Opt-ModulePriorFixed"": 0.5, ""TIG"": 0.5}"
module_plus_TIG_alpha0.65	"{""EcoNiche-Opt-ModulePriorFixed"": 0.65, ""TIG"": 0.35}"
module_plus_TIG_alpha0.8	"{""EcoNiche-Opt-ModulePriorFixed"": 0.8, ""TIG"": 0.19999999999999996}"
module_plus_TIDE_dysfunction_alpha0.5	"{""EcoNiche-Opt-ModulePriorFixed"": 0.5, ""TIDE_dysfunction"": 0.5}"
module_plus_TIDE_dysfunction_alpha0.65	"{""EcoNiche-Opt-ModulePriorFixed"": 0.65, ""TIDE_dysfunction"": 0.35}"
module_plus_TIDE_dysfunction_alpha0.8	"{""EcoNiche-Opt-ModulePriorFixed"": 0.8, ""TIDE_dysfunction"": 0.19999999999999996}"
module_plus_CYT_alpha0.5	"{""CYT"": 0.5, ""EcoNiche-Opt-ModulePriorFixed"": 0.5}"
module_plus_CYT_alpha0.65	"{""CYT"": 0.35, ""EcoNiche-Opt-ModulePriorFixed"": 0.65}"
module_plus_CYT_alpha0.8	"{""CYT"": 0.19999999999999996, ""EcoNiche-Opt-ModulePriorFixed"": 0.8}"
module_plus_APM_alpha0.5	"{""APM"": 0.5, ""EcoNiche-Opt-ModulePriorFixed"": 0.5}"
module_plus_APM_alpha0.65	"{""APM"": 0.35, ""EcoNiche-Opt-ModulePriorFixed"": 0.65}"
module_plus_APM_alpha0.8	"{""APM"": 0.19999999999999996, ""EcoNiche-Opt-ModulePriorFixed"": 0.8}"
module_plus_IPRES_alpha0.5	"{""EcoNiche-Opt-ModulePriorFixed"": 0.5, ""IPRES"": 0.5}"
module_plus_IPRES_alpha0.65	"{""EcoNiche-Opt-ModulePriorFixed"": 0.65, ""IPRES"": 0.35}"
module_plus_IPRES_alpha0.8	"{""EcoNiche-Opt-ModulePriorFixed"": 0.8, ""IPRES"": 0.19999999999999996}"
module_plus_TIDE_exclusion_alpha0.5	"{""EcoNiche-Opt-ModulePriorFixed"": 0.5, ""TIDE_exclusion"": 0.5}"
module_plus_TIDE_exclusion_alpha0.65	"{""EcoNiche-Opt-ModulePriorFixed"": 0.65, ""TIDE_exclusion"": 0.35}"
module_plus_TIDE_exclusion_alpha0.8	"{""EcoNiche-Opt-ModulePriorFixed"": 0.8, ""TIDE_exclusion"": 0.19999999999999996}"
module_plus_CXCL9_TIG	"{""CXCL9"": 0.2, ""EcoNiche-Opt-ModulePriorFixed"": 0.6, ""TIG"": 0.2}"
