ablation	metric	delta_vs_full_model
compact_module	AUPRC	0.0
compact_module	AUROC	0.0
compact_module	Brier	-6.210903608942542e-06
compact_module	ECE	-0.00018494046952980244
compact_module	F1	0.0
compact_module	MCC	0.0
compact_module	balanced_accuracy	0.0
full_model	AUPRC	0.0
full_model	AUROC	0.0
full_model	Brier	0.0
full_model	ECE	0.0
full_model	F1	0.0
full_model	MCC	0.0
full_model	balanced_accuracy	0.0
no_biological_objective_terms	AUPRC	0.0
no_biological_objective_terms	AUROC	0.0
no_biological_objective_terms	Brier	0.0
no_biological_objective_terms	ECE	0.0
no_biological_objective_terms	F1	0.0
no_biological_objective_terms	MCC	0.0
no_biological_objective_terms	balanced_accuracy	0.0
no_size_penalty	AUPRC	0.0
no_size_penalty	AUROC	0.0
no_size_penalty	Brier	0.0
no_size_penalty	ECE	0.0
no_size_penalty	F1	0.0
no_size_penalty	MCC	0.0
no_size_penalty	balanced_accuracy	0.0
zero_cell_state_priors	AUPRC	0.0
zero_cell_state_priors	AUROC	0.0
zero_cell_state_priors	Brier	8.022896786919028e-05
zero_cell_state_priors	ECE	0.0009228392377650762
zero_cell_state_priors	F1	0.0
zero_cell_state_priors	MCC	0.0
zero_cell_state_priors	balanced_accuracy	0.0
