	tumor_dedifferentiation	antigen_presentation_mhc	tnk_effector	tcell_dysfunction	caf_ecm_exclusion	myeloid_suppression
AXL	0.0	0.0	0.0	0.0	0.0	0.0
B2M	0.0	0.0	0.0	0.0	0.0	0.0
COL1A1	0.0	0.0	0.0	0.0	0.0	0.0
FN1	0.0	0.0	0.0	0.0	0.0	0.0
GZMB	0.0	0.0	0.0	0.0	0.0	0.0
HAVCR2	0.0	0.0	0.0	0.0	0.0	0.0
HLA-A	0.0	0.0	0.0	0.0	0.0	0.0
HLA-B	0.0	0.0	0.0	0.0	0.0	0.0
ITGA3	0.0	0.0	0.0	0.0	0.0	0.0
LAG3	0.0	0.0	0.0	0.0	0.0	0.0
LILRB2	0.0	0.0	0.0	0.0	0.0	0.0
NGFR	0.0	0.0	0.0	0.0	0.0	0.0
NKG7	0.0	0.0	0.0	0.0	0.0	0.0
NOISE000	0.0	0.0	0.0	0.0	0.0	0.0
NOISE001	0.0	0.0	0.0	0.0	0.0	0.0
NOISE002	0.0	0.0	0.0	0.0	0.0	0.0
NOISE003	0.0	0.0	0.0	0.0	0.0	0.0
NOISE004	0.0	0.0	0.0	0.0	0.0	0.0
NOISE005	0.0	0.0	0.0	0.0	0.0	0.0
NOISE006	0.0	0.0	0.0	0.0	0.0	0.0
NOISE007	0.0	0.0	0.0	0.0	0.0	0.0
NOISE008	0.0	0.0	0.0	0.0	0.0	0.0
NOISE009	0.0	0.0	0.0	0.0	0.0	0.0
NOISE010	0.0	0.0	0.0	0.0	0.0	0.0
NOISE011	0.0	0.0	0.0	0.0	0.0	0.0
NOISE012	0.0	0.0	0.0	0.0	0.0	0.0
NOISE013	0.0	0.0	0.0	0.0	0.0	0.0
NOISE014	0.0	0.0	0.0	0.0	0.0	0.0
NOISE015	0.0	0.0	0.0	0.0	0.0	0.0
NOISE016	0.0	0.0	0.0	0.0	0.0	0.0
NOISE017	0.0	0.0	0.0	0.0	0.0	0.0
NOISE018	0.0	0.0	0.0	0.0	0.0	0.0
NOISE019	0.0	0.0	0.0	0.0	0.0	0.0
NOISE020	0.0	0.0	0.0	0.0	0.0	0.0
NOISE021	0.0	0.0	0.0	0.0	0.0	0.0
NOISE022	0.0	0.0	0.0	0.0	0.0	0.0
NOISE023	0.0	0.0	0.0	0.0	0.0	0.0
NOISE024	0.0	0.0	0.0	0.0	0.0	0.0
NOISE025	0.0	0.0	0.0	0.0	0.0	0.0
NOISE026	0.0	0.0	0.0	0.0	0.0	0.0
NOISE027	0.0	0.0	0.0	0.0	0.0	0.0
NOISE028	0.0	0.0	0.0	0.0	0.0	0.0
NOISE029	0.0	0.0	0.0	0.0	0.0	0.0
NOISE030	0.0	0.0	0.0	0.0	0.0	0.0
NOISE031	0.0	0.0	0.0	0.0	0.0	0.0
NOISE032	0.0	0.0	0.0	0.0	0.0	0.0
NOISE033	0.0	0.0	0.0	0.0	0.0	0.0
NOISE034	0.0	0.0	0.0	0.0	0.0	0.0
NOISE035	0.0	0.0	0.0	0.0	0.0	0.0
NOISE036	0.0	0.0	0.0	0.0	0.0	0.0
NOISE037	0.0	0.0	0.0	0.0	0.0	0.0
NOISE038	0.0	0.0	0.0	0.0	0.0	0.0
NOISE039	0.0	0.0	0.0	0.0	0.0	0.0
NOISE040	0.0	0.0	0.0	0.0	0.0	0.0
NOISE041	0.0	0.0	0.0	0.0	0.0	0.0
NOISE042	0.0	0.0	0.0	0.0	0.0	0.0
NOISE043	0.0	0.0	0.0	0.0	0.0	0.0
NOISE044	0.0	0.0	0.0	0.0	0.0	0.0
NOISE045	0.0	0.0	0.0	0.0	0.0	0.0
NOISE046	0.0	0.0	0.0	0.0	0.0	0.0
NOISE047	0.0	0.0	0.0	0.0	0.0	0.0
NOISE048	0.0	0.0	0.0	0.0	0.0	0.0
NOISE049	0.0	0.0	0.0	0.0	0.0	0.0
NOISE050	0.0	0.0	0.0	0.0	0.0	0.0
NOISE051	0.0	0.0	0.0	0.0	0.0	0.0
NOISE052	0.0	0.0	0.0	0.0	0.0	0.0
NOISE053	0.0	0.0	0.0	0.0	0.0	0.0
NOISE054	0.0	0.0	0.0	0.0	0.0	0.0
NOISE055	0.0	0.0	0.0	0.0	0.0	0.0
NOISE056	0.0	0.0	0.0	0.0	0.0	0.0
NOISE057	0.0	0.0	0.0	0.0	0.0	0.0
NOISE058	0.0	0.0	0.0	0.0	0.0	0.0
NOISE059	0.0	0.0	0.0	0.0	0.0	0.0
NOISE060	0.0	0.0	0.0	0.0	0.0	0.0
NOISE061	0.0	0.0	0.0	0.0	0.0	0.0
NOISE062	0.0	0.0	0.0	0.0	0.0	0.0
NOISE063	0.0	0.0	0.0	0.0	0.0	0.0
NOISE064	0.0	0.0	0.0	0.0	0.0	0.0
NOISE065	0.0	0.0	0.0	0.0	0.0	0.0
NOISE066	0.0	0.0	0.0	0.0	0.0	0.0
NOISE067	0.0	0.0	0.0	0.0	0.0	0.0
NOISE068	0.0	0.0	0.0	0.0	0.0	0.0
NOISE069	0.0	0.0	0.0	0.0	0.0	0.0
PDCD1	0.0	0.0	0.0	0.0	0.0	0.0
PRF1	0.0	0.0	0.0	0.0	0.0	0.0
S100A8	0.0	0.0	0.0	0.0	0.0	0.0
S100A9	0.0	0.0	0.0	0.0	0.0	0.0
TGFB1	0.0	0.0	0.0	0.0	0.0	0.0
