state	gene	direction	selection_frequency	cell_state_prior	coefficient
antigen_presentation_mhc	B2M	-1	1.0	0.9	1.1509930630100431
antigen_presentation_mhc	HLA-A	-1	0.5	0.9	1.1509930630100431
antigen_presentation_mhc	HLA-B	-1	0.8837426609178001	0.9	1.1509930630100431
caf_ecm_exclusion	COL1A1	1	0.7659395926097013	0.9	0.9215252764431697
caf_ecm_exclusion	FN1	1	0.5	0.9	0.9215252764431697
caf_ecm_exclusion	TGFB1	1	1.0	0.9	0.9215252764431697
myeloid_suppression	LILRB2	1	0.5	0.9	0.9473772146268923
myeloid_suppression	S100A8	1	1.0	0.9	0.9473772146268923
myeloid_suppression	S100A9	1	0.6879484983792924	0.9	0.9473772146268923
tcell_dysfunction	HAVCR2	1	0.6773546980300813	0.9	0.9256411917269941
tcell_dysfunction	LAG3	1	0.5	0.9	0.9256411917269941
tcell_dysfunction	PDCD1	1	1.0	0.9	0.9256411917269941
tnk_effector	GZMB	-1	0.7869949016742711	0.9	1.1637467872005403
tnk_effector	NKG7	-1	0.5	0.9	1.1637467872005403
tnk_effector	PRF1	-1	1.0	0.9	1.1637467872005403
tumor_dedifferentiation	AXL	1	1.0	0.9	1.0351394096679292
tumor_dedifferentiation	ITGA3	1	0.5	0.9	1.0351394096679292
tumor_dedifferentiation	NGFR	1	0.9648020954714389	0.9	1.0351394096679292
