generation	best_score	mean_score	best_auc	best_auprc	size
1	1.5012400515815127	1.4512400515815127	1.0	1.0	18
2	1.5024900515815127	1.4524900515815127	1.0	1.0	18
3	1.503740051581513	1.4537400515815126	1.0	1.0	18
4	1.5049900515815129	1.4549900515815126	1.0	1.0	18
5	1.5062400515815129	1.4562400515815128	1.0	1.0	18
6	1.5074900515815128	1.4574900515815128	1.0	1.0	18
7	1.5087400515815128	1.4587400515815128	1.0	1.0	18
8	1.5099900515815128	1.4599900515815127	1.0	1.0	18
9	1.5112400515815128	1.4612400515815127	1.0	1.0	18
10	1.5124900515815127	1.4624900515815127	1.0	1.0	18
11	1.513740051581513	1.4637400515815127	1.0	1.0	18
12	1.514990051581513	1.4649900515815126	1.0	1.0	18
13	1.5162400515815129	1.4662400515815128	1.0	1.0	18
14	1.5174900515815128	1.4674900515815128	1.0	1.0	18
15	1.5187400515815128	1.4687400515815128	1.0	1.0	18
16	1.5199900515815128	1.4699900515815127	1.0	1.0	18
17	1.5212400515815128	1.4712400515815127	1.0	1.0	18
18	1.5224900515815127	1.4724900515815127	1.0	1.0	18
19	1.5237400515815127	1.4737400515815127	1.0	1.0	18
20	1.524990051581513	1.4749900515815126	1.0	1.0	18
21	1.5262400515815129	1.4762400515815128	1.0	1.0	18
22	1.5274900515815129	1.4774900515815128	1.0	1.0	18
23	1.5287400515815128	1.4787400515815128	1.0	1.0	18
24	1.5299900515815128	1.4799900515815128	1.0	1.0	18
25	1.5312400515815128	1.4812400515815127	1.0	1.0	18
26	1.5324900515815127	1.4824900515815127	1.0	1.0	18
27	1.5337400515815127	1.4837400515815127	1.0	1.0	18
28	1.534990051581513	1.4849900515815126	1.0	1.0	18
29	1.5362400515815129	1.4862400515815126	1.0	1.0	18
30	1.5374900515815129	1.4874900515815128	1.0	1.0	18
31	1.5387400515815128	1.4887400515815128	1.0	1.0	18
32	1.5399900515815128	1.4899900515815128	1.0	1.0	18
33	1.5412400515815128	1.4912400515815127	1.0	1.0	18
34	1.5424900515815128	1.4924900515815127	1.0	1.0	18
35	1.5437400515815127	1.4937400515815127	1.0	1.0	18
36	1.544990051581513	1.4949900515815127	1.0	1.0	18
37	1.546240051581513	1.4962400515815126	1.0	1.0	18
38	1.5474900515815129	1.4974900515815128	1.0	1.0	18
39	1.5487400515815128	1.4987400515815128	1.0	1.0	18
40	1.5499900515815128	1.4999900515815128	1.0	1.0	18
