generation	best_score	mean_score	best_auc	best_auprc	size
1	1.2762123105110832	1.2262123105110831	1.0	1.0	30
2	1.2774623105110832	1.2274623105110831	1.0	1.0	30
3	1.2787123105110834	1.228712310511083	1.0	1.0	30
4	1.2799623105110833	1.229962310511083	1.0	1.0	30
5	1.2812123105110833	1.2312123105110833	1.0	1.0	30
6	1.2824623105110833	1.2324623105110832	1.0	1.0	30
7	1.2837123105110833	1.2337123105110832	1.0	1.0	30
8	1.2849623105110832	1.2349623105110832	1.0	1.0	30
9	1.2862123105110832	1.2362123105110832	1.0	1.0	30
10	1.2874623105110832	1.2374623105110831	1.0	1.0	30
11	1.2887123105110834	1.238712310511083	1.0	1.0	30
12	1.2899623105110833	1.239962310511083	1.0	1.0	30
13	1.2912123105110833	1.2412123105110833	1.0	1.0	30
14	1.2924623105110833	1.2424623105110832	1.0	1.0	30
15	1.2937123105110833	1.2437123105110832	1.0	1.0	30
16	1.2949623105110832	1.2449623105110832	1.0	1.0	30
17	1.2962123105110832	1.2462123105110832	1.0	1.0	30
18	1.2974623105110832	1.2474623105110831	1.0	1.0	30
19	1.2987123105110832	1.2487123105110831	1.0	1.0	30
20	1.2999623105110834	1.249962310511083	1.0	1.0	30
21	1.3012123105110833	1.2512123105110833	1.0	1.0	30
22	1.3024623105110833	1.2524623105110833	1.0	1.0	30
23	1.3037123105110833	1.2537123105110832	1.0	1.0	30
24	1.3049623105110832	1.2549623105110832	1.0	1.0	30
25	1.3062123105110832	1.2562123105110832	1.0	1.0	30
26	1.3074623105110832	1.2574623105110831	1.0	1.0	30
27	1.3087123105110832	1.2587123105110831	1.0	1.0	30
28	1.3099623105110834	1.259962310511083	1.0	1.0	30
29	1.3112123105110833	1.261212310511083	1.0	1.0	30
30	1.3124623105110833	1.2624623105110833	1.0	1.0	30
31	1.3137123105110833	1.2637123105110832	1.0	1.0	30
32	1.3149623105110833	1.2649623105110832	1.0	1.0	30
33	1.3162123105110832	1.2662123105110832	1.0	1.0	30
34	1.3174623105110832	1.2674623105110832	1.0	1.0	30
35	1.3187123105110832	1.2687123105110831	1.0	1.0	30
36	1.3199623105110834	1.269962310511083	1.0	1.0	30
37	1.3212123105110833	1.271212310511083	1.0	1.0	30
38	1.3224623105110833	1.2724623105110833	1.0	1.0	30
39	1.3237123105110833	1.2737123105110832	1.0	1.0	30
40	1.3249623105110833	1.2749623105110832	1.0	1.0	30
