generation	best_score	mean_score	best_auc	best_auprc	size
1	1.2760738846254183	1.2260738846254182	1.0	1.0	30
2	1.2773238846254182	1.2273238846254182	1.0	1.0	30
3	1.2785738846254184	1.2285738846254182	1.0	1.0	30
4	1.2798238846254184	1.2298238846254181	1.0	1.0	30
5	1.2810738846254184	1.2310738846254183	1.0	1.0	30
6	1.2823238846254184	1.2323238846254183	1.0	1.0	30
7	1.2835738846254183	1.2335738846254183	1.0	1.0	30
8	1.2848238846254183	1.2348238846254183	1.0	1.0	30
9	1.2860738846254183	1.2360738846254182	1.0	1.0	30
10	1.2873238846254182	1.2373238846254182	1.0	1.0	30
11	1.2885738846254184	1.2385738846254182	1.0	1.0	30
12	1.2898238846254184	1.2398238846254181	1.0	1.0	30
13	1.2910738846254184	1.2410738846254183	1.0	1.0	30
14	1.2923238846254184	1.2423238846254183	1.0	1.0	30
15	1.2935738846254183	1.2435738846254183	1.0	1.0	30
16	1.2948238846254183	1.2448238846254183	1.0	1.0	30
17	1.2960738846254183	1.2460738846254182	1.0	1.0	30
18	1.2973238846254183	1.2473238846254182	1.0	1.0	30
19	1.2985738846254182	1.2485738846254182	1.0	1.0	30
20	1.2998238846254184	1.2498238846254182	1.0	1.0	30
21	1.3010738846254184	1.2510738846254184	1.0	1.0	30
22	1.3023238846254184	1.2523238846254183	1.0	1.0	30
23	1.3035738846254183	1.2535738846254183	1.0	1.0	30
24	1.3048238846254183	1.2548238846254183	1.0	1.0	30
25	1.3060738846254183	1.2560738846254182	1.0	1.0	30
26	1.3073238846254183	1.2573238846254182	1.0	1.0	30
27	1.3085738846254182	1.2585738846254182	1.0	1.0	30
28	1.3098238846254184	1.2598238846254182	1.0	1.0	30
29	1.3110738846254184	1.2610738846254181	1.0	1.0	30
30	1.3123238846254184	1.2623238846254183	1.0	1.0	30
31	1.3135738846254184	1.2635738846254183	1.0	1.0	30
32	1.3148238846254183	1.2648238846254183	1.0	1.0	30
33	1.3160738846254183	1.2660738846254183	1.0	1.0	30
34	1.3173238846254183	1.2673238846254182	1.0	1.0	30
35	1.3185738846254182	1.2685738846254182	1.0	1.0	30
36	1.3198238846254184	1.2698238846254182	1.0	1.0	30
37	1.3210738846254184	1.2710738846254181	1.0	1.0	30
38	1.3223238846254184	1.2723238846254183	1.0	1.0	30
39	1.3235738846254184	1.2735738846254183	1.0	1.0	30
40	1.3248238846254183	1.2748238846254183	1.0	1.0	30
