generation	best_score	mean_score	best_auc	best_auprc	size
1	1.4112123105110832	1.3612123105110832	1.0	1.0	30
2	1.4124623105110832	1.3624623105110831	1.0	1.0	30
3	1.4137123105110834	1.363712310511083	1.0	1.0	30
4	1.4149623105110833	1.364962310511083	1.0	1.0	30
5	1.4162123105110833	1.3662123105110833	1.0	1.0	30
6	1.4174623105110833	1.3674623105110832	1.0	1.0	30
7	1.4187123105110833	1.3687123105110832	1.0	1.0	30
8	1.4199623105110832	1.3699623105110832	1.0	1.0	30
9	1.4212123105110832	1.3712123105110832	1.0	1.0	30
10	1.4224623105110832	1.3724623105110831	1.0	1.0	30
11	1.4237123105110834	1.3737123105110831	1.0	1.0	30
12	1.4249623105110834	1.374962310511083	1.0	1.0	30
13	1.4262123105110833	1.3762123105110833	1.0	1.0	30
14	1.4274623105110833	1.3774623105110833	1.0	1.0	30
15	1.4287123105110833	1.3787123105110832	1.0	1.0	30
16	1.4299623105110832	1.3799623105110832	1.0	1.0	30
17	1.4312123105110832	1.3812123105110832	1.0	1.0	30
18	1.4324623105110832	1.3824623105110831	1.0	1.0	30
19	1.4337123105110832	1.3837123105110831	1.0	1.0	30
20	1.4349623105110834	1.384962310511083	1.0	1.0	30
21	1.4362123105110833	1.3862123105110833	1.0	1.0	30
22	1.4374623105110833	1.3874623105110833	1.0	1.0	30
23	1.4387123105110833	1.3887123105110832	1.0	1.0	30
24	1.4399623105110833	1.3899623105110832	1.0	1.0	30
25	1.4412123105110832	1.3912123105110832	1.0	1.0	30
26	1.4424623105110832	1.3924623105110832	1.0	1.0	30
27	1.4437123105110832	1.3937123105110831	1.0	1.0	30
28	1.4449623105110834	1.394962310511083	1.0	1.0	30
29	1.4462123105110833	1.396212310511083	1.0	1.0	30
30	1.4474623105110833	1.3974623105110833	1.0	1.0	30
31	1.4487123105110833	1.3987123105110832	1.0	1.0	30
32	1.4499623105110833	1.3999623105110832	1.0	1.0	30
33	1.4512123105110832	1.4012123105110832	1.0	1.0	30
34	1.4524623105110832	1.4024623105110832	1.0	1.0	30
35	1.4537123105110832	1.4037123105110831	1.0	1.0	30
36	1.4549623105110834	1.4049623105110831	1.0	1.0	30
37	1.4562123105110834	1.406212310511083	1.0	1.0	30
38	1.4574623105110833	1.4074623105110833	1.0	1.0	30
39	1.4587123105110833	1.4087123105110833	1.0	1.0	30
40	1.4599623105110833	1.4099623105110832	1.0	1.0	30
