state	gene	direction	selection_frequency	cell_state_prior	coefficient
antigen_presentation_mhc	B2M	-1	1.0	0.9	0.846401834023348
antigen_presentation_mhc	GZMB	-1	0.9982135685385229	0.0	0.846401834023348
antigen_presentation_mhc	HLA-A	-1	0.9966060909968966	0.9	0.846401834023348
antigen_presentation_mhc	HLA-B	-1	0.9992108663404241	0.9	0.846401834023348
antigen_presentation_mhc	PDCD1	1	1.0	0.0	0.846401834023348
antigen_presentation_mhc	PRF1	-1	1.0	0.0	0.846401834023348
caf_ecm_exclusion	B2M	-1	1.0	0.0	0.8674781875460922
caf_ecm_exclusion	COL1A1	1	0.9989485091877887	0.9	0.8674781875460922
caf_ecm_exclusion	FN1	1	0.9977538046183565	0.9	0.8674781875460922
caf_ecm_exclusion	GZMB	-1	0.9982135685385229	0.0	0.8674781875460922
caf_ecm_exclusion	PRF1	-1	1.0	0.0	0.8674781875460922
caf_ecm_exclusion	TGFB1	1	1.0	0.9	0.8674781875460922
myeloid_suppression	B2M	-1	1.0	0.0	0.7382013253705912
myeloid_suppression	GZMB	-1	0.9982135685385229	0.0	0.7382013253705912
myeloid_suppression	LILRB2	1	0.9947084087592029	0.9	0.7382013253705912
myeloid_suppression	PRF1	-1	1.0	0.0	0.7382013253705912
myeloid_suppression	S100A8	1	1.0	0.9	0.7382013253705912
myeloid_suppression	S100A9	1	0.9966975020146926	0.9	0.7382013253705912
tcell_dysfunction	B2M	-1	1.0	0.0	0.7760403634002317
tcell_dysfunction	GZMB	-1	0.9982135685385229	0.0	0.7760403634002317
tcell_dysfunction	HAVCR2	1	0.9969343543726361	0.9	0.7760403634002317
tcell_dysfunction	LAG3	1	0.9952492015091394	0.9	0.7760403634002317
tcell_dysfunction	PDCD1	1	1.0	0.9	0.7760403634002317
tcell_dysfunction	PRF1	-1	1.0	0.0	0.7760403634002317
tnk_effector	B2M	-1	1.0	0.0	0.886933586801465
tnk_effector	GZMB	-1	0.9982135685385229	0.9	0.886933586801465
tnk_effector	HLA-B	-1	0.9992108663404241	0.0	0.886933586801465
tnk_effector	NKG7	-1	0.9958065992891277	0.9	0.886933586801465
tnk_effector	PDCD1	1	1.0	0.0	0.886933586801465
tnk_effector	PRF1	-1	1.0	0.9	0.886933586801465
tumor_dedifferentiation	AXL	1	1.0	0.9	0.8419815350441381
tumor_dedifferentiation	B2M	-1	1.0	0.0	0.8419815350441381
tumor_dedifferentiation	GZMB	-1	0.9982135685385229	0.0	0.8419815350441381
tumor_dedifferentiation	ITGA3	1	0.9881623608092558	0.9	0.8419815350441381
tumor_dedifferentiation	NGFR	1	0.9991666798118413	0.9	0.8419815350441381
tumor_dedifferentiation	PRF1	-1	1.0	0.0	0.8419815350441381
