generation	best_score	mean_score	best_auc	best_auprc	size
1	1.388732162973159	1.338732162973159	1.0	1.0	36
2	1.389982162973159	1.339982162973159	1.0	1.0	36
3	1.3912321629731592	1.341232162973159	1.0	1.0	36
4	1.3924821629731592	1.342482162973159	1.0	1.0	36
5	1.3937321629731592	1.3437321629731591	1.0	1.0	36
6	1.3949821629731591	1.344982162973159	1.0	1.0	36
7	1.396232162973159	1.346232162973159	1.0	1.0	36
8	1.397482162973159	1.347482162973159	1.0	1.0	36
9	1.398732162973159	1.348732162973159	1.0	1.0	36
10	1.399982162973159	1.349982162973159	1.0	1.0	36
11	1.4012321629731592	1.351232162973159	1.0	1.0	36
12	1.4024821629731592	1.352482162973159	1.0	1.0	36
13	1.4037321629731592	1.3537321629731591	1.0	1.0	36
14	1.4049821629731591	1.354982162973159	1.0	1.0	36
15	1.4062321629731591	1.356232162973159	1.0	1.0	36
16	1.407482162973159	1.357482162973159	1.0	1.0	36
17	1.408732162973159	1.358732162973159	1.0	1.0	36
18	1.409982162973159	1.359982162973159	1.0	1.0	36
19	1.411232162973159	1.361232162973159	1.0	1.0	36
20	1.4124821629731592	1.362482162973159	1.0	1.0	36
21	1.4137321629731592	1.3637321629731591	1.0	1.0	36
22	1.4149821629731592	1.364982162973159	1.0	1.0	36
23	1.4162321629731591	1.366232162973159	1.0	1.0	36
24	1.417482162973159	1.367482162973159	1.0	1.0	36
25	1.418732162973159	1.368732162973159	1.0	1.0	36
26	1.419982162973159	1.369982162973159	1.0	1.0	36
27	1.421232162973159	1.371232162973159	1.0	1.0	36
28	1.4224821629731592	1.372482162973159	1.0	1.0	36
29	1.4237321629731592	1.373732162973159	1.0	1.0	36
30	1.4249821629731592	1.3749821629731591	1.0	1.0	36
31	1.4262321629731591	1.376232162973159	1.0	1.0	36
32	1.427482162973159	1.377482162973159	1.0	1.0	36
33	1.428732162973159	1.378732162973159	1.0	1.0	36
34	1.429982162973159	1.379982162973159	1.0	1.0	36
35	1.431232162973159	1.381232162973159	1.0	1.0	36
36	1.4324821629731592	1.382482162973159	1.0	1.0	36
37	1.4337321629731592	1.383732162973159	1.0	1.0	36
38	1.4349821629731592	1.3849821629731591	1.0	1.0	36
39	1.4362321629731591	1.386232162973159	1.0	1.0	36
40	1.4374821629731591	1.387482162973159	1.0	1.0	36
