generation	best_score	mean_score	best_auc	best_auprc	size
1	1.41125	1.3612499999999998	1.0	1.0	30
2	1.4124999999999999	1.3624999999999998	1.0	1.0	30
3	1.41375	1.3637499999999998	1.0	1.0	30
4	1.415	1.3649999999999998	1.0	1.0	30
5	1.41625	1.36625	1.0	1.0	30
6	1.4175	1.3675	1.0	1.0	30
7	1.41875	1.36875	1.0	1.0	30
8	1.42	1.3699999999999999	1.0	1.0	30
9	1.42125	1.3712499999999999	1.0	1.0	30
10	1.4224999999999999	1.3724999999999998	1.0	1.0	30
11	1.42375	1.3737499999999998	1.0	1.0	30
12	1.425	1.3749999999999998	1.0	1.0	30
13	1.42625	1.37625	1.0	1.0	30
14	1.4275	1.3775	1.0	1.0	30
15	1.42875	1.37875	1.0	1.0	30
16	1.43	1.38	1.0	1.0	30
17	1.43125	1.3812499999999999	1.0	1.0	30
18	1.4324999999999999	1.3824999999999998	1.0	1.0	30
19	1.4337499999999999	1.3837499999999998	1.0	1.0	30
20	1.435	1.3849999999999998	1.0	1.0	30
21	1.43625	1.38625	1.0	1.0	30
22	1.4375	1.3875	1.0	1.0	30
23	1.43875	1.38875	1.0	1.0	30
24	1.44	1.39	1.0	1.0	30
25	1.44125	1.3912499999999999	1.0	1.0	30
26	1.4425	1.3924999999999998	1.0	1.0	30
27	1.4437499999999999	1.3937499999999998	1.0	1.0	30
28	1.445	1.3949999999999998	1.0	1.0	30
29	1.44625	1.3962499999999998	1.0	1.0	30
30	1.4475	1.3975	1.0	1.0	30
31	1.44875	1.39875	1.0	1.0	30
32	1.45	1.4	1.0	1.0	30
33	1.45125	1.4012499999999999	1.0	1.0	30
34	1.4525	1.4024999999999999	1.0	1.0	30
35	1.4537499999999999	1.4037499999999998	1.0	1.0	30
36	1.455	1.4049999999999998	1.0	1.0	30
37	1.45625	1.4062499999999998	1.0	1.0	30
38	1.4575	1.4075	1.0	1.0	30
39	1.45875	1.40875	1.0	1.0	30
40	1.46	1.41	1.0	1.0	30
