setting	metric	estimate	sd	n_cohorts	status	reason
baseline_seed_42	AUROC	1.0	0.0	4	computed_from_pipeline	
baseline_seed_42	AUPRC	1.0	0.0	4	computed_from_pipeline	
baseline_seed_42	balanced_accuracy	1.0	0.0	4	computed_from_pipeline	
baseline_seed_42	MCC	1.0	0.0	4	computed_from_pipeline	
baseline_seed_42	F1	1.0	0.0	4	computed_from_pipeline	
baseline_seed_42	ECE	0.0002512632594452488	0.00034325121846157883	4	computed_from_pipeline	
baseline_seed_42	Brier	6.296094126118609e-06	1.0754510854689253e-05	4	computed_from_pipeline	
seed_7	AUROC	1.0	0.0	4	computed_from_pipeline	
seed_7	AUPRC	1.0	0.0	4	computed_from_pipeline	
seed_7	balanced_accuracy	1.0	0.0	4	computed_from_pipeline	
seed_7	MCC	1.0	0.0	4	computed_from_pipeline	
seed_7	F1	1.0	0.0	4	computed_from_pipeline	
seed_7	ECE	0.0002512632594452488	0.00034325121846157883	4	computed_from_pipeline	
seed_7	Brier	6.296094126118609e-06	1.0754510854689253e-05	4	computed_from_pipeline	
seed_99	AUROC	1.0	0.0	4	computed_from_pipeline	
seed_99	AUPRC	1.0	0.0	4	computed_from_pipeline	
seed_99	balanced_accuracy	1.0	0.0	4	computed_from_pipeline	
seed_99	MCC	1.0	0.0	4	computed_from_pipeline	
seed_99	F1	1.0	0.0	4	computed_from_pipeline	
seed_99	ECE	0.0002512632594452488	0.00034325121846157883	4	computed_from_pipeline	
seed_99	Brier	6.296094126118609e-06	1.0754510854689253e-05	4	computed_from_pipeline	
compact_3_genes	AUROC	1.0	0.0	4	computed_from_pipeline	
compact_3_genes	AUPRC	1.0	0.0	4	computed_from_pipeline	
compact_3_genes	balanced_accuracy	1.0	0.0	4	computed_from_pipeline	
compact_3_genes	MCC	1.0	0.0	4	computed_from_pipeline	
compact_3_genes	F1	1.0	0.0	4	computed_from_pipeline	
compact_3_genes	ECE	6.632278991544639e-05	8.196422248409151e-05	4	computed_from_pipeline	
compact_3_genes	Brier	8.519051717606679e-08	1.4340860711820592e-07	4	computed_from_pipeline	
expanded_min_6_genes	AUROC	1.0	0.0	4	computed_from_pipeline	
expanded_min_6_genes	AUPRC	1.0	0.0	4	computed_from_pipeline	
expanded_min_6_genes	balanced_accuracy	1.0	0.0	4	computed_from_pipeline	
expanded_min_6_genes	MCC	1.0	0.0	4	computed_from_pipeline	
expanded_min_6_genes	F1	1.0	0.0	4	computed_from_pipeline	
expanded_min_6_genes	ECE	0.00011891351227245128	4.4995696275007416e-05	4	computed_from_pipeline	
expanded_min_6_genes	Brier	2.7608905079250867e-07	2.0264222099017416e-07	4	computed_from_pipeline	
high_robustness_penalty	AUROC	1.0	0.0	4	computed_from_pipeline	
high_robustness_penalty	AUPRC	1.0	0.0	4	computed_from_pipeline	
high_robustness_penalty	balanced_accuracy	1.0	0.0	4	computed_from_pipeline	
high_robustness_penalty	MCC	1.0	0.0	4	computed_from_pipeline	
high_robustness_penalty	F1	1.0	0.0	4	computed_from_pipeline	
high_robustness_penalty	ECE	0.0002512632594452488	0.00034325121846157883	4	computed_from_pipeline	
high_robustness_penalty	Brier	6.296094126118609e-06	1.0754510854689253e-05	4	computed_from_pipeline	
no_calibration_penalty	AUROC	1.0	0.0	4	computed_from_pipeline	
no_calibration_penalty	AUPRC	1.0	0.0	4	computed_from_pipeline	
no_calibration_penalty	balanced_accuracy	1.0	0.0	4	computed_from_pipeline	
no_calibration_penalty	MCC	1.0	0.0	4	computed_from_pipeline	
no_calibration_penalty	F1	1.0	0.0	4	computed_from_pipeline	
no_calibration_penalty	ECE	0.0002512632594452488	0.00034325121846157883	4	computed_from_pipeline	
no_calibration_penalty	Brier	6.296094126118609e-06	1.0754510854689253e-05	4	computed_from_pipeline	
