method	gene	primary_AUROC	primary_AUPRC	primary_balanced_accuracy
z	CYP21A1P	0.7408862350722816	0.5901111381851633	0.697517284726587
z	HSF5	0.7402576995600252	0.6097604381422406	0.7080452545568825
pct	PTTG2	0.7347580138277813	0.5709387779435913	0.669076052796983
z	SNORA65	0.7320867379006915	0.6416544847735155	0.5774670018856065
z	RP1	0.7313010685103708	0.636453648664763	0.7126021370207416
z	SLC6A12	0.7294154619736015	0.6268370502611664	0.6626335637963545
pct	HSF5	0.715744814582024	0.5617110001216685	0.7148020113136393
pct	SNORA65	0.7129164047768698	0.6175917586872284	0.5084852294154619
z	MIR613	0.7110307982401006	0.6028063672247527	0.5267127592708989
z	LINC00994	0.7107165304839723	0.5494644275964768	0.47093023255813954
pct	SLC6A12	0.7105593966059082	0.608833926621874	0.6539912005028284
pct	ZFP42	0.7094594594594595	0.5602315121811905	0.4795725958516657
pct	NLRP13	0.7091451917033312	0.5151963666592324	0.5952231301068511
z	NLRP13	0.7091451917033312	0.5151963666592324	0.5952231301068511
rz	IL36B	0.7086737900691389	0.5585699181315161	0.6037083595223129
z	CLEC17A	0.7077309868007542	0.597104506082507	0.6847894406033941
pct	GCH1	0.707416719044626	0.5835290601011869	0.6191074795725959
z	GCH1	0.7071024512884978	0.5723931988034354	0.6191074795725959
rz	FAM209B	0.7067881835323695	0.598749331740651	0.595065996228787
rz	WNT1	0.7066310496543055	0.6109699936914652	0.6228786926461345
rz	CYP21A1P	0.7063167818981771	0.5068521199269942	0.623664362036455
rz	EFCAB3	0.7055311125078567	0.601303349373917	0.5707102451288497
z	SIRPG	0.7055311125078567	0.5668669632224564	0.5875235700817096
pct	SNORD114-5	0.7055311125078566	0.512113956501112	0.6222501571338781
pct	CLEC17A	0.7049025769956003	0.5769009454556954	0.6847894406033941
z	SMPD2	0.7049025769956003	0.5686462885479722	0.6596480201131364
rz	MFAP2	0.7039597737272156	0.5655483677721123	0.6239786297925832
z	DTHD1	0.7038026398491515	0.561035731150856	0.5909805153991201
pct	UBD	0.7036455059710873	0.523681163546483	0.681803896920176
z	DPPA2P3	0.7031741043368951	0.5798971508964671	0.4923004399748586
rz	GCH1	0.7030169704588309	0.570241765334772	0.6172218730358265
rz	JAKMIP1	0.7023884349465745	0.5858546691363569	0.5582966687617851
z	WTAPP1	0.7023884349465744	0.5830926760306354	0.6319924575738529
z	MFAP2	0.7023884349465744	0.5645490805185236	0.5872093023255813
z	CELA3B	0.7019170333123821	0.49995540162299146	0.6877749842866122
z	GPR88	0.7014456316781899	0.5799051562812514	0.652105593966059
rz	NLRP7	0.7014456316781897	0.5378748464858409	0.5763670647391578
pct	CYP21A1P	0.7012884978001258	0.5774083768387898	0.6356065367693274
pct	SIRPG	0.7008170961659335	0.5589111908450994	0.5680389692017599
z	IL2	0.7005028284098052	0.5776790510102019	0.6569767441860466
z	FCRL3	0.7005028284098052	0.5611511059503913	0.6461345065996229
z	LHX5	0.7003456945317411	0.5115168376498662	0.47014456316781894
z	CCR9	0.7000314267756128	0.5400472458860761	0.5061282212445003
z	DCAF4L2	0.6997171590194845	0.6105516181102197	0.5865807668133249
z	PRKCQ	0.6995600251414205	0.5704134747374271	0.5785669390320554
rz	FDCSP	0.6989314896291641	0.5410915797754157	0.6561910747957259
pct	MFAP2	0.698931489629164	0.5398399739957378	0.5988372093023255
z	NLRP7	0.6986172218730359	0.5520990093627071	0.677561282212445
pct	MIR613	0.6984600879949717	0.5977728223421314	0.45663104965430545
rz	IKZF3	0.6983029541169076	0.5690248514892366	0.5493400377121307
pct	SPATA19	0.6981458202388435	0.5042170934571851	0.6821181646763042
rz	PLA2G2D	0.697517284726587	0.5872736227900504	0.6596480201131364
pct	DTHD1	0.6972030169704588	0.5700807492239535	0.63073538654934
rz	SLC6A12	0.6970458830923948	0.5703648419569672	0.6202074167190447
pct	TVP23A	0.6970458830923947	0.5720314466695059	0.6934318038969202
z	MAP4K1	0.6967316153362665	0.5807901122553956	0.6547768698931489
z	NHEG1	0.6967316153362665	0.5117000331958249	0.4333752357008171
pct	DCAF4L2	0.6965744814582024	0.6067393998665862	0.6027655562539284
rz	HSF5	0.6964173475801383	0.5027804987460115	0.6858893777498428
pct	NLRC3	0.6961030798240101	0.5891776379265606	0.5688246385920805
pct	LINC00381	0.6961030798240101	0.5429644713415124	0.6753614079195475
pct	MIR4777	0.6959459459459459	0.5067987567987567	0.607950974230044
rz	FBXO6	0.6957888120678818	0.6026301493079467	0.5898805782526713
rz	TMPRSS3	0.6957888120678818	0.5286982287074389	0.6115650534255186
z	CGB8	0.6956316781898176	0.49658754778784786	0.6877749842866122
pct	CGB8	0.6956316781898176	0.49658754778784786	0.6060653676932747
z	LINC00381	0.6954745443117536	0.5355447592706376	0.623664362036455
rz	DTHD1	0.6953174104336894	0.5572918199024453	0.6382778126964174
pct	JAKMIP1	0.6951602765556254	0.5719713244663456	0.5718101822752986
pct	PRKCQ	0.6951602765556253	0.5741952839403676	0.6250785669390321
rz	CD244	0.6950031426775612	0.5619766049832191	0.6150219987429291
pct	MAP4K1	0.6945317410433689	0.5857281519390208	0.6104651162790697
z	PLEK2	0.6945317410433689	0.560439361353799	0.6202074167190447
pct	IKZF3	0.6945317410433689	0.5491129018417185	0.5047140163419233
z	SCARNA14	0.6939032055311125	0.5319415834854427	0.46150219987429286
rz	MIR1262	0.6937460716530484	0.5356091140008901	0.5117850408548082
rz	BLK	0.6928032683846638	0.5687195078436758	0.6352922690131992
z	NLRC3	0.6926461345065996	0.5867207221657598	0.5230986800754243
z	JAKMIP1	0.6926461345065996	0.5570042523639397	0.5801382778126964
z	TMPRSS3	0.6924890006285355	0.5655306034988288	0.6191074795725959
pct	PNLIPRP1	0.6921747328724073	0.5170889575540738	0.6158076681332495
rz	CCR9	0.6921747328724072	0.5070453223019715	0.634820867379007
rz	SIRPG	0.6920175989943432	0.5529934462383737	0.5150848522941547
z	EFCAB3	0.6920175989943431	0.598398858988107	0.6503771213073538
pct	NLRP7	0.6920175989943431	0.5447003109381854	0.6202074167190447
pct	AGAP11	0.6918604651162791	0.5306304794372981	0.5509113764927718
pct	TAP1	0.691703331238215	0.49405157367206365	0.6258642363293526
rz	CD27	0.6913890634820867	0.5813679461687593	0.6277498428661219
