endpoint	stratum	model_name	threshold	net_benefit	treat_all_net_benefit	treat_none_net_benefit	net_benefit_vs_treat_all	net_benefit_vs_treat_none	n_samples	prevalence
clinical_benefit	melanoma_anti_pd1_primary	APM	0.05	0.506578947368421	0.506578947368421	0.0	0.0	0.506578947368421	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	APM	0.1	0.48055555555555557	0.4791666666666667	0.0	0.001388888888888884	0.48055555555555557	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	APM	0.15	0.4352941176470588	0.44852941176470584	0.0	-0.013235294117647067	0.4352941176470588	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	APM	0.2	0.3984375	0.4140625	0.0	-0.015625	0.3984375	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	APM	0.25	0.3520833333333333	0.375	0.0	-0.022916666666666696	0.3520833333333333	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	APM	0.3	0.3080357142857143	0.33035714285714285	0.0	-0.022321428571428548	0.3080357142857143	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	APM	0.35	0.2600961538461538	0.27884615384615385	0.0	-0.018750000000000044	0.2600961538461538	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	APM	0.4	0.22083333333333335	0.21874999999999994	0.0	0.002083333333333409	0.22083333333333335	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	APM	0.45	0.16704545454545455	0.14772727272727276	0.0	0.01931818181818179	0.16704545454545455	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	APM	0.5	0.13124999999999998	0.0625	0.0	0.06874999999999998	0.13124999999999998	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	APM	0.55	0.06736111111111107	-0.04166666666666685	0.0	0.10902777777777792	0.06736111111111107	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	APM	0.6	0.04687500000000003	-0.1718749999999999	0.0	0.21874999999999992	0.04687500000000003	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	APM	0.65	-0.033928571428571475	-0.3392857142857144	0.0	0.30535714285714294	-0.033928571428571475	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	APM	0.7	-0.07916666666666664	-0.5624999999999998	0.0	0.48333333333333317	-0.07916666666666664	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	APM	0.75	-0.11250000000000002	-0.875	0.0	0.7625	-0.11250000000000002	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	APM	0.8	-0.03750000000000001	-1.3437500000000004	0.0	1.3062500000000004	-0.03750000000000001	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	APM	0.85	-0.10624999999999998	-2.1249999999999996	0.0	2.0187499999999994	-0.10624999999999998	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	APM	0.9	-0.056250000000000015	-3.687500000000001	0.0	3.631250000000001	-0.056250000000000015	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	APM	0.95	0.0	-8.374999999999991	0.0	8.374999999999991	0.0	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CXCL9	0.05	0.506578947368421	0.506578947368421	0.0	0.0	0.506578947368421	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CXCL9	0.1	0.4798611111111111	0.4791666666666667	0.0	0.000694444444444442	0.4798611111111111	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CXCL9	0.15	0.45073529411764707	0.44852941176470584	0.0	0.002205882352941224	0.45073529411764707	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CXCL9	0.2	0.396875	0.4140625	0.0	-0.017187500000000022	0.396875	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CXCL9	0.25	0.34791666666666665	0.375	0.0	-0.027083333333333348	0.34791666666666665	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CXCL9	0.3	0.29374999999999996	0.33035714285714285	0.0	-0.036607142857142894	0.29374999999999996	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CXCL9	0.35	0.2514423076923077	0.27884615384615385	0.0	-0.027403846153846168	0.2514423076923077	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CXCL9	0.4	0.18125	0.21874999999999994	0.0	-0.03749999999999995	0.18125	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CXCL9	0.45	0.14090909090909093	0.14772727272727276	0.0	-0.006818181818181834	0.14090909090909093	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CXCL9	0.5	0.08749999999999997	0.0625	0.0	0.024999999999999967	0.08749999999999997	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CXCL9	0.55	0.015972222222222165	-0.04166666666666685	0.0	0.05763888888888902	0.015972222222222165	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CXCL9	0.6	-0.009374999999999967	-0.1718749999999999	0.0	0.16249999999999992	-0.009374999999999967	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CXCL9	0.65	-0.016071428571428598	-0.3392857142857144	0.0	0.3232142857142858	-0.016071428571428598	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CXCL9	0.7	-0.09374999999999997	-0.5624999999999998	0.0	0.4687499999999998	-0.09374999999999997	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CXCL9	0.75	-0.14375000000000002	-0.875	0.0	0.73125	-0.14375000000000002	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CXCL9	0.8	-0.10000000000000002	-1.3437500000000004	0.0	1.2437500000000004	-0.10000000000000002	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CXCL9	0.85	-0.09374999999999999	-2.1249999999999996	0.0	2.0312499999999996	-0.09374999999999999	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CXCL9	0.9	0.0125	-3.687500000000001	0.0	3.700000000000001	0.0125	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CXCL9	0.95	0.0	-8.374999999999991	0.0	8.374999999999991	0.0	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CYT	0.05	0.506578947368421	0.506578947368421	0.0	0.0	0.506578947368421	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CYT	0.1	0.4791666666666667	0.4791666666666667	0.0	0.0	0.4791666666666667	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CYT	0.15	0.4444852941176471	0.44852941176470584	0.0	-0.004044117647058754	0.4444852941176471	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CYT	0.2	0.396875	0.4140625	0.0	-0.017187500000000022	0.396875	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CYT	0.25	0.325	0.375	0.0	-0.04999999999999999	0.325	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CYT	0.3	0.2901785714285714	0.33035714285714285	0.0	-0.04017857142857145	0.2901785714285714	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CYT	0.35	0.2418269230769231	0.27884615384615385	0.0	-0.03701923076923075	0.2418269230769231	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CYT	0.4	0.16874999999999998	0.21874999999999994	0.0	-0.04999999999999996	0.16874999999999998	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CYT	0.45	0.1181818181818182	0.14772727272727276	0.0	-0.02954545454545457	0.1181818181818182	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CYT	0.5	0.08124999999999999	0.0625	0.0	0.01874999999999999	0.08124999999999999	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CYT	0.55	0.03402777777777774	-0.04166666666666685	0.0	0.07569444444444459	0.03402777777777774	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CYT	0.6	-0.04062499999999997	-0.1718749999999999	0.0	0.13124999999999992	-0.04062499999999997	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CYT	0.65	-0.05892857142857147	-0.3392857142857144	0.0	0.28035714285714297	-0.05892857142857147	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CYT	0.7	-0.06666666666666662	-0.5624999999999998	0.0	0.4958333333333331	-0.06666666666666662	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CYT	0.75	-0.06875	-0.875	0.0	0.80625	-0.06875	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CYT	0.8	-0.03750000000000003	-1.3437500000000004	0.0	1.3062500000000004	-0.03750000000000003	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CYT	0.85	-0.11666666666666667	-2.1249999999999996	0.0	2.008333333333333	-0.11666666666666667	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CYT	0.9	-0.056250000000000015	-3.687500000000001	0.0	3.631250000000001	-0.056250000000000015	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	CYT	0.95	0.0	-8.374999999999991	0.0	8.374999999999991	0.0	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.05	0.506578947368421	0.506578947368421	0.0	0.0	0.506578947368421	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.1	0.4791666666666667	0.4791666666666667	0.0	0.0	0.4791666666666667	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.15	0.45183823529411765	0.44852941176470584	0.0	0.0033088235294118085	0.45183823529411765	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.2	0.4125	0.4140625	0.0	-0.0015625000000000222	0.4125	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.25	0.34791666666666665	0.375	0.0	-0.027083333333333348	0.34791666666666665	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.3	0.28660714285714284	0.33035714285714285	0.0	-0.04375000000000001	0.28660714285714284	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.35	0.22692307692307692	0.27884615384615385	0.0	-0.05192307692307693	0.22692307692307692	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.4	0.1708333333333333	0.21874999999999994	0.0	-0.047916666666666635	0.1708333333333333	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.45	0.13125	0.14772727272727276	0.0	-0.016477272727272757	0.13125	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.5	0.08125000000000002	0.0625	0.0	0.018750000000000017	0.08125000000000002	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.55	0.023611111111111055	-0.04166666666666685	0.0	0.0652777777777779	0.023611111111111055	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.6	-0.003124999999999961	-0.1718749999999999	0.0	0.16874999999999993	-0.003124999999999961	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.65	-0.021428571428571463	-0.3392857142857144	0.0	0.31785714285714295	-0.021428571428571463	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.7	-0.035416666666666624	-0.5624999999999998	0.0	0.5270833333333331	-0.035416666666666624	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.75	-0.075	-0.875	0.0	0.8	-0.075	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.8	-0.08750000000000002	-1.3437500000000004	0.0	1.2562500000000005	-0.08750000000000002	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.85	-0.07499999999999998	-2.1249999999999996	0.0	2.0499999999999994	-0.07499999999999998	160	0.53125
