endpoint	stratum	holdout	selected_model	feature	weight	weight_type
strict_recist	melanoma_anti_pd1_primary	GSE91061	module_positive_composite	ifn_t_cell_inflamed	1.0	fixed_positive_mean
strict_recist	melanoma_anti_pd1_primary	GSE91061	module_positive_composite	cytotoxic_cd8	1.0	fixed_positive_mean
strict_recist	melanoma_anti_pd1_primary	GSE91061	module_positive_composite	exhaustion_checkpoint	1.0	fixed_positive_mean
strict_recist	melanoma_anti_pd1_primary	GSE91061	module_positive_composite	antigen_presentation	1.0	fixed_positive_mean
strict_recist	melanoma_anti_pd1_primary	GSE91061	module_positive_composite	trm_tls	1.0	fixed_positive_mean
strict_recist	melanoma_anti_pd1_primary	GSE91061	module_positive_composite	calibration_intercept	0.0024295830568739586	platt
strict_recist	melanoma_anti_pd1_primary	GSE91061	module_positive_composite	calibration_slope	0.42825907906800853	platt
strict_recist	melanoma_anti_pd1_primary	GSE78220	module_positive_composite	ifn_t_cell_inflamed	1.0	fixed_positive_mean
strict_recist	melanoma_anti_pd1_primary	GSE78220	module_positive_composite	cytotoxic_cd8	1.0	fixed_positive_mean
strict_recist	melanoma_anti_pd1_primary	GSE78220	module_positive_composite	exhaustion_checkpoint	1.0	fixed_positive_mean
strict_recist	melanoma_anti_pd1_primary	GSE78220	module_positive_composite	antigen_presentation	1.0	fixed_positive_mean
strict_recist	melanoma_anti_pd1_primary	GSE78220	module_positive_composite	trm_tls	1.0	fixed_positive_mean
strict_recist	melanoma_anti_pd1_primary	GSE78220	module_positive_composite	calibration_intercept	-0.013506438672020615	platt
strict_recist	melanoma_anti_pd1_primary	GSE78220	module_positive_composite	calibration_slope	0.5488891749693412	platt
strict_recist	melanoma_anti_pd1_primary	GSE168204	module_prior_composite	ifn_t_cell_inflamed	1.0	fixed_prior
strict_recist	melanoma_anti_pd1_primary	GSE168204	module_prior_composite	cytotoxic_cd8	0.5	fixed_prior
strict_recist	melanoma_anti_pd1_primary	GSE168204	module_prior_composite	exhaustion_checkpoint	0.25	fixed_prior
strict_recist	melanoma_anti_pd1_primary	GSE168204	module_prior_composite	antigen_presentation	0.5	fixed_prior
strict_recist	melanoma_anti_pd1_primary	GSE168204	module_prior_composite	myeloid_suppression	-0.5	fixed_prior
strict_recist	melanoma_anti_pd1_primary	GSE168204	module_prior_composite	stromal_exclusion	-0.5	fixed_prior
strict_recist	melanoma_anti_pd1_primary	GSE168204	module_prior_composite	trm_tls	0.25	fixed_prior
strict_recist	melanoma_anti_pd1_primary	GSE168204	module_prior_composite	calibration_intercept	-0.007812254599357214	platt
strict_recist	melanoma_anti_pd1_primary	GSE168204	module_prior_composite	calibration_slope	0.314477512719824	platt
strict_recist	melanoma_anti_pd1_primary	GSE115821	module_prior_composite	ifn_t_cell_inflamed	1.0	fixed_prior
strict_recist	melanoma_anti_pd1_primary	GSE115821	module_prior_composite	cytotoxic_cd8	0.5	fixed_prior
strict_recist	melanoma_anti_pd1_primary	GSE115821	module_prior_composite	exhaustion_checkpoint	0.25	fixed_prior
strict_recist	melanoma_anti_pd1_primary	GSE115821	module_prior_composite	antigen_presentation	0.5	fixed_prior
strict_recist	melanoma_anti_pd1_primary	GSE115821	module_prior_composite	myeloid_suppression	-0.5	fixed_prior
strict_recist	melanoma_anti_pd1_primary	GSE115821	module_prior_composite	stromal_exclusion	-0.5	fixed_prior
strict_recist	melanoma_anti_pd1_primary	GSE115821	module_prior_composite	trm_tls	0.25	fixed_prior
strict_recist	melanoma_anti_pd1_primary	GSE115821	module_prior_composite	calibration_intercept	-0.003852988457956583	platt
strict_recist	melanoma_anti_pd1_primary	GSE115821	module_prior_composite	calibration_slope	0.24422806629274396	platt
strict_recist	melanoma_anti_pd1_primary	GSE145996	module_positive_composite	ifn_t_cell_inflamed	1.0	fixed_positive_mean
strict_recist	melanoma_anti_pd1_primary	GSE145996	module_positive_composite	cytotoxic_cd8	1.0	fixed_positive_mean
strict_recist	melanoma_anti_pd1_primary	GSE145996	module_positive_composite	exhaustion_checkpoint	1.0	fixed_positive_mean
strict_recist	melanoma_anti_pd1_primary	GSE145996	module_positive_composite	antigen_presentation	1.0	fixed_positive_mean
strict_recist	melanoma_anti_pd1_primary	GSE145996	module_positive_composite	trm_tls	1.0	fixed_positive_mean
strict_recist	melanoma_anti_pd1_primary	GSE145996	module_positive_composite	calibration_intercept	-0.010654365598790377	platt
strict_recist	melanoma_anti_pd1_primary	GSE145996	module_positive_composite	calibration_slope	0.4612178400011029	platt
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	module_positive_composite	ifn_t_cell_inflamed	1.0	fixed_positive_mean
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	module_positive_composite	cytotoxic_cd8	1.0	fixed_positive_mean
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	module_positive_composite	exhaustion_checkpoint	1.0	fixed_positive_mean
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	module_positive_composite	antigen_presentation	1.0	fixed_positive_mean
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	module_positive_composite	trm_tls	1.0	fixed_positive_mean
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	module_positive_composite	calibration_intercept	-0.003968526737792928	platt
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	module_positive_composite	calibration_slope	0.23956969786354004	platt
strict_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	ifn_t_cell_inflamed	1.0	fixed_prior
strict_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	cytotoxic_cd8	0.5	fixed_prior
strict_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	exhaustion_checkpoint	0.25	fixed_prior
strict_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	antigen_presentation	0.5	fixed_prior
strict_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	myeloid_suppression	-0.5	fixed_prior
strict_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	stromal_exclusion	-0.5	fixed_prior
strict_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	trm_tls	0.25	fixed_prior
strict_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	calibration_intercept	0.04529288389498029	platt
strict_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	calibration_slope	0.3495356284199054	platt
strict_recist	melanoma_recist_supported_primary	GSE78220	module_prior_composite	ifn_t_cell_inflamed	1.0	fixed_prior
strict_recist	melanoma_recist_supported_primary	GSE78220	module_prior_composite	cytotoxic_cd8	0.5	fixed_prior
strict_recist	melanoma_recist_supported_primary	GSE78220	module_prior_composite	exhaustion_checkpoint	0.25	fixed_prior
strict_recist	melanoma_recist_supported_primary	GSE78220	module_prior_composite	antigen_presentation	0.5	fixed_prior
strict_recist	melanoma_recist_supported_primary	GSE78220	module_prior_composite	myeloid_suppression	-0.5	fixed_prior
strict_recist	melanoma_recist_supported_primary	GSE78220	module_prior_composite	stromal_exclusion	-0.5	fixed_prior
strict_recist	melanoma_recist_supported_primary	GSE78220	module_prior_composite	trm_tls	0.25	fixed_prior
strict_recist	melanoma_recist_supported_primary	GSE78220	module_prior_composite	calibration_intercept	-0.004459471133693722	platt
strict_recist	melanoma_recist_supported_primary	GSE78220	module_prior_composite	calibration_slope	0.40736540407075694	platt
strict_recist	melanoma_recist_supported_primary	GSE145996	module_prior_composite	ifn_t_cell_inflamed	1.0	fixed_prior
strict_recist	melanoma_recist_supported_primary	GSE145996	module_prior_composite	cytotoxic_cd8	0.5	fixed_prior
strict_recist	melanoma_recist_supported_primary	GSE145996	module_prior_composite	exhaustion_checkpoint	0.25	fixed_prior
strict_recist	melanoma_recist_supported_primary	GSE145996	module_prior_composite	antigen_presentation	0.5	fixed_prior
strict_recist	melanoma_recist_supported_primary	GSE145996	module_prior_composite	myeloid_suppression	-0.5	fixed_prior
strict_recist	melanoma_recist_supported_primary	GSE145996	module_prior_composite	stromal_exclusion	-0.5	fixed_prior
strict_recist	melanoma_recist_supported_primary	GSE145996	module_prior_composite	trm_tls	0.25	fixed_prior
strict_recist	melanoma_recist_supported_primary	GSE145996	module_prior_composite	calibration_intercept	-0.01642048559302341	platt
strict_recist	melanoma_recist_supported_primary	GSE145996	module_prior_composite	calibration_slope	0.34065379392694595	platt
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_prior_composite	ifn_t_cell_inflamed	1.0	fixed_prior
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_prior_composite	cytotoxic_cd8	0.5	fixed_prior
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_prior_composite	exhaustion_checkpoint	0.25	fixed_prior
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_prior_composite	antigen_presentation	0.5	fixed_prior
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_prior_composite	myeloid_suppression	-0.5	fixed_prior
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_prior_composite	stromal_exclusion	-0.5	fixed_prior
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_prior_composite	trm_tls	0.25	fixed_prior
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_prior_composite	calibration_intercept	-0.007205038566734777	platt
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_prior_composite	calibration_slope	0.20195204965737767	platt
strict_recist	melanoma_core_high_evidence	GSE91061	module_prior_composite	ifn_t_cell_inflamed	1.0	fixed_prior
strict_recist	melanoma_core_high_evidence	GSE91061	module_prior_composite	cytotoxic_cd8	0.5	fixed_prior
strict_recist	melanoma_core_high_evidence	GSE91061	module_prior_composite	exhaustion_checkpoint	0.25	fixed_prior
strict_recist	melanoma_core_high_evidence	GSE91061	module_prior_composite	antigen_presentation	0.5	fixed_prior
strict_recist	melanoma_core_high_evidence	GSE91061	module_prior_composite	myeloid_suppression	-0.5	fixed_prior
strict_recist	melanoma_core_high_evidence	GSE91061	module_prior_composite	stromal_exclusion	-0.5	fixed_prior
strict_recist	melanoma_core_high_evidence	GSE91061	module_prior_composite	trm_tls	0.25	fixed_prior
strict_recist	melanoma_core_high_evidence	GSE91061	module_prior_composite	calibration_intercept	0.0308461125441278	platt
strict_recist	melanoma_core_high_evidence	GSE91061	module_prior_composite	calibration_slope	0.36470762370671267	platt
strict_recist	melanoma_core_high_evidence	GSE78220	module_prior_composite	ifn_t_cell_inflamed	1.0	fixed_prior
strict_recist	melanoma_core_high_evidence	GSE78220	module_prior_composite	cytotoxic_cd8	0.5	fixed_prior
strict_recist	melanoma_core_high_evidence	GSE78220	module_prior_composite	exhaustion_checkpoint	0.25	fixed_prior
strict_recist	melanoma_core_high_evidence	GSE78220	module_prior_composite	antigen_presentation	0.5	fixed_prior
strict_recist	melanoma_core_high_evidence	GSE78220	module_prior_composite	myeloid_suppression	-0.5	fixed_prior
strict_recist	melanoma_core_high_evidence	GSE78220	module_prior_composite	stromal_exclusion	-0.5	fixed_prior
strict_recist	melanoma_core_high_evidence	GSE78220	module_prior_composite	trm_tls	0.25	fixed_prior
strict_recist	melanoma_core_high_evidence	GSE78220	module_prior_composite	calibration_intercept	-0.04579657024607623	platt
strict_recist	melanoma_core_high_evidence	GSE78220	module_prior_composite	calibration_slope	0.4527207294107503	platt
strict_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_prior_composite	ifn_t_cell_inflamed	1.0	fixed_prior
strict_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_prior_composite	cytotoxic_cd8	0.5	fixed_prior
strict_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_prior_composite	exhaustion_checkpoint	0.25	fixed_prior
strict_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_prior_composite	antigen_presentation	0.5	fixed_prior
strict_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_prior_composite	myeloid_suppression	-0.5	fixed_prior
strict_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_prior_composite	stromal_exclusion	-0.5	fixed_prior
strict_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_prior_composite	trm_tls	0.25	fixed_prior
strict_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_prior_composite	calibration_intercept	-0.016826656535232742	platt
strict_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_prior_composite	calibration_slope	0.20279162652946214	platt
strict_recist	melanoma_core_plus_phs000452	GSE91061	module_prior_composite	ifn_t_cell_inflamed	1.0	fixed_prior
strict_recist	melanoma_core_plus_phs000452	GSE91061	module_prior_composite	cytotoxic_cd8	0.5	fixed_prior
strict_recist	melanoma_core_plus_phs000452	GSE91061	module_prior_composite	exhaustion_checkpoint	0.25	fixed_prior
strict_recist	melanoma_core_plus_phs000452	GSE91061	module_prior_composite	antigen_presentation	0.5	fixed_prior
strict_recist	melanoma_core_plus_phs000452	GSE91061	module_prior_composite	myeloid_suppression	-0.5	fixed_prior
strict_recist	melanoma_core_plus_phs000452	GSE91061	module_prior_composite	stromal_exclusion	-0.5	fixed_prior
strict_recist	melanoma_core_plus_phs000452	GSE91061	module_prior_composite	trm_tls	0.25	fixed_prior
strict_recist	melanoma_core_plus_phs000452	GSE91061	module_prior_composite	calibration_intercept	0.003950123795466935	platt
strict_recist	melanoma_core_plus_phs000452	GSE91061	module_prior_composite	calibration_slope	0.22577904253277242	platt
strict_recist	melanoma_core_plus_phs000452	GSE78220	module_prior_composite	ifn_t_cell_inflamed	1.0	fixed_prior
strict_recist	melanoma_core_plus_phs000452	GSE78220	module_prior_composite	cytotoxic_cd8	0.5	fixed_prior
strict_recist	melanoma_core_plus_phs000452	GSE78220	module_prior_composite	exhaustion_checkpoint	0.25	fixed_prior
strict_recist	melanoma_core_plus_phs000452	GSE78220	module_prior_composite	antigen_presentation	0.5	fixed_prior
strict_recist	melanoma_core_plus_phs000452	GSE78220	module_prior_composite	myeloid_suppression	-0.5	fixed_prior
strict_recist	melanoma_core_plus_phs000452	GSE78220	module_prior_composite	stromal_exclusion	-0.5	fixed_prior
