endpoint	stratum	baseline_model	n_samples	target_AUROC	baseline_AUROC	delta_AUROC	bootstrap_mean_delta	ci_low	ci_high	p_value	fdr_q	claim_level
primary_recist	melanoma_recist_supported_primary	IFNG	131	0.37254901960784315	0.6397058823529411	-0.267156862745098	-0.2650699781137095	-0.39188746252761625	-0.13623037471627278	0.0	0.0	not_superior
primary_recist	melanoma_recist_supported_primary	CXCL9	131	0.37254901960784315	0.649264705882353	-0.2767156862745098	-0.2750296355793528	-0.40579784432632526	-0.14382412137707684	0.0	0.0	not_superior
primary_recist	melanoma_recist_supported_primary	TIG	131	0.37254901960784315	0.6443627450980393	-0.2718137254901961	-0.2698068896388932	-0.3977052867443898	-0.140146208861541	0.0	0.0	not_superior
primary_recist	melanoma_recist_supported_primary	TIDE_dysfunction	131	0.37254901960784315	0.6455882352941177	-0.27303921568627454	-0.27090683958318784	-0.40762810194500326	-0.14494986585561864	0.0	0.0	not_superior
primary_recist	melanoma_recist_supported_primary	APM	131	0.37254901960784315	0.6419117647058823	-0.26936274509803915	-0.2670913558967693	-0.41586087485213163	-0.12605028412845246	0.0	0.0	not_superior
primary_recist	melanoma_recist_supported_primary	CYT	131	0.37254901960784315	0.6242647058823529	-0.2517156862745098	-0.250383416360657	-0.3814767835344543	-0.11181617675270744	0.0	0.0	not_superior
primary_recist	melanoma_recist_supported_primary	IPRES	131	0.37254901960784315	0.5732843137254903	-0.20073529411764712	-0.20197380935906548	-0.31526244957574084	-0.08450790065295832	0.002	0.0027692307692307695	not_superior
primary_recist	melanoma_recist_supported_primary	TIDE_exclusion	131	0.37254901960784315	0.5392156862745099	-0.16666666666666674	-0.16724012929573046	-0.2861903309440293	-0.04545193625382308	0.004	0.0048000000000000004	not_superior
primary_recist	melanoma_core_high_evidence	IFNG	117	0.5845380263984915	0.6643620364550596	-0.07982401005656814	-0.08413231315408778	-0.2263456790123456	0.048678015469361784	0.206	0.3992727272727272	not_superior
primary_recist	melanoma_core_high_evidence	CXCL9	117	0.5845380263984915	0.6656191074795725	-0.08108108108108103	-0.08552168601348176	-0.2218973730198996	0.04805617932086402	0.232	0.3992727272727272	not_superior
primary_recist	melanoma_core_high_evidence	TIG	117	0.5845380263984915	0.6656191074795725	-0.08108108108108103	-0.08608100801417112	-0.22187382897848018	0.043583679803805155	0.184	0.3992727272727272	not_superior
primary_recist	melanoma_core_high_evidence	TIDE_dysfunction	117	0.5845380263984915	0.6546197360150849	-0.07008170961659344	-0.0748723471225189	-0.21051594545078064	0.05238888888888881	0.242	0.3992727272727272	not_superior
primary_recist	melanoma_core_high_evidence	APM	117	0.5845380263984915	0.6637335009428034	-0.07919547454431186	-0.0843773650479774	-0.22285243900230986	0.0523978897539828	0.244	0.3992727272727272	not_superior
primary_recist	melanoma_core_high_evidence	CYT	117	0.5845380263984915	0.6297925832809553	-0.045254556882463826	-0.05014762368155777	-0.18012317100787517	0.07223731884057968	0.446	0.5811428571428572	not_superior
primary_recist	melanoma_core_high_evidence	IPRES	117	0.5845380263984915	0.5669390320553112	0.017598994343180352	0.014490743672055502	-0.12796424842259504	0.15809390458711728	0.854	0.866	point_estimate_only
primary_recist	melanoma_core_high_evidence	TIDE_exclusion	117	0.5845380263984915	0.5436832181018227	0.040854808296668765	0.035354918272258555	-0.112387987012987	0.1866374671080553	0.636	0.738	point_estimate_only
