endpoint	stratum	holdout	model_name	selected_model	edge_id	source_state	target_state	gene_a	gene_b	edge_class
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|tnk_effector|HLA-A|B2M|pathway	antigen_presentation_mhc	tnk_effector	HLA-A	B2M	pathway
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|caf_ecm_exclusion|COL1A1|FN1|network	caf_ecm_exclusion	caf_ecm_exclusion	COL1A1	FN1	network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	tnk_effector|antigen_presentation_mhc|IFNG|HLA-A|regulatory	tnk_effector	antigen_presentation_mhc	IFNG	HLA-A	regulatory
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|antigen_presentation_mhc|HLA-A|TAP2|coexpression_network	antigen_presentation_mhc	antigen_presentation_mhc	HLA-A	TAP2	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|antigen_presentation_mhc|CUZD1,FAM24B,FAM24B-CUZD1|RILP,SCARF1|coexpression_network	antigen_presentation_mhc	antigen_presentation_mhc	CUZD1,FAM24B,FAM24B-CUZD1	RILP,SCARF1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|caf_ecm_exclusion|RILP,SCARF1|MIR4763,MIRLET7A3,MIRLET7B,MIRLET7BHG|coexpression_network	antigen_presentation_mhc	caf_ecm_exclusion	RILP,SCARF1	MIR4763,MIRLET7A3,MIRLET7B,MIRLET7BHG	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|caf_ecm_exclusion|CUZD1,FAM24B,FAM24B-CUZD1|MIR4763,MIRLET7A3,MIRLET7B,MIRLET7BHG|coexpression_network	antigen_presentation_mhc	caf_ecm_exclusion	CUZD1,FAM24B,FAM24B-CUZD1	MIR4763,MIRLET7A3,MIRLET7B,MIRLET7BHG	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|myeloid_suppression|ATP5E,SLMO2,SLMO2-ATP5E|S100A9|coexpression_network	antigen_presentation_mhc	myeloid_suppression	ATP5E,SLMO2,SLMO2-ATP5E	S100A9	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|myeloid_suppression|HLA-A|MRC1|coexpression_network	antigen_presentation_mhc	myeloid_suppression	HLA-A	MRC1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|tcell_dysfunction|HLA-A|PDCD1|coexpression_network	antigen_presentation_mhc	tcell_dysfunction	HLA-A	PDCD1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|tcell_dysfunction|B2M|CXCL13|coexpression_network	antigen_presentation_mhc	tcell_dysfunction	B2M	CXCL13	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|tnk_effector|RILP,SCARF1|HPN,SCN1B|coexpression_network	antigen_presentation_mhc	tnk_effector	RILP,SCARF1	HPN,SCN1B	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|tnk_effector|HLA-A|CD8A|coexpression_network	antigen_presentation_mhc	tnk_effector	HLA-A	CD8A	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|tumor_dedifferentiation|HLA-A|AXL|coexpression_network	antigen_presentation_mhc	tumor_dedifferentiation	HLA-A	AXL	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|tumor_dedifferentiation|HLA-A|VIM|coexpression_network	antigen_presentation_mhc	tumor_dedifferentiation	HLA-A	VIM	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|caf_ecm_exclusion|COL1A1|COL1A2|coexpression_network	caf_ecm_exclusion	caf_ecm_exclusion	COL1A1	COL1A2	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|caf_ecm_exclusion|COL1A2|POSTN|coexpression_network	caf_ecm_exclusion	caf_ecm_exclusion	COL1A2	POSTN	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|myeloid_suppression|COL1A2|MRC1|coexpression_network	caf_ecm_exclusion	myeloid_suppression	COL1A2	MRC1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|myeloid_suppression|COL1A1|MRC1|coexpression_network	caf_ecm_exclusion	myeloid_suppression	COL1A1	MRC1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|tcell_dysfunction|TRAJ10|TIGIT|coexpression_network	caf_ecm_exclusion	tcell_dysfunction	TRAJ10	TIGIT	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|tcell_dysfunction|TRAJ10|CXCL13|coexpression_network	caf_ecm_exclusion	tcell_dysfunction	TRAJ10	CXCL13	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|tnk_effector|TRAJ10|TRAJ6|coexpression_network	caf_ecm_exclusion	tnk_effector	TRAJ10	TRAJ6	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|tnk_effector|MIR4763,MIRLET7A3,MIRLET7B,MIRLET7BHG|HPN,SCN1B|coexpression_network	caf_ecm_exclusion	tnk_effector	MIR4763,MIRLET7A3,MIRLET7B,MIRLET7BHG	HPN,SCN1B	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|tumor_dedifferentiation|TRAJ10|TRAJ10|coexpression_network	caf_ecm_exclusion	tumor_dedifferentiation	TRAJ10	TRAJ10	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|tumor_dedifferentiation|COL1A2|AXL|coexpression_network	caf_ecm_exclusion	tumor_dedifferentiation	COL1A2	AXL	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	myeloid_suppression|myeloid_suppression|CSF1R|MRC1|coexpression_network	myeloid_suppression	myeloid_suppression	CSF1R	MRC1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	myeloid_suppression|tcell_dysfunction|CSF1R|PDCD1|coexpression_network	myeloid_suppression	tcell_dysfunction	CSF1R	PDCD1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	myeloid_suppression|tcell_dysfunction|CSF1R|TIGIT|coexpression_network	myeloid_suppression	tcell_dysfunction	CSF1R	TIGIT	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	myeloid_suppression|tnk_effector|CSF1R|IFNG|coexpression_network	myeloid_suppression	tnk_effector	CSF1R	IFNG	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	myeloid_suppression|tnk_effector|CSF1R|CD8A|coexpression_network	myeloid_suppression	tnk_effector	CSF1R	CD8A	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	myeloid_suppression|tumor_dedifferentiation|CSF1R|AXL|coexpression_network	myeloid_suppression	tumor_dedifferentiation	CSF1R	AXL	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	myeloid_suppression|tumor_dedifferentiation|MRC1|AXL|coexpression_network	myeloid_suppression	tumor_dedifferentiation	MRC1	AXL	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	tcell_dysfunction|tcell_dysfunction|PDCD1|TIGIT|coexpression_network	tcell_dysfunction	tcell_dysfunction	PDCD1	TIGIT	coexpression_network
