endpoint	stratum	holdout	candidate	inner_mean_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	inner_mean_ECE	inner_sd_AUROC	performance_score	selection_score	bio_cell_specificity	bio_pathway	bio_network	bio_lr	bio_direction_stability	penalty_size	penalty_batch	penalty_leakage	penalty_redundancy	penalty_therapy_confounding	bio_bonus	bio_penalty	bio_objective_delta
primary_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	0.6815943559364612	0.7219762250433064	0.5813189003978478	0.27137275312295905	0.14672722006363606	0.7467591122085189	0.7467591122085189													
primary_recist	melanoma_recist_supported_primary	GSE91061	module_positive_composite	0.622868359710465	0.6865964428986114	0.5589381378855063	0.21736006745027833	0.14740437118466207	0.6851450887496708	0.6851450887496708													
primary_recist	melanoma_recist_supported_primary	GSE91061	word_full_graph	0.8832687780056202	0.9220660216313142	0.6979292637187374	0.1869438449537225	0.05465480674988804	0.9577356035741805	1.0638090894088348	0.53125	0.023809523809523808	0.9761904761904762	0.0	0.9166666666666666	0.25925925925925924	0.18293836668081542	0.0	0.3270315641159243	0.16805659176094356	0.15583333333333332	0.049759847498679	0.10607348583465433
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	0.8610775189722558	0.8515671163301172	0.6745710429920956	0.2533525209979299	0.13326702952085845	0.8819897413207965	0.8783388470325206	0.5454545454545454	0.0	0.0	0.0	0.9090909090909091	0.2777777777777778	0.6593171742902054	0.0	0.4063539010450438	0.7168070109066509	0.11636363636363636	0.12001453065191228	-0.0036508942882759188
primary_recist	melanoma_recist_supported_primary	GSE91061	word_unsigned_graph	0.42164743151585254	0.4973860209516401	0.45075794088951976	0.38333081191715107	0.14868502540201228	0.3695160474370144	0.4868099518170942	0.6	0.023255813953488372	0.9767441860465116	0.0	0.9222222222222223	0.2222222222222222	0.08381697108496575	0.0	0.30595293795725165	0.2718395984829845	0.1617777777777778	0.04448387339769796	0.11729390438007983
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_bio_objective	0.7190645611698243	0.7226895354953501	0.6576227135437661	0.1882896986993329	0.12572697890050855	0.7393940550864188	0.7393940550864188	0.5454545454545454	0.0	1.0	0.0	0.9494949494949495	0.2777777777777778	0.106196285728611	0.0	0.32989432907809874	0.1615737377957074	0.1595959595959596	0.0441802173130903	0.1154157422828693
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l1_C0.05	0.5	0.5177872413644771	0.5	0.042177485266916136	0.0	0.5508893620682239	0.5508893620682239													
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l1_C0.25	0.5397314673630462	0.5877203361550151	0.5465499412867834	0.13410981405155956	0.040646096050502824	0.5964449812351361	0.5964449812351361													
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l1_C1	0.5947068282594599	0.6283997501445493	0.5754417366259471	0.24490097754666681	0.02336817523170498	0.6548989025979847	0.6548989025979847													
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l2_C0.05	0.5875177454124824	0.6224810079552295	0.5660384936700726	0.09826487773662622	0.07129749552219092	0.6469437204937475	0.6469437204937475													
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l2_C0.25	0.5950883911410226	0.6254136323215881	0.5462695199537305	0.18997344984535516	0.03795906016277528	0.6536725487547885	0.6536725487547885													
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l2_C1	0.5866447149341886	0.6168434331232072	0.578442756074335	0.2659545775941865	0.024878127437221686	0.6464090243940657	0.6464090243940657													
primary_recist	melanoma_recist_supported_primary	GSE78220	module_prior_composite	0.6697506440927494	0.6593027402156862	0.4846813274444853	0.3131194118962686	0.1503225140394979	0.726949847475758	0.726949847475758													
primary_recist	melanoma_recist_supported_primary	GSE78220	module_positive_composite	0.6536375904796957	0.6552704741986846	0.5603545577229787	0.27033791070363195	0.13574709516448272	0.7144188420757789	0.7144188420757789													
primary_recist	melanoma_recist_supported_primary	GSE78220	word_full_graph	0.5368916901811639	0.5280055280000898	0.5025641025641026	0.394327872335495	0.14653644864277204	0.4897298653698064	0.5730053337937366	0.5	0.0	1.0	0.0	0.975	0.4074074074074074	0.1289073755364418	0.0	0.7566891064857073	0.20562379825145552	0.158	0.07472453157606979	0.08327546842393022
primary_recist	melanoma_recist_supported_primary	GSE78220	word_no_interaction	0.7503915674968308	0.6670311032855958	0.6365604424814951	0.22277529587656955	0.0881145856459439	0.7758548420273049	0.7734240784911854	0.5161290322580645	0.0	0.0	0.0	0.9784946236559139	0.24074074074074073	0.6135905937804743	0.0	0.5101925343992095	0.7554830431441933	0.11956989247311828	0.12200065600923772	-0.002430763536119443
primary_recist	melanoma_recist_supported_primary	GSE78220	word_unsigned_graph	0.7058484644010962	0.613344720092294	0.5368359710464974	0.30731855064840713	0.10553968639841606	0.7004340934861021	0.7781590064890519	0.5	0.045454545454545456	0.9545454545454546	0.0	0.9895833333333333	0.25925925925925924	0.22037721147457845	0.0	0.7972507518256788	0.27157337568192463	0.15916666666666668	0.08144175366371682	0.07772491300294986
primary_recist	melanoma_recist_supported_primary	GSE78220	word_no_bio_objective	0.6653263403263403	0.5953636280316155	0.5243932237353289	0.3050929696023694	0.031014414514836594	0.6913619323442364	0.6913619323442364	0.6363636363636364	0.022727272727272728	0.9772727272727273	0.0	0.9646464646464646	0.2777777777777778	0.17563983223473587	0.0	0.4844223849959261	0.22193925337612105	0.16808080808080808	0.06048037960849234	0.10760042847231574
primary_recist	melanoma_recist_supported_primary	GSE78220	module_logistic_l1_C0.05	0.5	0.41297494607599133	0.5	0.13464410154305623	0.0	0.5456487473037996	0.5456487473037996													
primary_recist	melanoma_recist_supported_primary	GSE78220	module_logistic_l1_C0.25	0.651928188770294	0.6447222194033672	0.5599272072956284	0.26478286568862425	0.1360562397700448	0.7121606601052437	0.7121606601052437													
primary_recist	melanoma_recist_supported_primary	GSE78220	module_logistic_l1_C1	0.6116090050300577	0.6201806685762857	0.5662853228642702	0.23188586706221667	0.12167708950455418	0.6709323046020855	0.6709323046020855													
primary_recist	melanoma_recist_supported_primary	GSE78220	module_logistic_l2_C0.05	0.6591624749519486	0.6374890454763512	0.5622776346460557	0.25169093797370096	0.1442643376504906	0.7191508089580689	0.7191508089580689													
primary_recist	melanoma_recist_supported_primary	GSE78220	module_logistic_l2_C0.25	0.6253833885412833	0.6193810964612386	0.5826084733979471	0.23259233984597402	0.1066916105616918	0.6854828670342425	0.6854828670342425													
primary_recist	melanoma_recist_supported_primary	GSE78220	module_logistic_l2_C1	0.5832975504028136	0.586868506994849	0.5629585326953748	0.2727558671959809	0.09514769562285107	0.6407889023873248	0.6407889023873248													
primary_recist	melanoma_recist_supported_primary	GSE145996	module_prior_composite	0.7122567490988544	0.6357707545878359	0.618025249604197	0.25178482833564675	0.11640707219066235	0.7749465493084561	0.7749465493084561													
primary_recist	melanoma_recist_supported_primary	GSE145996	module_positive_composite	0.6664581033002085	0.6089766230113497	0.6355060144533828	0.24041753834460344	0.12172337304988604	0.7286822351734451	0.7286822351734451													
primary_recist	melanoma_recist_supported_primary	GSE145996	word_full_graph	0.5956931956931957	0.5509593640201341	0.5114774114774114	0.39571959867417944	0.19280598566921886	0.5302423693168042	0.633917643932179	0.5454545454545454	0.0	1.0	0.0	0.898989898989899	0.2777777777777778	0.11502909695926217	0.0	0.6009235945577129	0.030413246888861694	0.15555555555555556	0.051880280940180816	0.10367527461537474
primary_recist	melanoma_recist_supported_primary	GSE145996	word_no_interaction	0.7254774465300781	0.6868983297310192	0.6005687295160979	0.1717061295054851	0.1526494543958976	0.7297475420750081	0.7429457760178937	0.46153846153846156	0.0	0.0	0.0	0.9059829059829059	0.3888888888888889	0.49808292670808335	0.0	0.7539953958109157	0.06203031952151556	0.1094017094017094	0.0962034754588238	0.013198233942885607
primary_recist	melanoma_recist_supported_primary	GSE145996	word_unsigned_graph	0.6662670662670663	0.6082257037856468	0.5467754467754468	0.3022393182568433	0.14276131684593973	0.6448499186652039	0.7683096951119708	0.6060606060606061	0.0	1.0	0.0	0.8787878787878788	0.2777777777777778	0.0795439104150508	0.0	0.32032854067306904	0.03674102726286609	0.15878787878787878	0.03532810234111194	0.12345977644676684
primary_recist	melanoma_recist_supported_primary	GSE145996	word_no_bio_objective	0.7010422326211799	0.6139295437132488	0.6042457542457543	0.23094051718819342	0.16911050420457324	0.6819066702345056	0.6819066702345056	0.4838709677419355	0.0	1.0	0.0	0.924731182795699	0.24074074074074073	0.09808100811345871	0.0	0.606432779223445	0.037311124552532215	0.15268817204301077	0.049663305467505185	0.10302486657550558
primary_recist	melanoma_recist_supported_primary	GSE145996	module_logistic_l1_C0.05	0.5	0.3953382617726404	0.5	0.11700741723970526	0.0	0.544766913088632	0.544766913088632													
primary_recist	melanoma_recist_supported_primary	GSE145996	module_logistic_l1_C0.25	0.6270770165507007	0.5595572966329169	0.5817539185960239	0.24469119157763153	0.14198913485909093	0.6841425773121478	0.6841425773121478													
primary_recist	melanoma_recist_supported_primary	GSE145996	module_logistic_l1_C1	0.6308469308469308	0.558801857495489	0.5647402305297042	0.210336828856477	0.1324699051736431	0.6870240352481904	0.6870240352481904													
primary_recist	melanoma_recist_supported_primary	GSE145996	module_logistic_l2_C0.05	0.670769581295897	0.5937208229698075	0.5973269420637841	0.22394296365988087	0.1300572844893596	0.7303219695475767	0.7303219695475767													
primary_recist	melanoma_recist_supported_primary	GSE145996	module_logistic_l2_C0.25	0.6443655759445234	0.579059785885759	0.5790925448820186	0.23198413118479544	0.13474847660418177	0.7022731924829122	0.7022731924829122													
primary_recist	melanoma_recist_supported_primary	GSE145996	module_logistic_l2_C1	0.6013179802653487	0.5385047136052927	0.6012785460153881	0.26807307870160696	0.13545366007104098	0.6583071432463827	0.6583071432463827													
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_prior_composite	0.5940018315018315	0.5919310143351496	0.5492979242979243	0.15965219964307512	0.053732902652584104	0.6510632784334852	0.6510632784334852													
