endpoint	stratum	holdout	model_name	selected_model	edge_id	source_state	target_state	gene_a	gene_b	edge_class
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	antigen_presentation_mhc|tnk_effector|HLA-A|B2M|pathway	antigen_presentation_mhc	tnk_effector	HLA-A	B2M	pathway
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	tnk_effector|antigen_presentation_mhc|IFNG|HLA-A|regulatory	tnk_effector	antigen_presentation_mhc	IFNG	HLA-A	regulatory
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	antigen_presentation_mhc|antigen_presentation_mhc|RP11-444B24|TRAJ10|coexpression_network	antigen_presentation_mhc	antigen_presentation_mhc	RP11-444B24	TRAJ10	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	antigen_presentation_mhc|antigen_presentation_mhc|B2M|TRAJ10|coexpression_network	antigen_presentation_mhc	antigen_presentation_mhc	B2M	TRAJ10	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	antigen_presentation_mhc|caf_ecm_exclusion|TRAJ10|TRAJ6|coexpression_network	antigen_presentation_mhc	caf_ecm_exclusion	TRAJ10	TRAJ6	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	antigen_presentation_mhc|caf_ecm_exclusion|HLA-A|COL3A1|coexpression_network	antigen_presentation_mhc	caf_ecm_exclusion	HLA-A	COL3A1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	antigen_presentation_mhc|myeloid_suppression|RP11-444B24|RP11-444B24|coexpression_network	antigen_presentation_mhc	myeloid_suppression	RP11-444B24	RP11-444B24	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	antigen_presentation_mhc|myeloid_suppression|HLA-A|MRC1|coexpression_network	antigen_presentation_mhc	myeloid_suppression	HLA-A	MRC1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	antigen_presentation_mhc|tcell_dysfunction|RP11-444B24|PDCD1|coexpression_network	antigen_presentation_mhc	tcell_dysfunction	RP11-444B24	PDCD1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	antigen_presentation_mhc|tcell_dysfunction|RP11-444B24|CXCL13|coexpression_network	antigen_presentation_mhc	tcell_dysfunction	RP11-444B24	CXCL13	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	antigen_presentation_mhc|tnk_effector|TRAJ10|CD8A|coexpression_network	antigen_presentation_mhc	tnk_effector	TRAJ10	CD8A	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	antigen_presentation_mhc|tnk_effector|RP11-444B24|CD8A|coexpression_network	antigen_presentation_mhc	tnk_effector	RP11-444B24	CD8A	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	antigen_presentation_mhc|tumor_dedifferentiation|HLA-A|VIM|coexpression_network	antigen_presentation_mhc	tumor_dedifferentiation	HLA-A	VIM	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	antigen_presentation_mhc|tumor_dedifferentiation|TRAJ10|IGHV6-1|coexpression_network	antigen_presentation_mhc	tumor_dedifferentiation	TRAJ10	IGHV6-1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	caf_ecm_exclusion|caf_ecm_exclusion|COL1A1|COL3A1|coexpression_network	caf_ecm_exclusion	caf_ecm_exclusion	COL1A1	COL3A1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	caf_ecm_exclusion|caf_ecm_exclusion|ACTA2|COL1A1|coexpression_network	caf_ecm_exclusion	caf_ecm_exclusion	ACTA2	COL1A1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	caf_ecm_exclusion|myeloid_suppression|COL3A1|MRC1|coexpression_network	caf_ecm_exclusion	myeloid_suppression	COL3A1	MRC1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	caf_ecm_exclusion|myeloid_suppression|COL1A1|ITGAM|coexpression_network	caf_ecm_exclusion	myeloid_suppression	COL1A1	ITGAM	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	caf_ecm_exclusion|tcell_dysfunction|IGHD2-15|IGHD2-15|coexpression_network	caf_ecm_exclusion	tcell_dysfunction	IGHD2-15	IGHD2-15	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	caf_ecm_exclusion|tcell_dysfunction|IGHD2-15|PDCD1|coexpression_network	caf_ecm_exclusion	tcell_dysfunction	IGHD2-15	PDCD1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	caf_ecm_exclusion|tnk_effector|TRAJ6|CD8A|coexpression_network	caf_ecm_exclusion	tnk_effector	TRAJ6	CD8A	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	caf_ecm_exclusion|tnk_effector|CXCL12|MIR4763,MIRLET7A3,MIRLET7B,MIRLET7BHG|coexpression_network	caf_ecm_exclusion	tnk_effector	CXCL12	MIR4763,MIRLET7A3,MIRLET7B,MIRLET7BHG	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	caf_ecm_exclusion|tumor_dedifferentiation|IGHD2-15|IGHV6-1|coexpression_network	caf_ecm_exclusion	tumor_dedifferentiation	IGHD2-15	IGHV6-1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	caf_ecm_exclusion|tumor_dedifferentiation|TRAJ6|IGHV6-1|coexpression_network	caf_ecm_exclusion	tumor_dedifferentiation	TRAJ6	IGHV6-1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	myeloid_suppression|myeloid_suppression|CD163|ITGAM|coexpression_network	myeloid_suppression	myeloid_suppression	CD163	ITGAM	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	myeloid_suppression|myeloid_suppression|ITGAM|MRC1|coexpression_network	myeloid_suppression	myeloid_suppression	ITGAM	MRC1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	myeloid_suppression|tcell_dysfunction|RP11-444B24|PDCD1|coexpression_network	myeloid_suppression	tcell_dysfunction	RP11-444B24	PDCD1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	myeloid_suppression|tcell_dysfunction|RP11-444B24|CXCL13|coexpression_network	myeloid_suppression	tcell_dysfunction	RP11-444B24	CXCL13	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	myeloid_suppression|tnk_effector|MIR4763,MIRLET7A3,MIRLET7B,MIRLET7BHG|MIR4763,MIRLET7A3,MIRLET7B,MIRLET7BHG|coexpression_network	myeloid_suppression	tnk_effector	MIR4763,MIRLET7A3,MIRLET7B,MIRLET7BHG	MIR4763,MIRLET7A3,MIRLET7B,MIRLET7BHG	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	myeloid_suppression|tnk_effector|MIR143,MIR143HG|MIR143,MIR143HG|coexpression_network	myeloid_suppression	tnk_effector	MIR143,MIR143HG	MIR143,MIR143HG	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	myeloid_suppression|tumor_dedifferentiation|MIR143,MIR143HG|MIR143,MIR143HG|coexpression_network	myeloid_suppression	tumor_dedifferentiation	MIR143,MIR143HG	MIR143,MIR143HG	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	myeloid_suppression|tumor_dedifferentiation|MIR4763,MIRLET7A3,MIRLET7B,MIRLET7BHG|MIR143,MIR143HG|coexpression_network	myeloid_suppression	tumor_dedifferentiation	MIR4763,MIRLET7A3,MIRLET7B,MIRLET7BHG	MIR143,MIR143HG	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	tcell_dysfunction|tcell_dysfunction|CXCL13|PDCD1|coexpression_network	tcell_dysfunction	tcell_dysfunction	CXCL13	PDCD1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	tcell_dysfunction|tcell_dysfunction|IGHD2-15|PDCD1|coexpression_network	tcell_dysfunction	tcell_dysfunction	IGHD2-15	PDCD1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	tcell_dysfunction|tnk_effector|PDCD1|PRF1|coexpression_network	tcell_dysfunction	tnk_effector	PDCD1	PRF1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	tcell_dysfunction|tnk_effector|PDCD1|CD8A|coexpression_network	tcell_dysfunction	tnk_effector	PDCD1	CD8A	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	tcell_dysfunction|tumor_dedifferentiation|PDCD1|IGHV6-1|coexpression_network	tcell_dysfunction	tumor_dedifferentiation	PDCD1	IGHV6-1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	tcell_dysfunction|tumor_dedifferentiation|IGHD2-15|IGHV6-1|coexpression_network	tcell_dysfunction	tumor_dedifferentiation	IGHD2-15	IGHV6-1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	tnk_effector|tnk_effector|CD8A|PRF1|coexpression_network	tnk_effector	tnk_effector	CD8A	PRF1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	tnk_effector|tnk_effector|CD8A|IFNG|coexpression_network	tnk_effector	tnk_effector	CD8A	IFNG	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	tnk_effector|tumor_dedifferentiation|MIR143,MIR143HG|MIR143,MIR143HG|coexpression_network	tnk_effector	tumor_dedifferentiation	MIR143,MIR143HG	MIR143,MIR143HG	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-HeuristicEcology	word_full_graph	tnk_effector|tumor_dedifferentiation|MIR4763,MIRLET7A3,MIRLET7B,MIRLET7BHG|MIR143,MIR143HG|coexpression_network	tnk_effector	tumor_dedifferentiation	MIR4763,MIRLET7A3,MIRLET7B,MIRLET7BHG	MIR143,MIR143HG	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|tnk_effector|HLA-A|B2M|pathway	antigen_presentation_mhc	tnk_effector	HLA-A	B2M	pathway
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	tnk_effector|antigen_presentation_mhc|IFNG|HLA-A|regulatory	tnk_effector	antigen_presentation_mhc	IFNG	HLA-A	regulatory
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|antigen_presentation_mhc|RP11-444B24|TRAJ10|coexpression_network	antigen_presentation_mhc	antigen_presentation_mhc	RP11-444B24	TRAJ10	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|antigen_presentation_mhc|B2M|TRAJ10|coexpression_network	antigen_presentation_mhc	antigen_presentation_mhc	B2M	TRAJ10	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|caf_ecm_exclusion|TRAJ10|TRAJ6|coexpression_network	antigen_presentation_mhc	caf_ecm_exclusion	TRAJ10	TRAJ6	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|caf_ecm_exclusion|HLA-A|COL3A1|coexpression_network	antigen_presentation_mhc	caf_ecm_exclusion	HLA-A	COL3A1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|myeloid_suppression|RP11-444B24|RP11-444B24|coexpression_network	antigen_presentation_mhc	myeloid_suppression	RP11-444B24	RP11-444B24	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|myeloid_suppression|HLA-A|MRC1|coexpression_network	antigen_presentation_mhc	myeloid_suppression	HLA-A	MRC1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|tcell_dysfunction|RP11-444B24|PDCD1|coexpression_network	antigen_presentation_mhc	tcell_dysfunction	RP11-444B24	PDCD1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|tcell_dysfunction|RP11-444B24|CXCL13|coexpression_network	antigen_presentation_mhc	tcell_dysfunction	RP11-444B24	CXCL13	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|tnk_effector|TRAJ10|CD8A|coexpression_network	antigen_presentation_mhc	tnk_effector	TRAJ10	CD8A	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|tnk_effector|RP11-444B24|CD8A|coexpression_network	antigen_presentation_mhc	tnk_effector	RP11-444B24	CD8A	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|tumor_dedifferentiation|HLA-A|VIM|coexpression_network	antigen_presentation_mhc	tumor_dedifferentiation	HLA-A	VIM	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|tumor_dedifferentiation|TRAJ10|IGHV6-1|coexpression_network	antigen_presentation_mhc	tumor_dedifferentiation	TRAJ10	IGHV6-1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|caf_ecm_exclusion|COL1A1|COL3A1|coexpression_network	caf_ecm_exclusion	caf_ecm_exclusion	COL1A1	COL3A1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|caf_ecm_exclusion|ACTA2|COL1A1|coexpression_network	caf_ecm_exclusion	caf_ecm_exclusion	ACTA2	COL1A1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|myeloid_suppression|COL3A1|MRC1|coexpression_network	caf_ecm_exclusion	myeloid_suppression	COL3A1	MRC1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|myeloid_suppression|COL1A1|ITGAM|coexpression_network	caf_ecm_exclusion	myeloid_suppression	COL1A1	ITGAM	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|tcell_dysfunction|IGHD2-15|IGHD2-15|coexpression_network	caf_ecm_exclusion	tcell_dysfunction	IGHD2-15	IGHD2-15	coexpression_network
