endpoint	stratum	holdout	selected_model	model_name	feature	weight	weight_type	state	direction	training_abs_correlation	direction_stability	state_prior_seed	state_candidate_score	source_state	target_state	gene_a	gene_b	edge_class	generation	best_AUROC	best_AUPRC	best_ECE	backend
primary_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	EcoNiche-Opt-HeuristicEcology	ifn_t_cell_inflamed	1.0	fixed_prior																
primary_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	EcoNiche-Opt-HeuristicEcology	cytotoxic_cd8	0.5	fixed_prior																
primary_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	EcoNiche-Opt-HeuristicEcology	exhaustion_checkpoint	0.25	fixed_prior																
primary_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	EcoNiche-Opt-HeuristicEcology	antigen_presentation	0.5	fixed_prior																
primary_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	EcoNiche-Opt-HeuristicEcology	myeloid_suppression	-0.5	fixed_prior																
primary_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	EcoNiche-Opt-HeuristicEcology	stromal_exclusion	-0.5	fixed_prior																
primary_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	EcoNiche-Opt-HeuristicEcology	trm_tls	0.25	fixed_prior																
primary_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	EcoNiche-Opt-HeuristicEcology	calibration	0.0	fixed_sigmoid_no_rank_changing_calibration																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_full_graph	EcoNiche-Opt-WordFullGraph	cancer_offset__Melanoma	1.0	cancer_offset																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_full_graph	EcoNiche-Opt-WordFullGraph	therapy_offset__Pembrolizumab	1.0	therapy_offset																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_full_graph	EcoNiche-Opt-WordFullGraph	therapy_offset__Nivolumab	1.0	therapy_offset																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_full_graph	EcoNiche-Opt-WordFullGraph	therapy_offset__PEM	1.0	therapy_offset																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_full_graph	EcoNiche-Opt-WordFullGraph	therapy_offset__Pem	1.0	therapy_offset																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_full_graph	EcoNiche-Opt-WordFullGraph	current_module_prior_anchor	0.2341511217409062	word_formula_theta_eta_offset																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_full_graph	EcoNiche-Opt-WordFullGraph	current_module_positive_anchor	0.18479666731444133	word_formula_theta_eta_offset																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_full_graph	EcoNiche-Opt-WordFullGraph	tumor_dedifferentiation	0.8227125204848375	word_formula_theta_eta_offset																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_full_graph	EcoNiche-Opt-WordFullGraph	antigen_presentation_mhc	0.41110467356164904	word_formula_theta_eta_offset																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_full_graph	EcoNiche-Opt-WordFullGraph	tnk_effector	-0.24426032459279284	word_formula_theta_eta_offset																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_full_graph	EcoNiche-Opt-WordFullGraph	tcell_dysfunction	0.0007131868818513272	word_formula_theta_eta_offset																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_full_graph	EcoNiche-Opt-WordFullGraph	caf_ecm_exclusion	0.8300454990742919	word_formula_theta_eta_offset																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_full_graph	EcoNiche-Opt-WordFullGraph	myeloid_suppression	0.28195521481704877	word_formula_theta_eta_offset																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_full_graph	EcoNiche-Opt-WordFullGraph	interaction__tnk_effector__tumor_dedifferentiation	0.5106031336143483	word_formula_theta_eta_offset																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_full_graph	EcoNiche-Opt-WordFullGraph	interaction__antigen_presentation_mhc__antigen_presentation_mhc	0.8526154747718333	word_formula_theta_eta_offset																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_full_graph	EcoNiche-Opt-WordFullGraph	interaction__tcell_dysfunction__tumor_dedifferentiation	0.5790273749302601	word_formula_theta_eta_offset																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_full_graph	EcoNiche-Opt-WordFullGraph	interaction__antigen_presentation_mhc__caf_ecm_exclusion	-0.2581480387584647	word_formula_theta_eta_offset																
