endpoint	cohort	n_total_with_response_raw	n_used	n_dropped	n_responders	n_nonresponders	response_raw_counts
strict_recist	GSE115821	8	8	0	2	6	NR:6;R:2
strict_recist	GSE136961	21	21	0	9	12	DCB:9;NDB:12
strict_recist	GSE140901	24	14	10	6	8	PD:8;PR:6;SD:10
strict_recist	GSE145996	14	13	1	8	5	CR:2;PD:5;PR:6;SD:1
strict_recist	GSE165252	32	32	0	12	20	NR:20;R:12
strict_recist	GSE168204	21	21	0	9	12	NR:12;R:9
strict_recist	GSE176307	88	84	4	16	68	CR:7;PD:68;PR:9;SD:4
strict_recist	GSE67501	11	11	0	4	7	NR:7;R:4
strict_recist	GSE78220	27	27	0	14	13	CR:4;PD:13;PR:10
strict_recist	GSE91061	49	33	16	10	23	PD:23;PR:10;SD:16
strict_recist	GSE93157	65	49	16	20	29	CR:3;PD:29;PR:17;SD:16
strict_recist	PHS000452_LIU_LIKE_PRE	121	103	18	48	55	CR:16;MR:2;PD:55;PR:32;SD:16
strict_recist	PRJEB23709_COMBO_PRE	32	27	5	21	6	CR:10;PD:6;PR:11;SD:5
strict_recist	PRJEB23709_PD1_PRE	41	35	6	19	16	CR:4;PD:16;PR:15;SD:6
primary_recist	GSE115821	8	8	0	2	6	NR:6;R:2
primary_recist	GSE136961	21	21	0	9	12	DCB:9;NDB:12
primary_recist	GSE140901	24	24	0	6	18	PD:8;PR:6;SD:10
primary_recist	GSE145996	14	14	0	8	6	CR:2;PD:5;PR:6;SD:1
primary_recist	GSE165252	32	32	0	12	20	NR:20;R:12
primary_recist	GSE168204	21	21	0	9	12	NR:12;R:9
primary_recist	GSE176307	88	88	0	16	72	CR:7;PD:68;PR:9;SD:4
primary_recist	GSE67501	11	11	0	4	7	NR:7;R:4
primary_recist	GSE78220	27	27	0	14	13	CR:4;PD:13;PR:10
primary_recist	GSE91061	49	49	0	10	39	PD:23;PR:10;SD:16
primary_recist	GSE93157	65	65	0	20	45	CR:3;PD:29;PR:17;SD:16
primary_recist	PHS000452_LIU_LIKE_PRE	121	121	0	50	71	CR:16;MR:2;PD:55;PR:32;SD:16
primary_recist	PRJEB23709_COMBO_PRE	32	32	0	21	11	CR:10;PD:6;PR:11;SD:5
primary_recist	PRJEB23709_PD1_PRE	41	41	0	19	22	CR:4;PD:16;PR:15;SD:6
clinical_benefit	GSE115821	8	8	0	2	6	NR:6;R:2
clinical_benefit	GSE136961	21	21	0	9	12	DCB:9;NDB:12
clinical_benefit	GSE140901	24	24	0	16	8	PD:8;PR:6;SD:10
clinical_benefit	GSE145996	14	14	0	9	5	CR:2;PD:5;PR:6;SD:1
clinical_benefit	GSE165252	32	32	0	12	20	NR:20;R:12
clinical_benefit	GSE168204	21	21	0	9	12	NR:12;R:9
clinical_benefit	GSE176307	88	88	0	20	68	CR:7;PD:68;PR:9;SD:4
clinical_benefit	GSE67501	11	11	0	4	7	NR:7;R:4
clinical_benefit	GSE78220	27	27	0	14	13	CR:4;PD:13;PR:10
clinical_benefit	GSE91061	49	49	0	26	23	PD:23;PR:10;SD:16
clinical_benefit	GSE93157	65	65	0	36	29	CR:3;PD:29;PR:17;SD:16
clinical_benefit	PHS000452_LIU_LIKE_PRE	121	121	0	66	55	CR:16;MR:2;PD:55;PR:32;SD:16
clinical_benefit	PRJEB23709_COMBO_PRE	32	32	0	26	6	CR:10;PD:6;PR:11;SD:5
clinical_benefit	PRJEB23709_PD1_PRE	41	41	0	25	16	CR:4;PD:16;PR:15;SD:6
