mean_delta	ci_low	ci_high	p_value	endpoint	stratum	comparison	baseline_model	n_samples	target_AUROC	baseline_AUROC	target_AUPRC	baseline_AUPRC	target_ECE	baseline_ECE	is_strong_baseline	status	fdr_q
-0.1523169197048963	-0.2706405112557367	-0.02849890134678802	0.014	clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordFullGraph_vs_APM	APM	160	0.4549019607843138	0.6075294117647059	0.4924718290670706	0.590159940525187	0.23135756350104134	0.11329444400791902	True	computed_from_matched_predictions	0.08836363636363637
-0.1446704595978162	-0.26106248816982086	-0.02405425878774619	0.024	clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordFullGraph_vs_EcoNiche-Opt-ModulePriorFixed	EcoNiche-Opt-ModulePriorFixed	160	0.4549019607843138	0.6	0.4924718290670706	0.6355050893441581	0.23135756350104134	0.29285005254633717	True	computed_from_matched_predictions	0.08836363636363637
-0.13398855827203623	-0.2506813223675683	-0.013117378662699361	0.03	clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordFullGraph_vs_EcoNiche-Opt-ModulePriorFixed-Platt	EcoNiche-Opt-ModulePriorFixed-Platt	160	0.4549019607843138	0.5893333333333333	0.4924718290670706	0.6049107351310968	0.23135756350104134	0.050033661949261544	False	computed_from_matched_predictions	0.08836363636363637
-0.13410346543929294	-0.26178047009021604	-0.010068139353871361	0.034	clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordFullGraph_vs_EcoNiche-Opt-AdaptiveConsensus	EcoNiche-Opt-AdaptiveConsensus	160	0.4549019607843138	0.5891764705882352	0.4924718290670706	0.6065730338046772	0.23135756350104134	0.15012783639036312	False	computed_from_matched_predictions	0.08836363636363637
-0.13255151188629913	-0.2595922479241788	-0.00981863664790486	0.038	clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordFullGraph_vs_EcoNiche-Opt-ModuleIFNConsensus	EcoNiche-Opt-ModuleIFNConsensus	160	0.4549019607843138	0.587764705882353	0.4924718290670706	0.6070970280630984	0.23135756350104134	0.16930150756861542	False	computed_from_matched_predictions	0.08836363636363637
-0.12786323483542072	-0.25842632869138893	-0.0018501023460871678	0.048	clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordFullGraph_vs_CXCL9	CXCL9	160	0.4549019607843138	0.5832156862745098	0.4924718290670706	0.5989886797282954	0.23135756350104134	0.14231500448385342	True	computed_from_matched_predictions	0.08836363636363637
-0.1280560827981202	-0.2578211825655291	-0.005291078872192314	0.044	clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordFullGraph_vs_TIG	TIG	160	0.4549019607843138	0.5832156862745098	0.4924718290670706	0.6035980061407793	0.23135756350104134	0.16639696862193434	True	computed_from_matched_predictions	0.08836363636363637
-0.12660689337649855	-0.2442395666700415	-0.009055746662113428	0.034	clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordFullGraph_vs_TIDE_dysfunction	TIDE_dysfunction	160	0.4549019607843138	0.5813333333333334	0.4924718290670706	0.6058398905417317	0.23135756350104134	0.15475370825013293	True	computed_from_matched_predictions	0.08836363636363637
-0.12530174375123967	-0.25560404061127084	0.00016450286225032742	0.052	clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordFullGraph_vs_IFNG	IFNG	160	0.4549019607843138	0.5803921568627451	0.4924718290670706	0.5995536524916448	0.23135756350104134	0.13336167072077332	True	computed_from_matched_predictions	0.08836363636363637
-0.12235867298422297	-0.2495484115821668	0.0014231130711393983	0.054	clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordFullGraph_vs_EcoNiche-Opt-ImmuneComposite	EcoNiche-Opt-ImmuneComposite	160	0.4549019607843138	0.5769411764705882	0.4924718290670706	0.5884765129727771	0.23135756350104134	0.15200212080689324	True	computed_from_matched_predictions	0.08836363636363637
-0.11254873404716793	-0.23107184374332548	0.006418073796122495	0.06	clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordFullGraph_vs_CYT	CYT	160	0.4549019607843138	0.5673725490196079	0.4924718290670706	0.5858665351364246	0.23135756350104134	0.16498777587907104	True	computed_from_matched_predictions	0.08861538461538462
-0.1072696924639721	-0.23485985559156286	0.010170760965941664	0.082	clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordFullGraph_vs_PDCD1LG2	PDCD1LG2	160	0.4549019607843138	0.5615686274509804	0.4924718290670706	0.5810203750714886	0.23135756350104134	0.1737328084849805	True	computed_from_matched_predictions	0.10542857142857143
-0.09604163241084071	-0.18556109022556394	-0.004966635015459879	0.038	clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordFullGraph_vs_EcoNiche-Opt-WordUnsignedGraph	EcoNiche-Opt-WordUnsignedGraph	160	0.4549019607843138	0.552	0.4924718290670706	0.5918763624914954	0.23135756350104134	0.13206166798380795	True	computed_from_matched_predictions	0.08836363636363637
