endpoint	stratum	ablation_model	n_samples	full_AUROC	ablation_AUROC	delta_AUROC	full_AUPRC	ablation_AUPRC	full_ECE	ablation_ECE	bootstrap_mean_delta	ci_low	ci_high	p_value	fdr_q	claim_level
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordNoInteraction	160	0.5938823529411765	0.5938823529411765	0.0	0.6203282139672512	0.6207446140378564	0.2670416675518019	0.2669831508582025	2.336689857374974e-05	-0.0015647003598810993	0.0018752930145334884	1.0	1.0	component_not_supported
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordUnsignedGraph	160	0.5938823529411765	0.5937254901960785	0.00015686274509807419	0.6203282139672512	0.6235177762230464	0.2670416675518019	0.2794039123046208	0.0002479237129802184	-0.010235214464555897	0.010832672634271059	0.96	1.0	point_estimate_component_gain
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordNoBioObjective	160	0.5938823529411765	0.5920000000000001	0.0018823529411764461	0.6203282139672512	0.6156816495730629	0.2670416675518019	0.27949560674608626	0.0018780009108596153	-0.004735923044346976	0.008615965097375722	0.596	0.8511428571428572	point_estimate_component_gain
clinical_benefit	melanoma_binary_response_stress	EcoNiche-Opt-WordNoBioObjective	29	0.4595959595959596	0.4797979797979798	-0.020202020202020166	0.3672777249332273	0.3756784151520994	0.3973810548081105	0.4242443874570534	-0.02047186622149033	-0.06666666666666671	0.0	0.352	0.8537142857142858	component_not_supported
clinical_benefit	melanoma_binary_response_stress	EcoNiche-Opt-WordNoInteraction	29	0.4595959595959596	0.4595959595959596	0.0	0.3672777249332273	0.3672777249332273	0.3973810548081105	0.3977373728756629	4.440892098500626e-19	0.0	5.551115123125783e-17	1.0	1.0	component_not_supported
clinical_benefit	melanoma_binary_response_stress	EcoNiche-Opt-WordUnsignedGraph	29	0.4595959595959596	0.45454545454545453	0.005050505050505083	0.3672777249332273	0.36157274098450565	0.3973810548081105	0.4664979924315874	0.00498866246618131	-0.04444444444444445	0.05716356107660455	0.948	1.0	point_estimate_component_gain
clinical_benefit	melanoma_core_high_evidence	EcoNiche-Opt-WordNoInteraction	117	0.6328402366863907	0.6340236686390534	-0.0011834319526626835	0.6756899468795946	0.6767515917873934	0.2683236287367782	0.26808748979567215	-0.0011693981256763188	-0.0039021496279671606	0.0005865102639296405	0.296	0.48436363636363633	component_not_supported
clinical_benefit	melanoma_core_high_evidence	EcoNiche-Opt-WordNoBioObjective	117	0.6328402366863907	0.6304733727810651	0.002366863905325589	0.6756899468795946	0.6743547739987297	0.2683236287367782	0.2589569904460616	0.002438729220941579	-0.003925120772946822	0.009727365515008655	0.458	0.5654117647058824	point_estimate_component_gain
clinical_benefit	melanoma_core_high_evidence	EcoNiche-Opt-WordUnsignedGraph	117	0.6328402366863907	0.6257396449704142	0.007100591715976434	0.6756899468795946	0.6653973759727578	0.2683236287367782	0.27945305973922285	0.007163952564802378	-0.014030983272488095	0.028599236281679225	0.52	0.5654117647058824	point_estimate_component_gain
clinical_benefit	melanoma_core_plus_phs000452	EcoNiche-Opt-WordNoBioObjective	238	0.6075479774559464	0.6084754227010059	-0.0009274452450594994	0.6606827222664611	0.6629554597379552	0.24621098469518737	0.23914592863232098	-0.0009550560015810197	-0.006030263682822579	0.0033934582711478934	0.684	0.952	component_not_supported
clinical_benefit	melanoma_core_plus_phs000452	EcoNiche-Opt-WordNoInteraction	238	0.6075479774559464	0.6081900549332953	-0.0006420774773489013	0.6606827222664611	0.6609068969711831	0.24621098469518737	0.2454786810987757	-0.0006400464804276471	-0.0020412253005054172	0.0007070049210918749	0.332	0.819	component_not_supported
clinical_benefit	melanoma_core_plus_phs000452	EcoNiche-Opt-WordUnsignedGraph	238	0.6075479774559464	0.6052650353142612	0.002282942141685118	0.6606827222664611	0.6636503431043893	0.24621098469518737	0.2724779428484416	0.0022903672696317507	-0.019965772603308236	0.02568626545663184	0.826	0.952	point_estimate_component_gain
clinical_benefit	melanoma_recist_supported_primary	EcoNiche-Opt-WordNoInteraction	131	0.6339497392128971	0.6341868183973447	-0.00023707918444759724	0.6966994098989282	0.6968217687749895	0.2449337611889891	0.2453924890138204	-0.00016401994359427452	-0.0025100401606426015	0.002103885354293397	0.968	0.978	component_not_supported
clinical_benefit	melanoma_recist_supported_primary	EcoNiche-Opt-WordUnsignedGraph	131	0.6339497392128971	0.6311047889995258	0.002844950213371278	0.6966994098989282	0.6936002650905804	0.2449337611889891	0.27574325024980134	0.002798505020594671	-0.008339285714285683	0.013987793518184393	0.634	0.7608	point_estimate_component_gain
clinical_benefit	melanoma_recist_supported_primary	EcoNiche-Opt-WordNoBioObjective	131	0.6339497392128971	0.6306306306306306	0.0033191085822664723	0.6966994098989282	0.6947125699017616	0.2449337611889891	0.24812895480577485	0.003264522914529848	-0.003070382616910619	0.01040341419586707	0.34	0.51	point_estimate_component_gain
clinical_benefit	pan_cancer_response_all	EcoNiche-Opt-WordNoInteraction	554	0.6261079249217936	0.6262382690302398	-0.00013034410844625643	0.6209513287743214	0.6203979976474194	0.22225205839356257	0.2237452397742879	-0.00011740387646936112	-0.0006139440437290117	0.00037835533558898957	0.63	0.73575	component_not_supported
