candidate	AUROC	AUPRC	balanced_accuracy	n_samples	n_responders	n_nonresponders
0.80*base+0.20*pct__PLA2G2D	0.7834695160276556	0.673180403011064	0.6829038340666247	117	43	74
0.80*base+0.20*rz__PLA2G2D	0.7774984286612194	0.6645221072897123	0.6585480829666877	117	43	74
0.80*base+0.20*rz__PIK3CD	0.7765556253928346	0.6732991389945955	0.6953174104336894	117	43	74
0.80*base+0.20*z__PIK3CD	0.7765556253928346	0.6732991389945955	0.6953174104336894	117	43	74
0.80*base+0.20*z__PLA2G2D	0.7730986800754244	0.6625386301872529	0.6664047768698931	117	43	74
0.65*base+0.35*pct__PLA2G2D	0.7727844123192961	0.6556551317314969	0.6285355122564424	117	43	74
base_rescue_robust	0.7724701445631679	0.657990756879542	0.6555625392834695	117	43	74
0.65*base+0.35*rz__PLA2G2D	0.7677561282212445	0.650994984898573	0.6217787554996858	117	43	74
0.80*base+0.20*pct__PIK3CD	0.7674418604651163	0.6949346976556333	0.7118164676304211	117	43	74
0.65*base+0.35*rz__PIK3CD	0.767127592708988	0.6977753630258082	0.700188560653677	117	43	74
0.65*base+0.35*z__PIK3CD	0.767127592708988	0.6977753630258082	0.700188560653677	117	43	74
0.65*base+0.35*z__PLA2G2D	0.7639849151477058	0.6524727227488922	0.6150219987429291	117	43	74
0.50*base+0.50*rz__PIK3CD	0.7602137020741672	0.6886343560223155	0.6439346323067253	117	43	74
0.50*base+0.50*z__PIK3CD	0.7602137020741672	0.6886343560223155	0.6439346323067253	117	43	74
0.50*base+0.50*pct__PLA2G2D	0.7595851665619108	0.640416129824853	0.5801382778126964	117	43	74
0.50*base+0.50*rz__PLA2G2D	0.7570710245128849	0.6321582761203486	0.6528912633563797	117	43	74
0.50*base+0.50*z__PLA2G2D	0.7564424890006286	0.6376876614335758	0.7129164047768699	117	43	74
0.35*base+0.65*rz__PIK3CD	0.7520427404148334	0.689614078074187	0.7009742300439974	117	43	74
0.35*base+0.65*z__PIK3CD	0.7520427404148334	0.689614078074187	0.7009742300439974	117	43	74
0.65*base+0.35*pct__PIK3CD	0.7498428661219358	0.6928881750729291	0.6758328095537398	117	43	74
0.35*base+0.65*rz__PLA2G2D	0.742928975487115	0.6145366700711905	0.6502199874292898	117	43	74
0.35*base+0.65*pct__PLA2G2D	0.7404148334380892	0.6221075616695086	0.6918604651162791	117	43	74
0.35*base+0.65*z__PLA2G2D	0.7397862979258327	0.6265101867157177	0.6412633563796355	117	43	74
0.20*base+0.80*rz__PIK3CD	0.7338152105593966	0.6720688154496234	0.6893463230672533	117	43	74
0.20*base+0.80*z__PIK3CD	0.7338152105593966	0.6720688154496234	0.6893463230672533	117	43	74
0.50*base+0.50*pct__PIK3CD	0.7253299811439347	0.6784987413162878	0.693117536140792	117	43	74
0.20*base+0.80*rz__PLA2G2D	0.7203016970458831	0.5896509788697761	0.6055939660590823	117	43	74
0.20*base+0.80*pct__PLA2G2D	0.7196731615336266	0.5978504830040112	0.5909805153991201	117	43	74
0.20*base+0.80*z__PLA2G2D	0.7143306096794468	0.5966141970047739	0.5939660590823381	117	43	74
0.35*base+0.65*pct__PIK3CD	0.7077309868007543	0.6666697628311214	0.6698617221873036	117	43	74
0.20*base+0.80*pct__PIK3CD	0.6891891891891893	0.6519564160984663	0.5963230672532998	117	43	74
