candidate	AUROC	AUPRC	balanced_accuracy	n_samples	n_responders	n_nonresponders
0.80*base+0.20*pct__PLA2G2D	0.7834695160276556	0.673180403011064	0.6829038340666247	117	43	74
0.80*base+0.20*rz__CD247	0.7781269641734757	0.6610321871074845	0.6934318038969202	117	43	74
0.80*base+0.20*z__CD247	0.7781269641734757	0.6610321871074845	0.6934318038969202	117	43	74
0.80*base+0.20*rz__PLA2G2D	0.7774984286612194	0.6645221072897123	0.6585480829666877	117	43	74
0.65*base+0.35*rz__CD247	0.7774984286612194	0.6548059954382801	0.6656191074795725	117	43	74
0.65*base+0.35*z__CD247	0.7774984286612194	0.6548059954382801	0.6656191074795725	117	43	74
0.80*base+0.20*rz__SLAMF7	0.7765556253928346	0.693233119227146	0.6330923947203018	117	43	74
0.80*base+0.20*z__SLAMF7	0.7765556253928346	0.693233119227146	0.6330923947203018	117	43	74
0.80*base+0.20*rz__PIK3CD	0.7765556253928346	0.6732991389945955	0.6953174104336894	117	43	74
0.80*base+0.20*z__PIK3CD	0.7765556253928346	0.6732991389945955	0.6953174104336894	117	43	74
0.80*base+0.20*pct__ICOS	0.7762413576367064	0.665283323200422	0.6964173475801383	117	43	74
0.80*base+0.20*pct__LCK	0.7746700188560652	0.6592580176675646	0.7020741671904462	117	43	74
0.80*base+0.20*rz__ICOS	0.7743557510999372	0.6607976490903926	0.6458202388434946	117	43	74
0.80*base+0.20*z__ICOS	0.7743557510999372	0.6607976490903926	0.6458202388434946	117	43	74
0.80*base+0.20*rz__LCK	0.774041483343809	0.6805703503745618	0.6934318038969202	117	43	74
0.80*base+0.20*z__LCK	0.774041483343809	0.6805703503745618	0.6934318038969202	117	43	74
0.80*base+0.20*z__PLA2G2D	0.7730986800754244	0.6625386301872529	0.6664047768698931	117	43	74
0.80*base+0.20*pct__CD247	0.7730986800754243	0.6569350573934796	0.6855751099937146	117	43	74
0.65*base+0.35*pct__PLA2G2D	0.7727844123192961	0.6556551317314969	0.6285355122564424	117	43	74
0.80*base+0.20*pct__MAP4K1	0.7724701445631679	0.6596293550015118	0.7302011313639221	117	43	74
base_rescue_robust	0.7724701445631679	0.657990756879542	0.6555625392834695	117	43	74
0.80*base+0.20*pct__SLAMF7	0.7715273412947831	0.6889815607541524	0.6312067881835324	117	43	74
0.65*base+0.35*rz__LCK	0.7708988057825267	0.6837586180038504	0.721558768070396	117	43	74
0.65*base+0.35*z__LCK	0.7708988057825267	0.6837586180038504	0.721558768070396	117	43	74
0.80*base+0.20*pct__TIGIT	0.7702702702702702	0.6490765502133193	0.6915461973601509	117	43	74
0.65*base+0.35*rz__SLAMF7	0.7690131992457574	0.6985875987367567	0.6495914519170334	117	43	74
0.65*base+0.35*z__SLAMF7	0.7690131992457574	0.6985875987367567	0.6495914519170334	117	43	74
0.50*base+0.50*rz__CD247	0.7686989314896292	0.6378830581018846	0.6528912633563797	117	43	74
0.50*base+0.50*z__CD247	0.7686989314896292	0.6378830581018846	0.6528912633563797	117	43	74
0.65*base+0.35*rz__PLA2G2D	0.7677561282212445	0.650994984898573	0.6217787554996858	117	43	74
0.80*base+0.20*pct__PIK3CD	0.7674418604651163	0.6949346976556333	0.7118164676304211	117	43	74
0.65*base+0.35*rz__PIK3CD	0.767127592708988	0.6977753630258082	0.700188560653677	117	43	74
0.65*base+0.35*z__PIK3CD	0.767127592708988	0.6977753630258082	0.700188560653677	117	43	74
0.80*base+0.20*rz__TIGIT	0.767127592708988	0.6616068562310071	0.6896605908233815	117	43	74
0.80*base+0.20*z__TIGIT	0.767127592708988	0.6616068562310071	0.6896605908233815	117	43	74
0.65*base+0.35*rz__ICOS	0.7668133249528598	0.6490052569776696	0.6491200502828409	117	43	74
0.65*base+0.35*z__ICOS	0.7668133249528598	0.6490052569776696	0.6491200502828409	117	43	74
0.65*base+0.35*pct__SLAMF7	0.7658705216844752	0.6939445401687198	0.6360779384035198	117	43	74
0.80*base+0.20*rz__MAP4K1	0.7655562539283469	0.6522511846977499	0.7118164676304211	117	43	74
0.80*base+0.20*z__MAP4K1	0.7655562539283469	0.6522511846977499	0.7118164676304211	117	43	74
0.65*base+0.35*z__PLA2G2D	0.7639849151477058	0.6524727227488922	0.6150219987429291	117	43	74
0.65*base+0.35*pct__ICOS	0.7630421118793211	0.6425717638969257	0.6269641734758014	117	43	74
0.50*base+0.50*rz__SLAMF7	0.7624135763670647	0.6837098806532046	0.6198931489629164	117	43	74
0.50*base+0.50*z__SLAMF7	0.7624135763670647	0.6837098806532046	0.6198931489629164	117	43	74
0.50*base+0.50*rz__LCK	0.7608422375864237	0.6665055904707313	0.6896605908233815	117	43	74
0.50*base+0.50*z__LCK	0.7608422375864237	0.6665055904707313	0.6896605908233815	117	43	74
0.35*base+0.65*rz__CD247	0.7605279698302955	0.6269731588834939	0.6209930861093651	117	43	74
0.35*base+0.65*z__CD247	0.7605279698302955	0.6269731588834939	0.6209930861093651	117	43	74
0.50*base+0.50*rz__PIK3CD	0.7602137020741672	0.6886343560223155	0.6439346323067253	117	43	74
0.50*base+0.50*z__PIK3CD	0.7602137020741672	0.6886343560223155	0.6439346323067253	117	43	74
0.65*base+0.35*pct__LCK	0.760213702074167	0.6615416147788616	0.6172218730358265	117	43	74
0.50*base+0.50*pct__PLA2G2D	0.7595851665619108	0.640416129824853	0.5801382778126964	117	43	74
0.50*base+0.50*rz__PLA2G2D	0.7570710245128849	0.6321582761203486	0.6528912633563797	117	43	74
0.65*base+0.35*rz__MAP4K1	0.7567567567567567	0.6624760826149835	0.6915461973601509	117	43	74
0.65*base+0.35*z__MAP4K1	0.7567567567567567	0.6624760826149835	0.6915461973601509	117	43	74
0.50*base+0.50*z__PLA2G2D	0.7564424890006286	0.6376876614335758	0.7129164047768699	117	43	74
0.50*base+0.50*rz__ICOS	0.7564424890006285	0.6314377269507458	0.6829038340666247	117	43	74
0.50*base+0.50*z__ICOS	0.7564424890006285	0.6314377269507458	0.6829038340666247	117	43	74
0.35*base+0.65*rz__PIK3CD	0.7520427404148334	0.689614078074187	0.7009742300439974	117	43	74
0.35*base+0.65*z__PIK3CD	0.7520427404148334	0.689614078074187	0.7009742300439974	117	43	74
0.50*base+0.50*pct__SLAMF7	0.7520427404148334	0.6762590488558623	0.5985229415461973	117	43	74
0.65*base+0.35*pct__CD247	0.7520427404148333	0.6246966504931384	0.6423632935260842	117	43	74
0.65*base+0.35*pct__TIGIT	0.7504714016341922	0.635281586462636	0.6412633563796355	117	43	74
0.65*base+0.35*pct__PIK3CD	0.7498428661219358	0.6928881750729291	0.6758328095537398	117	43	74
0.65*base+0.35*pct__MAP4K1	0.7495285983658077	0.631117684572752	0.6585480829666877	117	43	74
0.50*base+0.50*pct__LCK	0.7492143306096793	0.6556510939024472	0.6209930861093651	117	43	74
0.65*base+0.35*rz__TIGIT	0.7489000628535512	0.634263417151759	0.6131363922061597	117	43	74
0.65*base+0.35*z__TIGIT	0.7489000628535512	0.634263417151759	0.6131363922061597	117	43	74
0.35*base+0.65*rz__LCK	0.7467001885606538	0.6476918334259715	0.6363922061596481	117	43	74
0.35*base+0.65*z__LCK	0.7467001885606538	0.6476918334259715	0.6363922061596481	117	43	74
0.50*base+0.50*pct__ICOS	0.7467001885606537	0.6197062458921159	0.6712759270898805	117	43	74
0.35*base+0.65*rz__ICOS	0.745757385292269	0.6146606277564415	0.6945317410433689	117	43	74
0.35*base+0.65*z__ICOS	0.745757385292269	0.6146606277564415	0.6945317410433689	117	43	74
0.20*base+0.80*rz__CD247	0.7454431175361408	0.6125414311462976	0.6858893777498428	117	43	74
0.20*base+0.80*z__CD247	0.7454431175361408	0.6125414311462976	0.6858893777498428	117	43	74
0.50*base+0.50*rz__MAP4K1	0.7438717787554996	0.6488927050279032	0.6334066624764298	117	43	74
0.50*base+0.50*z__MAP4K1	0.7438717787554996	0.6488927050279032	0.6334066624764298	117	43	74
0.35*base+0.65*rz__PLA2G2D	0.742928975487115	0.6145366700711905	0.6502199874292898	117	43	74
0.35*base+0.65*pct__PLA2G2D	0.7404148334380892	0.6221075616695086	0.6918604651162791	117	43	74
0.35*base+0.65*pct__SLAMF7	0.7397862979258327	0.6488510906957059	0.6101508485229415	117	43	74
0.35*base+0.65*z__PLA2G2D	0.7397862979258327	0.6265101867157177	0.6412633563796355	117	43	74
0.20*base+0.80*rz__PIK3CD	0.7338152105593966	0.6720688154496234	0.6893463230672533	117	43	74
0.20*base+0.80*z__PIK3CD	0.7338152105593966	0.6720688154496234	0.6893463230672533	117	43	74
0.35*base+0.65*pct__LCK	0.7338152105593966	0.6374616907226512	0.622093023255814	117	43	74
0.50*base+0.50*pct__MAP4K1	0.7322438717787555	0.6108592193702691	0.6401634192331866	117	43	74
0.50*base+0.50*pct__CD247	0.7322438717787555	0.6006711896764978	0.6007228158390949	117	43	74
0.50*base+0.50*pct__TIGIT	0.7303582652419862	0.6081663644070231	0.6810182275298555	117	43	74
0.35*base+0.65*rz__SLAMF7	0.7303582652419861	0.6227847636437007	0.6704902576995599	117	43	74
0.35*base+0.65*z__SLAMF7	0.7303582652419861	0.6227847636437007	0.6704902576995599	117	43	74
0.35*base+0.65*pct__ICOS	0.7303582652419861	0.5992080155685513	0.6442489000628535	117	43	74
0.20*base+0.80*rz__ICOS	0.7300439974858579	0.5980347069309062	0.6558768070395977	117	43	74
0.20*base+0.80*z__ICOS	0.7300439974858579	0.5980347069309062	0.6558768070395977	117	43	74
0.20*base+0.80*rz__LCK	0.7259585166561912	0.6264377601734107	0.6074795725958517	117	43	74
0.20*base+0.80*z__LCK	0.7259585166561912	0.6264377601734107	0.6074795725958517	117	43	74
0.50*base+0.50*pct__PIK3CD	0.7253299811439347	0.6784987413162878	0.693117536140792	117	43	74
0.35*base+0.65*rz__MAP4K1	0.7228158390949089	0.6268932250252873	0.6198931489629164	117	43	74
0.35*base+0.65*z__MAP4K1	0.7228158390949089	0.6268932250252873	0.6198931489629164	117	43	74
0.20*base+0.80*rz__PLA2G2D	0.7203016970458831	0.5896509788697761	0.6055939660590823	117	43	74
0.35*base+0.65*pct__MAP4K1	0.7199874292897548	0.6190414888113008	0.6326209930861093	117	43	74
0.50*base+0.50*rz__TIGIT	0.7196731615336266	0.5987835693684863	0.6799182903834067	117	43	74
0.50*base+0.50*z__TIGIT	0.7196731615336266	0.5987835693684863	0.6799182903834067	117	43	74
0.20*base+0.80*pct__PLA2G2D	0.7196731615336266	0.5978504830040112	0.5909805153991201	117	43	74
0.20*base+0.80*pct__SLAMF7	0.7187303582652419	0.6291629620894721	0.5509113764927718	117	43	74
0.35*base+0.65*pct__CD247	0.7162162162162162	0.5847525156162245	0.5901948460087995	117	43	74
0.20*base+0.80*pct__ICOS	0.7159019484600881	0.5775143463099932	0.6318353236957888	117	43	74
0.20*base+0.80*z__PLA2G2D	0.7143306096794468	0.5966141970047739	0.5939660590823381	117	43	74
0.20*base+0.80*pct__LCK	0.7127592708988058	0.6171635253317894	0.5658390949088623	117	43	74
0.35*base+0.65*pct__TIGIT	0.7099308610936518	0.6006519081517906	0.5939660590823381	117	43	74
0.35*base+0.65*pct__PIK3CD	0.7077309868007543	0.6666697628311214	0.6698617221873036	117	43	74
0.20*base+0.80*pct__MAP4K1	0.7039597737272155	0.6069531073913396	0.5988372093023255	117	43	74
0.20*base+0.80*pct__CD247	0.6967316153362665	0.563782229313057	0.595065996228787	117	43	74
0.20*base+0.80*rz__MAP4K1	0.6964173475801383	0.6080739274344958	0.518541797611565	117	43	74
0.20*base+0.80*z__MAP4K1	0.6964173475801383	0.6080739274344958	0.518541797611565	117	43	74
0.35*base+0.65*rz__TIGIT	0.6954745443117536	0.5789655222892339	0.6877749842866122	117	43	74
0.35*base+0.65*z__TIGIT	0.6954745443117536	0.5789655222892339	0.6877749842866122	117	43	74
0.20*base+0.80*pct__TIGIT	0.691703331238215	0.5779143545506163	0.595065996228787	117	43	74
0.20*base+0.80*pct__PIK3CD	0.6891891891891893	0.6519564160984663	0.5963230672532998	117	43	74
0.20*base+0.80*rz__SLAMF7	0.6876178504085481	0.5688408549340238	0.436046511627907	117	43	74
0.20*base+0.80*z__SLAMF7	0.6876178504085481	0.5688408549340238	0.436046511627907	117	43	74
0.20*base+0.80*rz__TIGIT	0.6766184789440604	0.5628423499513072	0.6209930861093651	117	43	74
0.20*base+0.80*z__TIGIT	0.6766184789440604	0.5628423499513072	0.6209930861093651	117	43	74
