candidate	AUROC	AUPRC	balanced_accuracy	n_samples	n_responders	n_nonresponders
0.80*base+0.20*rz__CD247	0.7781269641734757	0.6610321871074845	0.6934318038969202	117	43	74
0.80*base+0.20*rz__PLA2G2D	0.7774984286612194	0.6645221072897123	0.6585480829666877	117	43	74
0.65*base+0.35*rz__CD247	0.7774984286612194	0.6548059954382801	0.6656191074795725	117	43	74
0.80*base+0.20*rz__SLAMF7	0.7765556253928346	0.693233119227146	0.6330923947203018	117	43	74
0.80*base+0.20*rz__PIK3CD	0.7765556253928346	0.6732991389945955	0.6953174104336894	117	43	74
0.80*base+0.20*rz__ICOS	0.7743557510999372	0.6607976490903926	0.6458202388434946	117	43	74
0.80*base+0.20*rz__LCK	0.774041483343809	0.6805703503745618	0.6934318038969202	117	43	74
base_rescue_robust	0.7724701445631679	0.657990756879542	0.6555625392834695	117	43	74
0.65*base+0.35*rz__LCK	0.7708988057825267	0.6837586180038504	0.721558768070396	117	43	74
0.65*base+0.35*rz__SLAMF7	0.7690131992457574	0.6985875987367567	0.6495914519170334	117	43	74
0.50*base+0.50*rz__CD247	0.7686989314896292	0.6378830581018846	0.6528912633563797	117	43	74
0.65*base+0.35*rz__PLA2G2D	0.7677561282212445	0.650994984898573	0.6217787554996858	117	43	74
0.65*base+0.35*rz__PIK3CD	0.767127592708988	0.6977753630258082	0.700188560653677	117	43	74
0.80*base+0.20*rz__TIGIT	0.767127592708988	0.6616068562310071	0.6896605908233815	117	43	74
0.65*base+0.35*rz__ICOS	0.7668133249528598	0.6490052569776696	0.6491200502828409	117	43	74
0.80*base+0.20*rz__MAP4K1	0.7655562539283469	0.6522511846977499	0.7118164676304211	117	43	74
0.50*base+0.50*rz__SLAMF7	0.7624135763670647	0.6837098806532046	0.6198931489629164	117	43	74
0.50*base+0.50*rz__LCK	0.7608422375864237	0.6665055904707313	0.6896605908233815	117	43	74
0.35*base+0.65*rz__CD247	0.7605279698302955	0.6269731588834939	0.6209930861093651	117	43	74
0.50*base+0.50*rz__PIK3CD	0.7602137020741672	0.6886343560223155	0.6439346323067253	117	43	74
0.50*base+0.50*rz__PLA2G2D	0.7570710245128849	0.6321582761203486	0.6528912633563797	117	43	74
0.65*base+0.35*rz__MAP4K1	0.7567567567567567	0.6624760826149835	0.6915461973601509	117	43	74
0.50*base+0.50*rz__ICOS	0.7564424890006285	0.6314377269507458	0.6829038340666247	117	43	74
0.35*base+0.65*rz__PIK3CD	0.7520427404148334	0.689614078074187	0.7009742300439974	117	43	74
0.65*base+0.35*rz__TIGIT	0.7489000628535512	0.634263417151759	0.6131363922061597	117	43	74
0.35*base+0.65*rz__LCK	0.7467001885606538	0.6476918334259715	0.6363922061596481	117	43	74
0.35*base+0.65*rz__ICOS	0.745757385292269	0.6146606277564415	0.6945317410433689	117	43	74
0.20*base+0.80*rz__CD247	0.7454431175361408	0.6125414311462976	0.6858893777498428	117	43	74
0.50*base+0.50*rz__MAP4K1	0.7438717787554996	0.6488927050279032	0.6334066624764298	117	43	74
0.35*base+0.65*rz__PLA2G2D	0.742928975487115	0.6145366700711905	0.6502199874292898	117	43	74
0.20*base+0.80*rz__PIK3CD	0.7338152105593966	0.6720688154496234	0.6893463230672533	117	43	74
0.35*base+0.65*rz__SLAMF7	0.7303582652419861	0.6227847636437007	0.6704902576995599	117	43	74
0.20*base+0.80*rz__ICOS	0.7300439974858579	0.5980347069309062	0.6558768070395977	117	43	74
0.20*base+0.80*rz__LCK	0.7259585166561912	0.6264377601734107	0.6074795725958517	117	43	74
0.35*base+0.65*rz__MAP4K1	0.7228158390949089	0.6268932250252873	0.6198931489629164	117	43	74
0.20*base+0.80*rz__PLA2G2D	0.7203016970458831	0.5896509788697761	0.6055939660590823	117	43	74
0.50*base+0.50*rz__TIGIT	0.7196731615336266	0.5987835693684863	0.6799182903834067	117	43	74
0.20*base+0.80*rz__MAP4K1	0.6964173475801383	0.6080739274344958	0.518541797611565	117	43	74
0.35*base+0.65*rz__TIGIT	0.6954745443117536	0.5789655222892339	0.6877749842866122	117	43	74
0.20*base+0.80*rz__SLAMF7	0.6876178504085481	0.5688408549340238	0.436046511627907	117	43	74
0.20*base+0.80*rz__TIGIT	0.6766184789440604	0.5628423499513072	0.6209930861093651	117	43	74
