candidate	AUROC	AUPRC	balanced_accuracy	n_samples	n_responders	n_nonresponders
0.80*base+0.20*rz__PLA2G2D	0.7774984286612194	0.6645221072897123	0.6585480829666877	117	43	74
0.80*base+0.20*rz__PIK3CD	0.7765556253928346	0.6732991389945955	0.6953174104336894	117	43	74
base_rescue_robust	0.7724701445631679	0.657990756879542	0.6555625392834695	117	43	74
0.65*base+0.35*rz__PLA2G2D	0.7677561282212445	0.650994984898573	0.6217787554996858	117	43	74
0.65*base+0.35*rz__PIK3CD	0.767127592708988	0.6977753630258082	0.700188560653677	117	43	74
0.50*base+0.50*rz__PIK3CD	0.7602137020741672	0.6886343560223155	0.6439346323067253	117	43	74
0.50*base+0.50*rz__PLA2G2D	0.7570710245128849	0.6321582761203486	0.6528912633563797	117	43	74
0.35*base+0.65*rz__PIK3CD	0.7520427404148334	0.689614078074187	0.7009742300439974	117	43	74
0.35*base+0.65*rz__PLA2G2D	0.742928975487115	0.6145366700711905	0.6502199874292898	117	43	74
0.20*base+0.80*rz__PIK3CD	0.7338152105593966	0.6720688154496234	0.6893463230672533	117	43	74
0.20*base+0.80*rz__PLA2G2D	0.7203016970458831	0.5896509788697761	0.6055939660590823	117	43	74
