candidate	AUROC	AUPRC	balanced_accuracy	mean_fold_AUROC	min_fold_AUROC	n_samples	n_responders	n_nonresponders
0.80*base+0.20*(0.65*pct__PLA2G2D+0.35*rz__PIK3CD)	0.7881835323695788	0.6781221229220027	0.7418290383406663	0.7416489942805732	0.6758241758241759	117	43	74
0.80*base+0.20*(0.65*pct__PLA2G2D+0.35*z__PIK3CD)	0.7881835323695788	0.6781221229220027	0.7418290383406663	0.7416489942805732	0.6758241758241759	117	43	74
0.80*base+0.20*(0.50*pct__PLA2G2D+0.50*rz__PIK3CD)	0.786926461345066	0.6774301114930719	0.7534569453174105	0.7429196534459693	0.6868131868131868	117	43	74
0.80*base+0.20*(0.50*pct__PLA2G2D+0.50*z__PIK3CD)	0.786926461345066	0.6774301114930719	0.7534569453174105	0.7429196534459693	0.6868131868131868	117	43	74
0.80*base+0.20*(0.50*rz__PLA2G2D+0.50*rz__PIK3CD)	0.7862979258328096	0.6796621077914509	0.7602137020741672	0.7560071507439928	0.7142857142857143	117	43	74
0.80*base+0.20*(0.50*rz__PLA2G2D+0.50*z__PIK3CD)	0.7862979258328096	0.6796621077914509	0.7602137020741672	0.7560071507439928	0.7142857142857143	117	43	74
0.80*base+0.20*(0.35*pct__PLA2G2D+0.65*rz__PIK3CD)	0.7853551225644249	0.6754908164443569	0.7583280955373979	0.7475022053969421	0.7032967032967032	117	43	74
0.80*base+0.20*(0.35*pct__PLA2G2D+0.65*z__PIK3CD)	0.7853551225644249	0.6754908164443569	0.7583280955373979	0.7475022053969421	0.7032967032967032	117	43	74
0.80*base+0.20*(0.80*pct__PLA2G2D+0.20*rz__PIK3CD)	0.7844123192960402	0.6757250917214968	0.6994028912633563	0.7354867354867354	0.6703296703296704	117	43	74
0.80*base+0.20*(0.80*pct__PLA2G2D+0.20*z__PIK3CD)	0.7844123192960402	0.6757250917214968	0.6994028912633563	0.7354867354867354	0.6703296703296704	117	43	74
0.65*base+0.35*(0.35*pct__PLA2G2D+0.65*rz__PIK3CD)	0.7840980515399121	0.6821163461386739	0.6720615964802011	0.7295990559148454	0.6208791208791209	117	43	74
0.65*base+0.35*(0.35*pct__PLA2G2D+0.65*z__PIK3CD)	0.7840980515399121	0.6821163461386739	0.6720615964802011	0.7295990559148454	0.6208791208791209	117	43	74
0.80*base+0.20*(0.20*pct__PLA2G2D+0.80*rz__PIK3CD)	0.7837837837837838	0.6770616093412758	0.7534569453174105	0.7446939025886393	0.6923076923076923	117	43	74
0.80*base+0.20*(0.20*pct__PLA2G2D+0.80*z__PIK3CD)	0.7837837837837838	0.6770616093412758	0.7534569453174105	0.7446939025886393	0.6923076923076923	117	43	74
0.80*base+0.20*(0.65*rz__PLA2G2D+0.35*rz__PIK3CD)	0.7834695160276556	0.6744700897632308	0.7602137020741672	0.7508637561269139	0.7032967032967032	117	43	74
0.80*base+0.20*(0.65*rz__PLA2G2D+0.35*z__PIK3CD)	0.7834695160276556	0.6744700897632308	0.7602137020741672	0.7508637561269139	0.7032967032967032	117	43	74
0.80*base+0.20*(0.50*z__PLA2G2D+0.50*rz__PIK3CD)	0.7831552482715274	0.6763348097227828	0.7650848522941547	0.7568045989098621	0.7142857142857143	117	43	74
0.80*base+0.20*(0.50*z__PLA2G2D+0.50*z__PIK3CD)	0.7831552482715274	0.6763348097227828	0.7650848522941547	0.7568045989098621	0.7142857142857143	117	43	74
0.80*base+0.20*(0.65*pct__PLA2G2D+0.35*pct__PIK3CD)	0.7831552482715274	0.6760654739215572	0.7418290383406663	0.7445145497777076	0.6868131868131868	117	43	74
0.80*base+0.20*(0.80*pct__PLA2G2D+0.20*pct__PIK3CD)	0.7831552482715274	0.6750306401392541	0.6945317410433689	0.7354867354867354	0.6703296703296704	117	43	74
0.80*base+0.20*(0.35*z__PLA2G2D+0.65*rz__PIK3CD)	0.7831552482715273	0.6774852421564335	0.7583280955373979	0.7472083472083471	0.6978021978021978	117	43	74
0.80*base+0.20*(0.35*z__PLA2G2D+0.65*z__PIK3CD)	0.7831552482715273	0.6774852421564335	0.7583280955373979	0.7472083472083471	0.6978021978021978	117	43	74
0.80*base+0.20*(0.35*rz__PLA2G2D+0.65*rz__PIK3CD)	0.7828409805153991	0.6746621426302548	0.7583280955373979	0.7464108990424779	0.6978021978021978	117	43	74
0.80*base+0.20*(0.35*rz__PLA2G2D+0.65*z__PIK3CD)	0.7828409805153991	0.6746621426302548	0.7583280955373979	0.7464108990424779	0.6978021978021978	117	43	74
0.80*base+0.20*(0.50*pct__PLA2G2D+0.50*pct__PIK3CD)	0.7818981772470145	0.6755876827992302	0.7602137020741672	0.7427478953794743	0.6868131868131868	117	43	74
0.80*base+0.20*(0.65*z__PLA2G2D+0.35*rz__PIK3CD)	0.7818981772470145	0.6734820288628469	0.7467001885606537	0.7532561006245215	0.7032967032967032	117	43	74
0.80*base+0.20*(0.65*z__PLA2G2D+0.35*z__PIK3CD)	0.7818981772470145	0.6734820288628469	0.7467001885606537	0.7532561006245215	0.7032967032967032	117	43	74
0.80*base+0.20*(0.80*rz__PLA2G2D+0.20*rz__PIK3CD)	0.7809553739786298	0.671983448235375	0.7418290383406663	0.7462887989203778	0.6923076923076923	117	43	74
0.80*base+0.20*(0.80*rz__PLA2G2D+0.20*z__PIK3CD)	0.7809553739786298	0.671983448235375	0.7418290383406663	0.7462887989203778	0.6923076923076923	117	43	74
0.65*base+0.35*(0.50*pct__PLA2G2D+0.50*rz__PIK3CD)	0.7809553739786297	0.6734464239737221	0.6547768698931489	0.7270998007840112	0.6263736263736264	117	43	74
0.65*base+0.35*(0.50*pct__PLA2G2D+0.50*z__PIK3CD)	0.7809553739786297	0.6734464239737221	0.6547768698931489	0.7270998007840112	0.6263736263736264	117	43	74
0.80*base+0.20*(0.20*rz__PLA2G2D+0.80*rz__PIK3CD)	0.7806411062225016	0.6768570116088313	0.7185732243871779	0.7432783590678328	0.6978021978021978	117	43	74
0.80*base+0.20*(0.20*rz__PLA2G2D+0.80*z__PIK3CD)	0.7806411062225016	0.6768570116088313	0.7185732243871779	0.7432783590678328	0.6978021978021978	117	43	74
0.80*base+0.20*(0.20*z__PLA2G2D+0.80*rz__PIK3CD)	0.7800125707102451	0.6753712637261773	0.7185732243871779	0.7424809109019636	0.6978021978021978	117	43	74
0.80*base+0.20*(0.20*z__PLA2G2D+0.80*z__PIK3CD)	0.7800125707102451	0.6753712637261773	0.7185732243871779	0.7424809109019636	0.6978021978021978	117	43	74
0.65*base+0.35*(0.20*pct__PLA2G2D+0.80*rz__PIK3CD)	0.7790697674418605	0.7068827464069732	0.6769327467001887	0.7244632560422035	0.6153846153846154	117	43	74
0.65*base+0.35*(0.20*pct__PLA2G2D+0.80*z__PIK3CD)	0.7790697674418605	0.7068827464069732	0.6769327467001887	0.7244632560422035	0.6153846153846154	117	43	74
0.80*base+0.20*(0.80*rz__PLA2G2D+0.20*pct__PIK3CD)	0.7790697674418604	0.6710204202790764	0.7350722815839095	0.7471434997750787	0.6923076923076923	117	43	74
0.80*base+0.20*(0.65*rz__PLA2G2D+0.35*pct__PIK3CD)	0.7787554996857322	0.6726557736204755	0.7418290383406663	0.7514894462262882	0.7032967032967032	117	43	74
0.80*base+0.20*(0.50*rz__PLA2G2D+0.50*pct__PIK3CD)	0.778441231929604	0.6760642201062548	0.721558768070396	0.7529622424359266	0.6978021978021978	117	43	74
0.50*base+0.50*(0.50*pct__PLA2G2D+0.50*rz__PIK3CD)	0.7774984286612194	0.6675928467550492	0.6228786926461345	0.718071986493039	0.6098901098901098	117	43	74
0.50*base+0.50*(0.50*pct__PLA2G2D+0.50*z__PIK3CD)	0.7774984286612194	0.6675928467550492	0.6228786926461345	0.718071986493039	0.6098901098901098	117	43	74
0.65*base+0.35*(0.80*pct__PLA2G2D+0.20*rz__PIK3CD)	0.7774984286612194	0.6649548032872286	0.6304211187932118	0.7332468700889754	0.6593406593406593	117	43	74
0.65*base+0.35*(0.80*pct__PLA2G2D+0.20*z__PIK3CD)	0.7774984286612194	0.6649548032872286	0.6304211187932118	0.7332468700889754	0.6593406593406593	117	43	74
0.50*base+0.50*(0.35*pct__PLA2G2D+0.65*rz__PIK3CD)	0.7774984286612193	0.7049129031503333	0.6953174104336894	0.7128368707316075	0.5769230769230769	117	43	74
0.50*base+0.50*(0.35*pct__PLA2G2D+0.65*z__PIK3CD)	0.7774984286612193	0.7049129031503333	0.6953174104336894	0.7128368707316075	0.5769230769230769	117	43	74
0.80*base+0.20*(0.50*z__PLA2G2D+0.50*pct__PIK3CD)	0.7774984286612193	0.6739140308531919	0.7283155248271527	0.7513673461041881	0.6978021978021978	117	43	74
0.65*base+0.35*(0.65*pct__PLA2G2D+0.35*rz__PIK3CD)	0.7774984286612193	0.665356227871633	0.6645191703331238	0.7320907163012427	0.6483516483516483	117	43	74
0.65*base+0.35*(0.65*pct__PLA2G2D+0.35*z__PIK3CD)	0.7774984286612193	0.665356227871633	0.6645191703331238	0.7320907163012427	0.6483516483516483	117	43	74
0.50*base+0.50*(0.65*pct__PLA2G2D+0.35*rz__PIK3CD)	0.7774984286612193	0.6642216086892743	0.6063796354494029	0.7280193490719805	0.6318681318681318	117	43	74
