method	axis	cohort	rationale	n_samples	n_positive_genes_available	n_negative_genes_available	positive_genes_available	negative_genes_available	context
cohort_gene_percentile	MAP4K1_minus_TBX3	GSE91061	literature_pair_tumor_immune_balance	49	1	1	MAP4K1	TBX3	primary
cohort_gene_percentile	MAP4K1_minus_TBX3	GSE78220	literature_pair_tumor_immune_balance	27	1	1	MAP4K1	TBX3	primary
cohort_gene_percentile	MAP4K1_minus_TBX3	PRJEB23709_PD1_PRE	literature_pair_tumor_immune_balance	41	1	1	MAP4K1	TBX3	primary
cohort_gene_percentile	MAP4K1_minus_TBX3_AXL	GSE91061	literature_pair_plus_ipres_dedifferentiation_axis	49	1	2	MAP4K1	TBX3,AXL	primary
cohort_gene_percentile	MAP4K1_minus_TBX3_AXL	GSE78220	literature_pair_plus_ipres_dedifferentiation_axis	27	1	2	MAP4K1	TBX3,AXL	primary
cohort_gene_percentile	MAP4K1_minus_TBX3_AXL	PRJEB23709_PD1_PRE	literature_pair_plus_ipres_dedifferentiation_axis	41	1	2	MAP4K1	TBX3,AXL	primary
cohort_gene_percentile	MAP4K1_minus_TBX3_PAK4	GSE91061	literature_pair_plus_wnt_pak4_resistance_axis	49	1	2	MAP4K1	TBX3,PAK4	primary
cohort_gene_percentile	MAP4K1_minus_TBX3_PAK4	GSE78220	literature_pair_plus_wnt_pak4_resistance_axis	27	1	2	MAP4K1	TBX3,PAK4	primary
cohort_gene_percentile	MAP4K1_minus_TBX3_PAK4	PRJEB23709_PD1_PRE	literature_pair_plus_wnt_pak4_resistance_axis	41	1	2	MAP4K1	TBX3,PAK4	primary
cohort_gene_percentile	MAP4K1_CXCL9_minus_TBX3	GSE91061	tcell_ifn_extension_of_pair	49	2	1	MAP4K1,CXCL9	TBX3	primary
cohort_gene_percentile	MAP4K1_CXCL9_minus_TBX3	GSE78220	tcell_ifn_extension_of_pair	27	2	1	MAP4K1,CXCL9	TBX3	primary
cohort_gene_percentile	MAP4K1_CXCL9_minus_TBX3	PRJEB23709_PD1_PRE	tcell_ifn_extension_of_pair	41	2	1	MAP4K1,CXCL9	TBX3	primary
cohort_gene_percentile	MAP4K1_APM_minus_TBX3	GSE91061	antigen_presentation_extension_of_pair	49	4	1	MAP4K1,HLA-A,B2M,TAP1	TBX3	primary
cohort_gene_percentile	MAP4K1_APM_minus_TBX3	GSE78220	antigen_presentation_extension_of_pair	27	4	1	MAP4K1,HLA-A,B2M,TAP1	TBX3	primary
cohort_gene_percentile	MAP4K1_APM_minus_TBX3	PRJEB23709_PD1_PRE	antigen_presentation_extension_of_pair	41	4	1	MAP4K1,HLA-A,B2M,TAP1	TBX3	primary
cohort_zscore	MAP4K1_minus_TBX3	GSE91061	literature_pair_tumor_immune_balance	49	1	1	MAP4K1	TBX3	primary
cohort_zscore	MAP4K1_minus_TBX3	GSE78220	literature_pair_tumor_immune_balance	27	1	1	MAP4K1	TBX3	primary
cohort_zscore	MAP4K1_minus_TBX3	PRJEB23709_PD1_PRE	literature_pair_tumor_immune_balance	41	1	1	MAP4K1	TBX3	primary
cohort_zscore	MAP4K1_minus_TBX3_AXL	GSE91061	literature_pair_plus_ipres_dedifferentiation_axis	49	1	2	MAP4K1	TBX3,AXL	primary
cohort_zscore	MAP4K1_minus_TBX3_AXL	GSE78220	literature_pair_plus_ipres_dedifferentiation_axis	27	1	2	MAP4K1	TBX3,AXL	primary
cohort_zscore	MAP4K1_minus_TBX3_AXL	PRJEB23709_PD1_PRE	literature_pair_plus_ipres_dedifferentiation_axis	41	1	2	MAP4K1	TBX3,AXL	primary
cohort_zscore	MAP4K1_minus_TBX3_PAK4	GSE91061	literature_pair_plus_wnt_pak4_resistance_axis	49	1	2	MAP4K1	TBX3,PAK4	primary
cohort_zscore	MAP4K1_minus_TBX3_PAK4	GSE78220	literature_pair_plus_wnt_pak4_resistance_axis	27	1	2	MAP4K1	TBX3,PAK4	primary
cohort_zscore	MAP4K1_minus_TBX3_PAK4	PRJEB23709_PD1_PRE	literature_pair_plus_wnt_pak4_resistance_axis	41	1	2	MAP4K1	TBX3,PAK4	primary
cohort_zscore	MAP4K1_CXCL9_minus_TBX3	GSE91061	tcell_ifn_extension_of_pair	49	2	1	MAP4K1,CXCL9	TBX3	primary
