cohort	module	n_genes_defined	n_genes_available	genes_available	feature_family	n_features	n_samples
GSE115821	ifn_t_cell_inflamed	11.0	11.0	IFNG,CXCL9,CXCL10,CXCL11,STAT1,IDO1,GBP1,CXCR3,CCL5,CD274,PDCD1LG2	module_gene_coverage		
GSE115821	cytotoxic_cd8	8.0	8.0	CD8A,CD8B,GZMA,GZMB,GZMH,PRF1,NKG7,GNLY	module_gene_coverage		
GSE115821	exhaustion_checkpoint	7.0	7.0	PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,CXCL13	module_gene_coverage		
GSE115821	antigen_presentation	10.0	10.0	HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,B2M,TAP1,TAP2,PSMB8,PSMB9	module_gene_coverage		
GSE115821	myeloid_suppression	9.0	9.0	CD68,CD163,MRC1,CSF1R,ITGAM,S100A8,S100A9,IL10,TGFB1	module_gene_coverage		
GSE115821	stromal_exclusion	9.0	9.0	COL1A1,COL1A2,COL3A1,FN1,ACTA2,VIM,TGFBI,POSTN,LOXL2	module_gene_coverage		
GSE115821	trm_tls	9.0	9.0	ITGAE,CD69,CXCR6,CXCL13,ZNF683,MS4A1,CD79A,BANK1,LTB	module_gene_coverage		
GSE136961	ifn_t_cell_inflamed	11.0	11.0	IFNG,CXCL9,CXCL10,CXCL11,STAT1,IDO1,GBP1,CXCR3,CCL5,CD274,PDCD1LG2	module_gene_coverage		
GSE136961	cytotoxic_cd8	8.0	8.0	CD8A,CD8B,GZMA,GZMB,GZMH,PRF1,NKG7,GNLY	module_gene_coverage		
GSE136961	exhaustion_checkpoint	7.0	6.0	PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,CXCL13	module_gene_coverage		
GSE136961	antigen_presentation	10.0	7.0	HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,TAP1,PSMB9	module_gene_coverage		
GSE136961	myeloid_suppression	9.0	9.0	CD68,CD163,MRC1,CSF1R,ITGAM,S100A8,S100A9,IL10,TGFB1	module_gene_coverage		
GSE136961	stromal_exclusion	9.0	0.0		module_gene_coverage		
GSE136961	trm_tls	9.0	6.0	ITGAE,CD69,CXCR6,CXCL13,MS4A1,CD79A	module_gene_coverage		
GSE140901	ifn_t_cell_inflamed	11.0	10.0	IFNG,CXCL9,CXCL10,CXCL11,STAT1,IDO1,CXCR3,CCL5,CD274,PDCD1LG2	module_gene_coverage		
GSE140901	cytotoxic_cd8	8.0	7.0	CD8A,CD8B,GZMA,GZMB,GZMH,PRF1,GNLY	module_gene_coverage		
GSE140901	exhaustion_checkpoint	7.0	6.0	PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,CXCL13	module_gene_coverage		
GSE140901	antigen_presentation	10.0	8.0	HLA-A,HLA-B,HLA-C,HLA-DRA,TAP1,TAP2,PSMB8,PSMB9	module_gene_coverage		
GSE140901	myeloid_suppression	9.0	8.0	CD68,CD163,MRC1,CSF1R,ITGAM,S100A8,IL10,TGFB1	module_gene_coverage		
GSE140901	stromal_exclusion	9.0	2.0	COL3A1,FN1	module_gene_coverage		
GSE140901	trm_tls	9.0	6.0	ITGAE,CXCR6,CXCL13,MS4A1,CD79A,LTB	module_gene_coverage		
GSE145996	ifn_t_cell_inflamed	11.0	11.0	IFNG,CXCL9,CXCL10,CXCL11,STAT1,IDO1,GBP1,CXCR3,CCL5,CD274,PDCD1LG2	module_gene_coverage		
GSE145996	cytotoxic_cd8	8.0	8.0	CD8A,CD8B,GZMA,GZMB,GZMH,PRF1,NKG7,GNLY	module_gene_coverage		
GSE145996	exhaustion_checkpoint	7.0	7.0	PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,CXCL13	module_gene_coverage		
GSE145996	antigen_presentation	10.0	6.0	HLA-C,HLA-DRA,HLA-DRB1,B2M,TAP2,PSMB9	module_gene_coverage		
GSE145996	myeloid_suppression	9.0	8.0	CD163,MRC1,CSF1R,ITGAM,S100A8,S100A9,IL10,TGFB1	module_gene_coverage		
GSE145996	stromal_exclusion	9.0	7.0	COL1A1,COL1A2,FN1,VIM,TGFBI,POSTN,LOXL2	module_gene_coverage		
GSE145996	trm_tls	9.0	9.0	ITGAE,CD69,CXCR6,CXCL13,ZNF683,MS4A1,CD79A,BANK1,LTB	module_gene_coverage		
GSE165252	ifn_t_cell_inflamed	11.0	11.0	IFNG,CXCL9,CXCL10,CXCL11,STAT1,IDO1,GBP1,CXCR3,CCL5,CD274,PDCD1LG2	module_gene_coverage		
GSE165252	cytotoxic_cd8	8.0	8.0	CD8A,CD8B,GZMA,GZMB,GZMH,PRF1,NKG7,GNLY	module_gene_coverage		
GSE165252	exhaustion_checkpoint	7.0	7.0	PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,CXCL13	module_gene_coverage		
GSE165252	antigen_presentation	10.0	10.0	HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,B2M,TAP1,TAP2,PSMB8,PSMB9	module_gene_coverage		
GSE165252	myeloid_suppression	9.0	8.0	CD68,CD163,CSF1R,ITGAM,S100A8,S100A9,IL10,TGFB1	module_gene_coverage		
GSE165252	stromal_exclusion	9.0	9.0	COL1A1,COL1A2,COL3A1,FN1,ACTA2,VIM,TGFBI,POSTN,LOXL2	module_gene_coverage		
GSE165252	trm_tls	9.0	9.0	ITGAE,CD69,CXCR6,CXCL13,ZNF683,MS4A1,CD79A,BANK1,LTB	module_gene_coverage		
GSE168204	ifn_t_cell_inflamed	11.0	11.0	IFNG,CXCL9,CXCL10,CXCL11,STAT1,IDO1,GBP1,CXCR3,CCL5,CD274,PDCD1LG2	module_gene_coverage		
GSE168204	cytotoxic_cd8	8.0	8.0	CD8A,CD8B,GZMA,GZMB,GZMH,PRF1,NKG7,GNLY	module_gene_coverage		
GSE168204	exhaustion_checkpoint	7.0	7.0	PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,CXCL13	module_gene_coverage		
