fold	gene	feature_kind	selected_in_outer_training
GSE115821	ADORA2A	all_common	1
GSE115821	AIF1	all_common	1
GSE115821	AKT1	all_common	1
GSE115821	ALOX15B	all_common	1
GSE115821	ARG1	all_common	1
GSE115821	AXL	all_common	1
GSE115821	B3GAT1	all_common	1
GSE115821	BATF	all_common	1
GSE115821	BCL2	all_common	1
GSE115821	BCL2L11	all_common	1
GSE115821	BCL6	all_common	1
GSE115821	BRCA1	all_common	1
GSE115821	BRCA2	all_common	1
GSE115821	BST2	all_common	1
GSE115821	BTLA	all_common	1
GSE115821	BUB1	all_common	1
GSE115821	C1QA	all_common	1
GSE115821	C1QB	all_common	1
GSE115821	CA4	all_common	1
GSE115821	CBLB	all_common	1
GSE115821	CCL17	all_common	1
GSE115821	CCL2	all_common	1
GSE115821	CCL20	all_common	1
GSE115821	CCL21	all_common	1
GSE115821	CCL22	all_common	1
GSE115821	CCL4	all_common	1
GSE115821	CCL5	all_common	1
GSE115821	CCNB2	all_common	1
GSE115821	CCR1	all_common	1
GSE115821	CCR2	all_common	1
GSE115821	CCR4	all_common	1
GSE115821	CCR5	all_common	1
GSE115821	CCR6	all_common	1
GSE115821	CCR7	all_common	1
GSE115821	CD14	all_common	1
GSE115821	CD160	all_common	1
GSE115821	CD163	all_common	1
GSE115821	CD19	all_common	1
GSE115821	CD1C	all_common	1
GSE115821	CD1D	all_common	1
GSE115821	CD2	all_common	1
GSE115821	CD209	all_common	1
GSE115821	CD22	all_common	1
GSE115821	CD226	all_common	1
GSE115821	CD244	all_common	1
GSE115821	CD247	all_common	1
GSE115821	CD27	all_common	1
GSE115821	CD274	all_common	1
GSE115821	CD276	all_common	1
GSE115821	CD28	all_common	1
GSE115821	CD33	all_common	1
GSE115821	CD37	all_common	1
GSE115821	CD38	all_common	1
GSE115821	CD3D	all_common	1
GSE115821	CD3E	all_common	1
GSE115821	CD3G	all_common	1
GSE115821	CD4	all_common	1
GSE115821	CD40	all_common	1
GSE115821	CD44	all_common	1
GSE115821	CD47	all_common	1
GSE115821	CD48	all_common	1
GSE115821	CD52	all_common	1
GSE115821	CD53	all_common	1
GSE115821	CD6	all_common	1
GSE115821	CD63	all_common	1
GSE115821	CD68	all_common	1
GSE115821	CD69	all_common	1
GSE115821	CD70	all_common	1
GSE115821	CD74	all_common	1
GSE115821	CD79A	all_common	1
GSE115821	CD79B	all_common	1
GSE115821	CD80	all_common	1
GSE115821	CD83	all_common	1
GSE115821	CD86	all_common	1
GSE115821	CD8A	all_common	1
GSE115821	CD8B	all_common	1
GSE115821	CDK1	all_common	1
GSE115821	CDKN2A	all_common	1
GSE115821	CDKN3	all_common	1
GSE115821	CEACAM1	all_common	1
GSE115821	CEACAM8	all_common	1
GSE115821	CIITA	all_common	1
GSE115821	CLEC4C	all_common	1
GSE115821	CMKLR1	all_common	1
GSE115821	CORO1A	all_common	1
GSE115821	CRTAM	all_common	1
GSE115821	CSF1R	all_common	1
GSE115821	CSF2RB	all_common	1
GSE115821	CTLA4	all_common	1
GSE115821	CTSS	all_common	1
GSE115821	CX3CL1	all_common	1
GSE115821	CX3CR1	all_common	1
GSE115821	CXCL1	all_common	1
GSE115821	CXCL10	all_common	1
GSE115821	CXCL11	all_common	1
GSE115821	CXCL13	all_common	1
GSE115821	CXCL8	all_common	1
GSE115821	CXCL9	all_common	1
GSE115821	CXCR2	all_common	1
GSE115821	CXCR4	all_common	1
GSE115821	CXCR5	all_common	1
GSE115821	CXCR6	all_common	1
GSE115821	DGAT2	all_common	1
GSE115821	DMBT1	all_common	1
GSE115821	EBI3	all_common	1
GSE115821	EFNA4	all_common	1
GSE115821	EGFR	all_common	1
GSE115821	EGR2	all_common	1
GSE115821	EGR3	all_common	1
GSE115821	EIF2AK2	all_common	1
GSE115821	ENTPD1	all_common	1
GSE115821	EOMES	all_common	1
GSE115821	FAS	all_common	1
GSE115821	FASLG	all_common	1
GSE115821	FCER1G	all_common	1
GSE115821	FCGR1A	all_common	1
GSE115821	FCGR2B	all_common	1
GSE115821	FCGR3A	all_common	1
GSE115821	FCGR3B	all_common	1
GSE115821	FCRLA	all_common	1
GSE115821	FOXM1	all_common	1
GSE115821	FOXO1	all_common	1
GSE115821	FUT4	all_common	1
GSE115821	GADD45GIP1	all_common	1
GSE115821	GATA3	all_common	1
GSE115821	GBP1	all_common	1
GSE115821	GNLY	all_common	1
GSE115821	GPR18	all_common	1
GSE115821	GRAP2	all_common	1
GSE115821	GUSB	all_common	1
GSE115821	GZMA	all_common	1
GSE115821	GZMB	all_common	1
GSE115821	GZMH	all_common	1
GSE115821	GZMK	all_common	1
GSE115821	HAVCR2	all_common	1
GSE115821	HERC6	all_common	1
GSE115821	HGF	all_common	1
GSE115821	HIF1A	all_common	1
GSE115821	HLA-A	all_common	1
GSE115821	HLA-B	all_common	1
GSE115821	HLA-C	all_common	1
GSE115821	HLA-DMA	all_common	1
GSE115821	HLA-DMB	all_common	1
GSE115821	HLA-DOA	all_common	1
GSE115821	HLA-DOB	all_common	1
GSE115821	HLA-DPA1	all_common	1
GSE115821	HLA-DPB1	all_common	1
GSE115821	HLA-DQA1	all_common	1
GSE115821	HLA-DQA2	all_common	1
GSE115821	HLA-DQB2	all_common	1
GSE115821	HLA-DRA	all_common	1
GSE115821	HLA-DRB1	all_common	1
GSE115821	HLA-E	all_common	1
GSE115821	HLA-G	all_common	1
GSE115821	HMBS	all_common	1
GSE115821	ICAM1	all_common	1
GSE115821	ICOS	all_common	1
GSE115821	ICOSLG	all_common	1
GSE115821	ID2	all_common	1
GSE115821	IDO1	all_common	1
GSE115821	IDO2	all_common	1
GSE115821	IFI27	all_common	1
GSE115821	IFI35	all_common	1
GSE115821	IFI44L	all_common	1
GSE115821	IFI6	all_common	1
GSE115821	IFIH1	all_common	1
GSE115821	IFIT1	all_common	1
GSE115821	IFIT2	all_common	1
GSE115821	IFIT3	all_common	1
GSE115821	IFITM1	all_common	1
GSE115821	IFITM2	all_common	1
GSE115821	IFNB1	all_common	1
GSE115821	IFNG	all_common	1
GSE115821	IGF1R	all_common	1
GSE115821	IGSF6	all_common	1
GSE115821	IKZF1	all_common	1
GSE115821	IKZF2	all_common	1
GSE115821	IKZF3	all_common	1
GSE115821	IKZF4	all_common	1
GSE115821	IL10	all_common	1
GSE115821	IL10RA	all_common	1
GSE115821	IL12A	all_common	1
GSE115821	IL12B	all_common	1
GSE115821	IL13	all_common	1
GSE115821	IL15	all_common	1
GSE115821	IL17A	all_common	1
GSE115821	IL17F	all_common	1
GSE115821	IL18	all_common	1
GSE115821	IL1A	all_common	1
GSE115821	IL1B	all_common	1
GSE115821	IL2	all_common	1
GSE115821	IL21	all_common	1
GSE115821	IL23A	all_common	1
GSE115821	IL2RA	all_common	1
GSE115821	IL2RB	all_common	1
GSE115821	IL3RA	all_common	1
GSE115821	IL4	all_common	1
GSE115821	IL6	all_common	1
GSE115821	IL7	all_common	1
GSE115821	IL7R	all_common	1
GSE115821	IRF1	all_common	1
GSE115821	IRF4	all_common	1
GSE115821	IRS1	all_common	1
GSE115821	ISG15	all_common	1
GSE115821	ISG20	all_common	1
GSE115821	ITGA1	all_common	1
GSE115821	ITGAE	all_common	1
GSE115821	ITGAL	all_common	1
GSE115821	ITGAM	all_common	1
GSE115821	ITGAX	all_common	1
GSE115821	ITGB1	all_common	1
GSE115821	ITGB2	all_common	1
GSE115821	ITGB7	all_common	1
GSE115821	ITK	all_common	1
GSE115821	KIR2DL3	all_common	1
GSE115821	KLF2	all_common	1
GSE115821	KLRB1	all_common	1
GSE115821	KLRD1	all_common	1
GSE115821	KLRF1	all_common	1
GSE115821	KLRG1	all_common	1
GSE115821	KLRK1	all_common	1
GSE115821	KREMEN1	all_common	1
GSE115821	KRT5	all_common	1
GSE115821	KRT7	all_common	1
GSE115821	LAG3	all_common	1
GSE115821	LAMP1	all_common	1
GSE115821	LAMP3	all_common	1
GSE115821	LAPTM5	all_common	1
GSE115821	LCK	all_common	1
GSE115821	LCN2	all_common	1
GSE115821	LILRB1	all_common	1
GSE115821	LILRB2	all_common	1
GSE115821	LMNA	all_common	1
GSE115821	LRG1	all_common	1
GSE115821	LRP1	all_common	1
GSE115821	LST1	all_common	1
GSE115821	LY9	all_common	1
GSE115821	LYZ	all_common	1
GSE115821	M6PR	all_common	1
GSE115821	MAD2L1	all_common	1
GSE115821	MADCAM1	all_common	1
GSE115821	MAPK1	all_common	1
GSE115821	MAPK14	all_common	1
GSE115821	MELK	all_common	1
GSE115821	MKI67	all_common	1
GSE115821	MMP2	all_common	1
GSE115821	MMP9	all_common	1
GSE115821	MPO	all_common	1
GSE115821	MRC1	all_common	1
GSE115821	MS4A1	all_common	1
GSE115821	MTOR	all_common	1
GSE115821	MX1	all_common	1
GSE115821	MYC	all_common	1
GSE115821	NCAM1	all_common	1
GSE115821	NCF1	all_common	1
GSE115821	NCR1	all_common	1
GSE115821	NFATC1	all_common	1
GSE115821	NFKBIA	all_common	1
GSE115821	NKG7	all_common	1
GSE115821	NOS2	all_common	1
GSE115821	NOTCH3	all_common	1
GSE115821	NRP1	all_common	1
GSE115821	NT5E	all_common	1
GSE115821	NTN3	all_common	1
GSE115821	OAS1	all_common	1
GSE115821	OAS2	all_common	1
GSE115821	OAS3	all_common	1
GSE115821	PDCD1	all_common	1
GSE115821	PDCD1LG2	all_common	1
GSE115821	PECAM1	all_common	1
GSE115821	PGF	all_common	1
GSE115821	PIK3CA	all_common	1
GSE115821	PIK3CD	all_common	1
GSE115821	PMEL	all_common	1
GSE115821	POU2AF1	all_common	1
GSE115821	PRDM1	all_common	1
GSE115821	PRF1	all_common	1
GSE115821	PSMB9	all_common	1
GSE115821	PTEN	all_common	1
GSE115821	PTGS2	all_common	1
GSE115821	PTK7	all_common	1
GSE115821	PTPN11	all_common	1
GSE115821	PTPN6	all_common	1
GSE115821	PTPN7	all_common	1
GSE115821	PTPRC	all_common	1
GSE115821	PTPRCAP	all_common	1
GSE115821	PVR	all_common	1
GSE115821	PYGL	all_common	1
GSE115821	RB1	all_common	1
GSE115821	RORC	all_common	1
GSE115821	RPS6	all_common	1
GSE115821	S100A8	all_common	1
GSE115821	S100A9	all_common	1
GSE115821	SAMHD1	all_common	1
GSE115821	SDHA	all_common	1
GSE115821	SELL	all_common	1
GSE115821	SH2D1B	all_common	1
GSE115821	SIT1	all_common	1
GSE115821	SKAP2	all_common	1
GSE115821	SLAMF7	all_common	1
GSE115821	SLAMF8	all_common	1
GSE115821	SNAI1	all_common	1
GSE115821	SNAI2	all_common	1
GSE115821	SRGN	all_common	1
GSE115821	STAT1	all_common	1
GSE115821	STAT3	all_common	1
GSE115821	STAT4	all_common	1
GSE115821	STAT5A	all_common	1
GSE115821	STAT6	all_common	1
GSE115821	TAGAP	all_common	1
GSE115821	TAP1	all_common	1
GSE115821	TBP	all_common	1
GSE115821	TBX21	all_common	1
GSE115821	TCF7	all_common	1
GSE115821	TDO2	all_common	1
GSE115821	TFRC	all_common	1
GSE115821	TGFB1	all_common	1
GSE115821	TIGIT	all_common	1
GSE115821	TLR3	all_common	1
GSE115821	TLR7	all_common	1
GSE115821	TLR8	all_common	1
GSE115821	TLR9	all_common	1
GSE115821	TNF	all_common	1
GSE115821	TNFAIP8	all_common	1
GSE115821	TNFRSF17	all_common	1
GSE115821	TNFRSF18	all_common	1
GSE115821	TNFRSF4	all_common	1
GSE115821	TNFRSF9	all_common	1
GSE115821	TNFSF10	all_common	1
GSE115821	TNFSF13B	all_common	1
GSE115821	TNFSF14	all_common	1
GSE115821	TNFSF18	all_common	1
GSE115821	TNFSF4	all_common	1
GSE115821	TNFSF9	all_common	1
GSE115821	TOP2A	all_common	1
GSE115821	TP63	all_common	1
GSE115821	TRIM29	all_common	1
GSE115821	TWIST1	all_common	1
GSE115821	TYROBP	all_common	1
GSE115821	VCAM1	all_common	1
GSE115821	VEGFA	all_common	1
GSE115821	VTCN1	all_common	1
GSE115821	ZAP70	all_common	1
GSE115821	ZBTB46	all_common	1
GSE115821	ZEB1	all_common	1
GSE136961	ADORA2A	all_common	1
GSE136961	AIF1	all_common	1
GSE136961	AKT1	all_common	1
GSE136961	ALOX15B	all_common	1
GSE136961	ARG1	all_common	1
GSE136961	AXL	all_common	1
GSE136961	B3GAT1	all_common	1
GSE136961	BATF	all_common	1
GSE136961	BCL2	all_common	1
GSE136961	BCL2L11	all_common	1
GSE136961	BCL6	all_common	1
GSE136961	BRCA1	all_common	1
GSE136961	BRCA2	all_common	1
GSE136961	BST2	all_common	1
GSE136961	BTLA	all_common	1
GSE136961	BUB1	all_common	1
GSE136961	C1QA	all_common	1
GSE136961	C1QB	all_common	1
GSE136961	CA4	all_common	1
GSE136961	CBLB	all_common	1
GSE136961	CCL17	all_common	1
GSE136961	CCL2	all_common	1
GSE136961	CCL20	all_common	1
GSE136961	CCL21	all_common	1
GSE136961	CCL22	all_common	1
GSE136961	CCL4	all_common	1
GSE136961	CCL5	all_common	1
GSE136961	CCNB2	all_common	1
GSE136961	CCR1	all_common	1
GSE136961	CCR2	all_common	1
GSE136961	CCR4	all_common	1
GSE136961	CCR5	all_common	1
GSE136961	CCR6	all_common	1
GSE136961	CCR7	all_common	1
GSE136961	CD14	all_common	1
GSE136961	CD160	all_common	1
GSE136961	CD163	all_common	1
GSE136961	CD19	all_common	1
GSE136961	CD1C	all_common	1
GSE136961	CD1D	all_common	1
GSE136961	CD2	all_common	1
GSE136961	CD209	all_common	1
GSE136961	CD22	all_common	1
GSE136961	CD226	all_common	1
GSE136961	CD244	all_common	1
GSE136961	CD247	all_common	1
GSE136961	CD27	all_common	1
GSE136961	CD274	all_common	1
GSE136961	CD276	all_common	1
GSE136961	CD28	all_common	1
GSE136961	CD33	all_common	1
GSE136961	CD37	all_common	1
GSE136961	CD38	all_common	1
GSE136961	CD3D	all_common	1
GSE136961	CD3E	all_common	1
GSE136961	CD3G	all_common	1
GSE136961	CD4	all_common	1
GSE136961	CD40	all_common	1
GSE136961	CD44	all_common	1
GSE136961	CD47	all_common	1
GSE136961	CD48	all_common	1
GSE136961	CD52	all_common	1
GSE136961	CD53	all_common	1
GSE136961	CD6	all_common	1
GSE136961	CD63	all_common	1
GSE136961	CD68	all_common	1
GSE136961	CD69	all_common	1
GSE136961	CD70	all_common	1
GSE136961	CD74	all_common	1
GSE136961	CD79A	all_common	1
GSE136961	CD79B	all_common	1
GSE136961	CD80	all_common	1
GSE136961	CD83	all_common	1
GSE136961	CD86	all_common	1
GSE136961	CD8A	all_common	1
GSE136961	CD8B	all_common	1
GSE136961	CDK1	all_common	1
GSE136961	CDKN2A	all_common	1
GSE136961	CDKN3	all_common	1
GSE136961	CEACAM1	all_common	1
GSE136961	CEACAM8	all_common	1
GSE136961	CIITA	all_common	1
GSE136961	CLEC4C	all_common	1
GSE136961	CMKLR1	all_common	1
GSE136961	CORO1A	all_common	1
GSE136961	CRTAM	all_common	1
GSE136961	CSF1R	all_common	1
GSE136961	CSF2RB	all_common	1
GSE136961	CTLA4	all_common	1
GSE136961	CTSS	all_common	1
GSE136961	CX3CL1	all_common	1
GSE136961	CX3CR1	all_common	1
GSE136961	CXCL1	all_common	1
GSE136961	CXCL10	all_common	1
GSE136961	CXCL11	all_common	1
GSE136961	CXCL13	all_common	1
GSE136961	CXCL8	all_common	1
GSE136961	CXCL9	all_common	1
GSE136961	CXCR2	all_common	1
GSE136961	CXCR4	all_common	1
GSE136961	CXCR5	all_common	1
GSE136961	CXCR6	all_common	1
GSE136961	DGAT2	all_common	1
GSE136961	DMBT1	all_common	1
GSE136961	EBI3	all_common	1
GSE136961	EFNA4	all_common	1
GSE136961	EGFR	all_common	1
GSE136961	EGR2	all_common	1
GSE136961	EGR3	all_common	1
GSE136961	EIF2AK2	all_common	1
GSE136961	ENTPD1	all_common	1
GSE136961	EOMES	all_common	1
GSE136961	FAS	all_common	1
GSE136961	FASLG	all_common	1
GSE136961	FCER1G	all_common	1
GSE136961	FCGR1A	all_common	1
GSE136961	FCGR2B	all_common	1
GSE136961	FCGR3A	all_common	1
GSE136961	FCGR3B	all_common	1
GSE136961	FCRLA	all_common	1
GSE136961	FOXM1	all_common	1
GSE136961	FOXO1	all_common	1
GSE136961	FUT4	all_common	1
GSE136961	GADD45GIP1	all_common	1
GSE136961	GATA3	all_common	1
GSE136961	GBP1	all_common	1
GSE136961	GNLY	all_common	1
GSE136961	GPR18	all_common	1
GSE136961	GRAP2	all_common	1
GSE136961	GUSB	all_common	1
GSE136961	GZMA	all_common	1
GSE136961	GZMB	all_common	1
GSE136961	GZMH	all_common	1
GSE136961	GZMK	all_common	1
GSE136961	HAVCR2	all_common	1
GSE136961	HERC6	all_common	1
GSE136961	HGF	all_common	1
GSE136961	HIF1A	all_common	1
GSE136961	HLA-A	all_common	1
GSE136961	HLA-B	all_common	1
GSE136961	HLA-C	all_common	1
GSE136961	HLA-DMA	all_common	1
GSE136961	HLA-DMB	all_common	1
GSE136961	HLA-DOA	all_common	1
GSE136961	HLA-DOB	all_common	1
GSE136961	HLA-DPA1	all_common	1
GSE136961	HLA-DPB1	all_common	1
GSE136961	HLA-DQA1	all_common	1
GSE136961	HLA-DQA2	all_common	1
GSE136961	HLA-DQB2	all_common	1
GSE136961	HLA-DRA	all_common	1
GSE136961	HLA-DRB1	all_common	1
GSE136961	HLA-E	all_common	1
GSE136961	HLA-G	all_common	1
GSE136961	HMBS	all_common	1
GSE136961	ICAM1	all_common	1
GSE136961	ICOS	all_common	1
GSE136961	ICOSLG	all_common	1
GSE136961	ID2	all_common	1
GSE136961	IDO1	all_common	1
GSE136961	IDO2	all_common	1
GSE136961	IFI27	all_common	1
GSE136961	IFI35	all_common	1
GSE136961	IFI44L	all_common	1
GSE136961	IFI6	all_common	1
GSE136961	IFIH1	all_common	1
GSE136961	IFIT1	all_common	1
GSE136961	IFIT2	all_common	1
GSE136961	IFIT3	all_common	1
GSE136961	IFITM1	all_common	1
GSE136961	IFITM2	all_common	1
GSE136961	IFNB1	all_common	1
GSE136961	IFNG	all_common	1
GSE136961	IGF1R	all_common	1
GSE136961	IGSF6	all_common	1
GSE136961	IKZF1	all_common	1
GSE136961	IKZF2	all_common	1
GSE136961	IKZF3	all_common	1
GSE136961	IKZF4	all_common	1
GSE136961	IL10	all_common	1
GSE136961	IL10RA	all_common	1
GSE136961	IL12A	all_common	1
GSE136961	IL12B	all_common	1
GSE136961	IL13	all_common	1
GSE136961	IL15	all_common	1
GSE136961	IL17A	all_common	1
GSE136961	IL17F	all_common	1
GSE136961	IL18	all_common	1
GSE136961	IL1A	all_common	1
GSE136961	IL1B	all_common	1
GSE136961	IL2	all_common	1
GSE136961	IL21	all_common	1
GSE136961	IL23A	all_common	1
GSE136961	IL2RA	all_common	1
GSE136961	IL2RB	all_common	1
GSE136961	IL3RA	all_common	1
GSE136961	IL4	all_common	1
GSE136961	IL6	all_common	1
GSE136961	IL7	all_common	1
GSE136961	IL7R	all_common	1
