target_gene	drug_name	drug_concept_id	interaction_types	sources	pmids	status
HLA-B	THALIDOMIDE	rxcui:10432		NCI	7876469	DGIdb_evidence
PDCD1	PEMBROLIZUMAB	rxcui:1547545	antibody:INHIBITORY;immunotherapy:None;inhibitor:INHIBITORY	ChEMBL;MyCancerGenome;TTD		DGIdb_evidence
HLA-A	MONOAMINE OXIDASE INHIBITOR	ncit:C667		PharmGKB		DGIdb_evidence
HLA-B	ETANERCEPT	rxcui:214555		PharmGKB	28470127	DGIdb_evidence
TGFB1	INTERFERON ALFA-2B	rxcui:5880		NCI	12567763	DGIdb_evidence
AXL	GILTERITINIB	rxcui:2105806	inhibitor:INHIBITORY	ChEMBL;GuideToPharmacology;TTD		DGIdb_evidence
HLA-B	PEGINTERFERON ALFA-2B	rxcui:253453		PharmGKB	23360626	DGIdb_evidence
AXL	NINGETINIB	iuphar.ligand:11624	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
AXL	GROWTH ARREST SPECIFIC PROTEIN 6	iuphar.ligand:4935		GuideToPharmacology		DGIdb_evidence
CD3E	FORALUMAB	chembl:CHEMBL1743020		TdgClinicalTrial		DGIdb_evidence
AXL	BEMCENTINIB	ncit:C121854	inhibitor:INHIBITORY	ChEMBL;GuideToPharmacology;TTD		DGIdb_evidence
TGFB1	PIOGLITAZONE HYDROCHLORIDE	rxcui:259319		NCI	17407709	DGIdb_evidence
TGFB1	SILYMARIN	rxcui:9794		NCI	15103051	DGIdb_evidence
CD3D	EPCORITAMAB	rxcui:2637392	binder:None	ChEMBL		DGIdb_evidence
IL10	EFAVIRENZ	rxcui:195085		PharmGKB	24819158	DGIdb_evidence
PDCD1	PUCOTENLIMAB	ncit:C160717	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
TGFB1	RITUXIMAB	rxcui:121191		PharmGKB	22129793	DGIdb_evidence
AXL	PF-562271	iuphar.ligand:9381		DTC		DGIdb_evidence
AXL	DASATINIB ANHYDROUS	rxcui:1546019		DTC		DGIdb_evidence
TGFB1	VERAPAMIL	rxcui:11170		NCI		DGIdb_evidence
IFNG	TRETINOIN	rxcui:10753		NCI	9792441	DGIdb_evidence
HLA-A	CLOMIPRAMINE	rxcui:2597		PharmGKB		DGIdb_evidence
TGFB1	PROTEASOME INHIBITOR	ncit:C2160		NCI	10555040	DGIdb_evidence
CD3D	IMC-GP100	chembl:CHEMBL2109434	modulator:None	ChEMBL		DGIdb_evidence
TGFB1	FRESOLIMUMAB	chembl:CHEMBL1743022	antibody:INHIBITORY	TALC		DGIdb_evidence
IFNG	URSODIOL	rxcui:11065		NCI	10784002	DGIdb_evidence
AXL	ZANZALINTINIB	iuphar.ligand:12093	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
HLA-B	METHAZOLAMIDE	rxcui:6826		PharmGKB	20504258;25918017;25970075;26458485;30242287;35122707;9109770	DGIdb_evidence
CD3E	FBT-A05	chembl:CHEMBL2109351	modulator:None	ChEMBL		DGIdb_evidence
IL10	ANESTHETIC AGENT	ncit:C245		NCI	11942866	DGIdb_evidence
HLA-A	LAPATINIB	rxcui:480167		PharmGKB	26265235	DGIdb_evidence
ITGB7	R1295	drugbank:DB05122		TdgClinicalTrial		DGIdb_evidence
AXL	ENTRECTINIB	rxcui:2197862		DTC		DGIdb_evidence
HLA-A	AMPICILLIN (ANHYDROUS)	rxcui:221058		PharmGKB	9609616	DGIdb_evidence
HLA-B	STAVUDINE	rxcui:59763		PharmGKB	25361850	DGIdb_evidence
HAVCR2	SABATOLIMAB	ncit:C124850	inhibitor:INHIBITORY	ChEMBL;TTD		DGIdb_evidence
ITGB7	VEDOLIZUMAB	rxcui:1538097	inhibitor:INHIBITORY	ChEMBL;TdgClinicalTrial		DGIdb_evidence
CD3E	MUROMONAB-CD3	rxcui:42405	inhibitor:INHIBITORY	ChEMBL;TEND;TTD;TdgClinicalTrial		DGIdb_evidence
IL10	ACYCLOVIR	rxcui:281		NCI	16961277	DGIdb_evidence
LAG3	IERAMILIMAB	ncit:C122683	inhibitor:INHIBITORY	ChEMBL;TTD		DGIdb_evidence
AXL	PROTEIN S	iuphar.ligand:5050		GuideToPharmacology		DGIdb_evidence
AXL	CEDIRANIB	ncit:C80867		DTC		DGIdb_evidence
HLA-B	TRICHLOROETHYLENE	rxcui:2534464		PharmGKB	18007983	DGIdb_evidence
CD3E	TEPLIZUMAB	rxcui:2621880	other/unknown:None	ChEMBL;TdgClinicalTrial		DGIdb_evidence
TGFB1	ATENOLOL	rxcui:1202		NCI	15049387	DGIdb_evidence
AXL	UNC4203	iuphar.ligand:10131	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
PDCD1	TISLELIZUMAB	rxcui:2677426	inhibitor:INHIBITORY	ChEMBL;TTD		DGIdb_evidence
TGFB1	BINTRAFUSP ALFA	ncit:C124229	binder:None	ChEMBL;TTD		DGIdb_evidence
IL10	MACROLIDE ANTIBIOTIC	ncit:C261		NCI	16476120	DGIdb_evidence
PDCD1	EZABENLIMAB	chembl:CHEMBL4802172		TTD		DGIdb_evidence
HLA-B	FOSPHENYTOIN	rxcui:72236		FDA;PharmGKB		DGIdb_evidence
HLA-B	CARBAMAZEPINE	rxcui:2002		FDA;NCI	16981842	DGIdb_evidence
IFNG	TRASTUZUMAB	rxcui:224905		NCI	15297404	DGIdb_evidence
HLA-A	CARBAMAZEPINE	rxcui:2002		FDA		DGIdb_evidence
IL10	LISOFYLLINE	ncit:C1516		NCI	9227316	DGIdb_evidence
CD3E	OTELIXIZUMAB	ncit:C95790	binder:None	ChEMBL;TdgClinicalTrial		DGIdb_evidence
AXL	ILORASERTIB	ncit:C116729		DTC		DGIdb_evidence
PSMB9	CARFILZOMIB	rxcui:1302966	inhibitor:INHIBITORY;other/unknown:None	ChEMBL;DTC;MyCancerGenome	24524217	DGIdb_evidence
PDCD1	ANTI-PD-1 MONOCLONAL ANTIBODY SYM021	ncit:C142865		TTD		DGIdb_evidence
CD163	THERAPEUTIC GLUCOCORTICOID	ncit:C521		NCI	9712057	DGIdb_evidence
CD3E	IPRAGLIFLOZIN	ncit:C166685	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
TGFB1	NISEVOKITUG	ncit:C132250		TTD		DGIdb_evidence
IL10	PROTON PUMP INHIBITOR	ncit:C29723		NCI	16815316	DGIdb_evidence
TGFB1	LUSPATERCEPT	rxcui:2262544	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
CD3E	DAPAGLIFLOZIN PROPANEDIOL	rxcui:1486966	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
CD3E	RESIMMUNE	chembl:CHEMBL4297555	binder:None	ChEMBL;TTD		DGIdb_evidence
ZEB1	SALINOMYCIN	rxcui:1311566		CIViC		DGIdb_evidence
AXL	MERESTINIB	ncit:C95729	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
IL10	SCH-708980	chembl:CHEMBL2109460	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
CD3D	CANAGLIFLOZIN	rxcui:1373458	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
AXL	LDC1267	iuphar.ligand:8247	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
IFNG	FUMARIC ACID	rxcui:25389		TTD		DGIdb_evidence
HLA-A	IPILIMUMAB	rxcui:1094833		FDA;PharmGKB		DGIdb_evidence
TGFB1	TRETINOIN	rxcui:10753		NCI	8940178	DGIdb_evidence
AXL	GILTERITINIB FUMARATE	rxcui:2105823	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
CD3D	MOSUNETUZUMAB	rxcui:2625122	binder:None	ChEMBL		DGIdb_evidence
IL10	SIROLIMUS	rxcui:35302		NCI;PharmGKB	12907620;22094953	DGIdb_evidence
IFNG	IBUPROFEN, SODIUM SALT	rxcui:1429044		NCI	8931897	DGIdb_evidence
HAVCR2	ANTI-TIM-3 MONOCLONAL ANTIBODY	ncit:C141146		CIViC		DGIdb_evidence
CD3E	MOSUNETUZUMAB	rxcui:2625122	binder:None	ChEMBL		DGIdb_evidence
CD3E	BEXAGLIFLOZIN	rxcui:2627044	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
IFNG	RECOMBINANT INTERLEUKIN-1-BETA	ncit:C585		NCI	8383325	DGIdb_evidence
PDCD1	AMP-224	drugbank:DB15767	antibody:INHIBITORY;immunotherapy:None	MyCancerGenome;TTD		DGIdb_evidence
AXL	COMPOUND 6LI [CHAN ET AL., 2022]	iuphar.ligand:12249	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
TGFB1	HYDROCORTISONE BUTYRATE	rxcui:103468		NCI	7895901	DGIdb_evidence
IFNG	METHYLPREDNISOLONE	rxcui:6902		NCI	9396353	DGIdb_evidence
HLA-B	MINOCYCLINE	rxcui:6980		PharmGKB	28323125	DGIdb_evidence
CD3D	ODRONEXTAMAB	ncit:C119615	binder:None	ChEMBL		DGIdb_evidence
HLA-B	SULFAMETHOXAZOLE / TRIMETHOPRIM	wikidata:Q48566821		PharmGKB	26086150;32452529;35169303	DGIdb_evidence
HLA-B	PEGINTERFERON ALFA-2A	rxcui:120608		PharmGKB	12873589;23360626	DGIdb_evidence
IFNG	EMAPALUMAB	rxcui:2104604	inhibitor:INHIBITORY	ChEMBL;TTD		DGIdb_evidence
HLA-B	CARBIMAZOLE	rxcui:2020		PharmGKB	26151496;26599303	DGIdb_evidence
IL10	SHO-SAIKO-TO	ncit:C2690		NCI	9185758	DGIdb_evidence
TGFB1	VITAMIN E	rxcui:11256		NCI	1505665	DGIdb_evidence
TGFB1	IRINOTECAN HYDROCHLORIDE	rxcui:153329		PharmGKB	27160286	DGIdb_evidence
IFNG	MELPHALAN	rxcui:6718		NCI	9864423	DGIdb_evidence
IFNG	FONTOLIZUMAB	ncit:C87765	inhibitor:INHIBITORY	ChEMBL;TdgClinicalTrial		DGIdb_evidence
