query_direction	library	rank	perturbation_id	perturbation_name	cell_line	timepoint	dose	pvalue	zscore	combined_score	adjusted_pvalue	overlapping_genes	signature_genes_submitted	reversal_score	status	interpretation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	12	LJP007	dasatinib	A549	24H	10	2.4394349832130377e-05	380.4952380952381	4041.30042892081	0.004175499546266316	GZMB;S100A9	9	4043.6797204799823	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	4	LJP009	AZD7762	HCC515	24H	10	5.711381861374135e-07	277.15277777777777	3984.2470753784846	0.0002932794585815618	GNLY;PRF1;GZMB	9	3987.7797937326095	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	1	LJP006	KIN001-043	HME1	3H	3.33	3.419113748564045e-08	201.64050632911392	3466.4623082741646	7.022859639550548e-05	GNLY;PRF1;GZMB;NKG7	9	3470.6157942855684	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	5	LJP006	KIN001-043	MCF7	3H	1.11	8.856058121351727e-07	237.48809523809524	3309.8701329077057	0.00036380686762512896	GNLY;PRF1;NKG7	9	3313.3092620146726	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	76	LJP008	olaparib	A549	24H	0.37	0.0029968027587318545	475.76190476190476	2764.2762463526265	0.07462327586880892	PSMB9	15	2765.403372042517	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	2	LJP007	AZ-628	HT29	24H	10	7.876865679680659e-08	162.39183673469387	2656.2027852212086	8.089541053032037e-05	TGFB1;GNLY;PRF1;GZMB	9	2660.2948613378894	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	16	LJP005	CYT387	BT20	3H	0.04	5.8173471398850856e-05	237.70238095238096	2318.092902661022	0.007103060933371366	GNLY;S100A9	9	2320.2414571207532	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	18	LJP005	NVP-AUY922	HS578T	3H	0.37	6.281272926601724e-05	228.18285714285713	2207.749647985094	0.007103060933371366	TGFB1;S100A9	9	2209.898202444825	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	6	LJP005	SAR-245408	MCF7	3H	3.33	2.468385425420852e-06	166.09166666666667	2144.5666800438885	0.0008450106106357383	GNLY;PRF1;NKG7	9	2147.639817881552	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	19	LJP005	TG-101348	MCF7	24H	1.11	6.762873462126663e-05	219.3956043956044	2106.5219804560147	0.007103060933371366	GNLY;GZMB	9	2108.670534915746	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	21	LJP006	OSI-027	MDAMB231	3H	10	7.262136299941514e-05	211.25925925925927	2013.3538562256686	0.007103060933371366	TGFB1;S100A9	9	2015.5024106853998	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	92	LJP009	GSK-429286A	A549	24H	0.04	0.00374469708393798	356.80357142857144	1993.609466758919	0.07588098498975995	S100A8	15	1994.7293337992112	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	3	LJP005	YM-201636	BT20	24H	10	2.7398761124311253e-07	117.66518518518518	1777.942474525675	0.00018759018449778438	GNLY;PRF1;GZMB;S100A9	9	1781.6692644151392	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	22	LJP007	WZ-7043	HA1E	24H	0.37	8.865774235784291e-05	190.10476190476192	1773.8156714265488	0.008075268408908019	GNLY;S100A9	9	1775.908514460057	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	7	LJP007	KIN001-266	A375	24H	10	4.185956056867304e-06	138.32638888888889	1713.0029362694745	0.001228279105829349	GNLY;PRF1;GZMB	9	1715.9136392053172	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	24	LJP007	tivantinib	HEPG2	24H	0.37	9.435561918879866e-05	183.963133640553	1705.0512168868192	0.008075268408908019	GNLY;GZMB	9	1707.1440599203274	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	23	LJP005	NVP-AUY922	HS578T	3H	3.33	9.435561918879866e-05	183.963133640553	1705.0512168868192	0.008075268408908019	GZMB;S100A9	9	1707.1440599203274	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	8	LJP009	dabrafenib	HT29	24H	10	6.328493251574592e-06	119.92771084337349	1435.588472350242	0.0016248406423417766	GNLY;PRF1;GZMB	9	1438.3776615766474	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	26	LJP006	PF-562271	SKBR3	3H	1.11	0.00012548254326066126	158.37301587301587	1422.719267111456	0.009700350078640152	NKG7;S100A9	9	1424.7324797035321	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	25	LJP005	dasatinib	PC3	24H	0.12	0.00012548254326066126	158.37301587301587	1422.719267111456	0.009700350078640152	CD163;S100A9	9	1424.7324797035321	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	28	LJP005	linsitinib	MCF7	24H	0.37	0.0001322345677711413	154.08494208494207	1376.122322398922	0.009700350078640152	TAP1;S100A9	9	1378.1355349909982	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	27	LJP008	dasatinib	HT29	24H	3.33	0.0001322345677711413	154.08494208494207	1376.122322398922	0.009700350078640152	TGFB1;PRF1	9	1378.1355349909982	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	9	LJP007	AZ-628	HT29	24H	0.12	7.2581798065078115e-06	114.39080459770115	1353.6300281419033	0.0016564779247296717	GNLY;PRF1;GZMB	9	1356.410842489329	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	29	LJP007	SB-525334	PC3	24H	10	0.0001391618496477865	150.02255639097746	1332.181235322806	0.009856497902639776	TGFB1;S100A9	9	1334.1875126889731	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	10	LJP005	XMD16-144	MCF7	3H	10	8.274084734271683e-06	109.34065934065934	1279.546190956486	0.0016994970044194038	GNLY;GZMB;S100A9	9	1282.315870553066	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	30	LJP006	ZSTK-474	HME1	3H	0.37	0.00015354169033610977	142.50714285714287	1251.4319514828514	0.009895648249695195	GZMB;S100A9	9	1253.4365072333699	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	31	LJP005	CGP-60474	PC3	24H	0.04	0.00015354169033610977	142.50714285714287	1251.4319514828514	0.009895648249695195	CD163;S100A9	9	1253.4365072333699	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	32	LJP008	I-BET151	HT29	24H	0.12	0.00016099400163033776	139.02439024390245	1214.2589675263725	0.009895648249695195	TGFB1;S100A9	9	1216.263523276891	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	35	LJP009	PF 573228	HEPG2	24H	3.33	0.0001686210753356046	135.7074829931973	1179.0071406934183	0.009895648249695195	GNLY;GZMB	9	1181.0116964439367	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	34	LJP009	dasatinib	HT29	24H	0.37	0.0001686210753356046	135.7074829931973	1179.0071406934183	0.009895648249695195	TGFB1;S100A9	9	1181.0116964439367	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	33	LJP005	TWS-119	BT20	24H	1.11	0.0001686210753356046	135.7074829931973	1179.0071406934183	0.009895648249695195	GNLY;PRF1	9	1181.0116964439367	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	36	LJP006	afatinib	MDAMB231	3H	10	0.00017642278783867052	132.54485049833886	1145.5357354354971	0.010065900172795256	NKG7;S100A9	9	1147.5328828164716	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	37	LJP006	AZD-5438	MCF10A	3H	0.12	0.00018439901560229468	129.52597402597402	1113.7172470762985	0.010236637244516575	GNLY;GZMB	9	1115.7070897628228	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	40	CPC013	BRD-K18163752	HCC515	6H	10.0	0.00020087452286934873	123.88198757763975	1054.5863138348677	0.010314906749341058	CD163;TGFB1	9	1056.5728485287273	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	39	LJP008	MK-1775	HCC515	24H	0.12	0.00020087452286934873	123.88198757763975	1054.5863138348677	0.010314906749341058	GZMB;S100A9	9	1056.5728485287273	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	38	LJP006	XMD11-85H	HT29	24H	10	0.00020087452286934873	123.88198757763975	1054.5863138348677	0.010314906749341058	CD163;S100A9	9	1056.5728485287273	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	41	LJP009	ALW-II-38-3	PC3	24H	1.11	0.00020937355557931883	121.24012158054711	1027.0724207395506	0.010415528758978661	CD163;S100A9	9	1029.0547394171365	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	42	LJP008	CX-5461	A375	24H	3.33	0.00021804660985203623	118.70833333333333	1000.8064198202925	0.010415528758978661	GNLY;S100A9	9	1002.7887384978784	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	43	LJP007	NVP-TAE226	HT29	24H	0.12	0.00021804660985203623	118.70833333333333	1000.8064198202925	0.010415528758978661	GZMB;S100A9	9	1002.7887384978784	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	11	LJP006	mitoxantrone	MDAMB231	3H	10	1.4776297215694522e-05	89.54954954954955	996.013629126714	0.0027591376800942314	GNLY;GZMB;NKG7	9	998.5728557545374	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	44	LJP005	SB590885	BT20	24H	10	0.0002268935624318299	116.2798833819242	975.7079361806791	0.010591804028067696	CD163;S100A9	9	977.682966243923	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	45	LJP007	pazopanib	HA1E	24H	10	0.0002451086696044955	111.70868347338936	928.7246464608792	0.010944634942774647	CD163;S100A9	9	930.6854451805835	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
downregulate_resistance_up_genes	LINCS_L1000_Chem_Pert_down	46	LJP009	SYK-inhibitor	HCC515	24H	3.33	0.0002451086696044955	111.70868347338936	928.7246464608792	0.010944634942774647	CD163;S100A9	9	930.6854451805835	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
