perturbation_id	perturbation_name	target_gene	mechanism	reversal_score	depmap_score	dgidb_evidence	target_state	priority_score	status	interpretation
LJP005;LJP007;LJP008;LJP009	dasatinib	CD163;GZMB;HLA-B;PRF1;PSMB9;S100A9;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	8399.26022717853			EcoNiche module-derived resistance signature	8399.26022717853	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	KIN001-043	GNLY;GZMB;NKG7;PRF1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	7561.105067928693			EcoNiche module-derived resistance signature	7561.105067928693	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005;LJP006;LJP008	mitoxantrone	AXL;GNLY;GZMB;HLA-A;HLA-B;NKG7;PSMB9;S100A8;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	5343.710784556606			EcoNiche module-derived resistance signature	5343.710784556606	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP007	AZ-628	CD163;GNLY;GZMB;PRF1;S100A9;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	5304.722910900314			EcoNiche module-derived resistance signature	5304.722910900314	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP009	AZD7762	GNLY;GZMB;PRF1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	3987.7797937326095			EcoNiche module-derived resistance signature	3987.7797937326095	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	NVP-AUY922	GZMB;S100A9;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	3917.0422623651525			EcoNiche module-derived resistance signature	3917.0422623651525	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005;LJP006;LJP007;LJP008;LJP009	CGP-60474	AXL;CD163;CD3D;CD3E;GNLY;GZMB;HLA-B;NKG7;PSMB9;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	3797.3494351071004			EcoNiche module-derived resistance signature	3797.3494351071004	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP008;LJP009	olaparib	HLA-B;PSMB9;S100A8	LINCS Enrichr signature reversal (upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_up)	3442.2284199038268			EcoNiche module-derived resistance signature	3442.2284199038268	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	BMS-387032	AXL;CD3D;GNLY;HLA-B;NKG7;PSMB9;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	3413.1161874251093			EcoNiche module-derived resistance signature	3413.1161874251093	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	AZD-5438	AXL;GNLY;GZMB;ITGB7;NKG7;PSMB9;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	3295.7666321619367			EcoNiche module-derived resistance signature	3295.7666321619367	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	AT-7519	AXL;CD3D;HLA-B;PSMB9	LINCS Enrichr signature reversal (upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_up)	2481.7829244491027			EcoNiche module-derived resistance signature	2481.7829244491027	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	CYT387	GNLY;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	2320.2414571207532			EcoNiche module-derived resistance signature	2320.2414571207532	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	alvocidib	AXL;CD3D;GZMB;HLA-B;NKG7;PSMB9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	2234.932148170935			EcoNiche module-derived resistance signature	2234.932148170935	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	SAR-245408	GNLY;NKG7;PRF1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	2147.639817881552			EcoNiche module-derived resistance signature	2147.639817881552	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005;LJP006;LJP008;LJP009	PD-0325901	CD3D;GZMB;HLA-A;HLA-B;PSMB9;S100A8;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	2141.665561090455			EcoNiche module-derived resistance signature	2141.665561090455	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	TG-101348	GNLY;GZMB	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	2108.670534915746			EcoNiche module-derived resistance signature	2108.670534915746	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	linsitinib	GZMB;HLA-B;PRF1;PSMB9;S100A9;TAP1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	2108.49735634511			EcoNiche module-derived resistance signature	2108.49735634511	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	PF-562271	AXL;HLA-B;NKG7;S100A9;TAP1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	2080.343221708462			EcoNiche module-derived resistance signature	2080.343221708462	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	OSI-027	S100A9;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	2015.5024106853998			EcoNiche module-derived resistance signature	2015.5024106853998	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP009	GSK-429286A	S100A8	LINCS Enrichr signature reversal (upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_up)	1994.7293337992112			EcoNiche module-derived resistance signature	1994.7293337992112	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	selumetinib	GNLY;HLA-A;HLA-B;NKG7;PRF1;PSMB9;S100A8;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	1989.8552872658195			EcoNiche module-derived resistance signature	1989.8552872658195	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	A443654	AXL;CD163;CD3D;HLA-B;PSMB9;S100A8;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	1813.6847261710009			EcoNiche module-derived resistance signature	1813.6847261710009	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP009	dabrafenib	GNLY;GZMB;PRF1;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1788.1338797886938			EcoNiche module-derived resistance signature	1788.1338797886938	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	YM-201636	GNLY;GZMB;PRF1;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1781.6692644151392			EcoNiche module-derived resistance signature	1781.6692644151392	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
