cohort	blend_id	subset_id	subset_value	claim_boundary	response_counts	n_samples	n_responders	n_nonresponders	AUROC	AUPRC	balanced_accuracy	threshold
PHS000452_LIU_LIKE_PRE	0.05*cohort_zscore+0.95*cohort_robust_zscore	all_phs_strict	all	primary_strict_external_reference	CR:16;PD:55;PR:32	103	48	55	0.6518939393939395	0.6376761933000892	0.6087121212121211	0.3746614201720898
PHS000452_LIU_LIKE_PRE	0.05*cohort_zscore+0.95*cohort_robust_zscore	m_stage::M1b	M1b	clinical_stage_diagnostic	CR:1;PD:6;PR:5	12	6	6	0.6388888888888888	0.6652777777777777	0.5833333333333333	0.3746614201720898
PHS000452_LIU_LIKE_PRE	0.05*cohort_zscore+0.95*cohort_robust_zscore	m_stage::M1c	M1c	clinical_stage_diagnostic	CR:13;PD:40;PR:26	79	39	40	0.6826923076923077	0.702050950473747	0.6339743589743589	0.3746614201720898
PHS000452_LIU_LIKE_PRE	0.05*cohort_zscore+0.95*cohort_robust_zscore	patient_id_suffix::T_M	T_M	metadata_suffix_diagnostic	CR:2;PD:20;PR:9	31	11	20	0.6954545454545454	0.6066950129232157	0.6590909090909092	0.3746614201720898
PHS000452_LIU_LIKE_PRE	0.05*cohort_zscore+0.95*cohort_robust_zscore	patient_id_suffix::T_P	T_P	metadata_suffix_diagnostic	CR:4;PD:16;PR:8	28	12	16	0.671875	0.7053876678876679	0.625	0.3746614201720898
PHS000452_LIU_LIKE_PRE	0.05*cohort_zscore+0.95*cohort_robust_zscore	patient_id_suffix::unsuffixed	unsuffixed	metadata_suffix_diagnostic	CR:10;PD:19;PR:15	44	25	19	0.6147368421052632	0.6507390501843797	0.5831578947368421	0.3746614201720898
PHS000452_LIU_LIKE_PRE	0.05*cohort_zscore+0.95*cohort_robust_zscore	sex::Female	Female	demographic_subgroup_diagnostic	CR:5;PD:22;PR:15	42	20	22	0.575	0.6319136265723331	0.4818181818181818	0.3746614201720898
PHS000452_LIU_LIKE_PRE	0.05*cohort_zscore+0.95*cohort_robust_zscore	sex::Male	Male	demographic_subgroup_diagnostic	CR:11;PD:33;PR:17	61	28	33	0.7034632034632035	0.6491534717958424	0.6958874458874459	0.3746614201720898
PHS000452_LIU_LIKE_PRE	0.05*cohort_zscore+0.95*cohort_robust_zscore	vital_status::Alive	Alive	post_outcome_diagnostic_not_predictive_claim	CR:15;PD:8;PR:27	50	42	8	0.5	0.8556313076717975	0.5327380952380952	0.3746614201720898
PHS000452_LIU_LIKE_PRE	0.05*cohort_zscore+0.95*cohort_robust_zscore	vital_status::Dead	Dead	post_outcome_diagnostic_not_predictive_claim	CR:1;PD:47;PR:5	53	6	47	0.6950354609929078	0.3541181041181041	0.6826241134751774	0.3746614201720898
PHS000452_LIU_LIKE_PRE	0.50*cohort_gene_percentile+0.50*cohort_zscore	all_phs_strict	all	primary_strict_external_reference	CR:16;PD:55;PR:32	103	48	55	0.6473484848484848	0.6042311827788572	0.6113636363636363	0.462248031330117
PHS000452_LIU_LIKE_PRE	0.50*cohort_gene_percentile+0.50*cohort_zscore	m_stage::M1b	M1b	clinical_stage_diagnostic	CR:1;PD:6;PR:5	12	6	6	0.6111111111111112	0.5690476190476191	0.6666666666666667	0.462248031330117
PHS000452_LIU_LIKE_PRE	0.50*cohort_gene_percentile+0.50*cohort_zscore	m_stage::M1c	M1c	clinical_stage_diagnostic	CR:13;PD:40;PR:26	79	39	40	0.6737179487179488	0.6702616230278732	0.6217948717948718	0.462248031330117
PHS000452_LIU_LIKE_PRE	0.50*cohort_gene_percentile+0.50*cohort_zscore	patient_id_suffix::T_M	T_M	metadata_suffix_diagnostic	CR:2;PD:20;PR:9	31	11	20	0.6772727272727272	0.5276636687732944	0.6590909090909092	0.462248031330117
PHS000452_LIU_LIKE_PRE	0.50*cohort_gene_percentile+0.50*cohort_zscore	patient_id_suffix::T_P	T_P	metadata_suffix_diagnostic	CR:4;PD:16;PR:8	28	12	16	0.6614583333333334	0.6468953268953269	0.59375	0.462248031330117
PHS000452_LIU_LIKE_PRE	0.50*cohort_gene_percentile+0.50*cohort_zscore	patient_id_suffix::unsuffixed	unsuffixed	metadata_suffix_diagnostic	CR:10;PD:19;PR:15	44	25	19	0.6294736842105263	0.6742789184782287	0.5968421052631578	0.462248031330117
PHS000452_LIU_LIKE_PRE	0.50*cohort_gene_percentile+0.50*cohort_zscore	sex::Female	Female	demographic_subgroup_diagnostic	CR:5;PD:22;PR:15	42	20	22	0.5499999999999999	0.5574665862360736	0.4818181818181818	0.462248031330117
PHS000452_LIU_LIKE_PRE	0.50*cohort_gene_percentile+0.50*cohort_zscore	sex::Male	Male	demographic_subgroup_diagnostic	CR:11;PD:33;PR:17	61	28	33	0.7045454545454546	0.6324342168668187	0.7012987012987013	0.462248031330117
PHS000452_LIU_LIKE_PRE	0.50*cohort_gene_percentile+0.50*cohort_zscore	vital_status::Alive	Alive	post_outcome_diagnostic_not_predictive_claim	CR:15;PD:8;PR:27	50	42	8	0.47023809523809523	0.8196031824240934	0.5565476190476191	0.462248031330117
PHS000452_LIU_LIKE_PRE	0.50*cohort_gene_percentile+0.50*cohort_zscore	vital_status::Dead	Dead	post_outcome_diagnostic_not_predictive_claim	CR:1;PD:47;PR:5	53	6	47	0.698581560283688	0.29020013802622496	0.6613475177304965	0.462248031330117
PHS000452_LIU_LIKE_PRE	cohort_robust_zscore	all_phs_strict	all	primary_strict_external_reference	CR:16;PD:55;PR:32	103	48	55	0.6515151515151516	0.6377313029851331	0.6087121212121211	0.3746128940154562
PHS000452_LIU_LIKE_PRE	cohort_robust_zscore	m_stage::M1b	M1b	clinical_stage_diagnostic	CR:1;PD:6;PR:5	12	6	6	0.6388888888888888	0.6652777777777777	0.5833333333333333	0.3746128940154562
PHS000452_LIU_LIKE_PRE	cohort_robust_zscore	m_stage::M1c	M1c	clinical_stage_diagnostic	CR:13;PD:40;PR:26	79	39	40	0.6826923076923077	0.7025363346547835	0.6339743589743589	0.3746128940154562
PHS000452_LIU_LIKE_PRE	cohort_robust_zscore	patient_id_suffix::T_M	T_M	metadata_suffix_diagnostic	CR:2;PD:20;PR:9	31	11	20	0.6954545454545454	0.6066950129232157	0.6590909090909092	0.3746128940154562
PHS000452_LIU_LIKE_PRE	cohort_robust_zscore	patient_id_suffix::T_P	T_P	metadata_suffix_diagnostic	CR:4;PD:16;PR:8	28	12	16	0.6770833333333333	0.7109432234432235	0.625	0.3746128940154562
