bin	prob_low	prob_high	n	prob_mean	event_rate	cohort
0	0.0	0.1	0			GSE115821
1	0.1	0.2	0			GSE115821
2	0.2	0.30000000000000004	0			GSE115821
3	0.30000000000000004	0.4	0			GSE115821
4	0.4	0.5	1	0.4910257081271632	1.0	GSE115821
5	0.5	0.6000000000000001	2	0.531110395569388	0.5	GSE115821
6	0.6000000000000001	0.7000000000000001	0			GSE115821
7	0.7000000000000001	0.8	2	0.7160161662922258	1.0	GSE115821
8	0.8	0.9	3	0.8473838289929859	0.6666666666666666	GSE115821
9	0.9	1.0	0			GSE115821
0	0.0	0.1	5	0.0517153846617424	0.6	GSE136961
1	0.1	0.2	9	0.13594271702944746	0.5555555555555556	GSE136961
2	0.2	0.30000000000000004	1	0.2868877152464277	0.0	GSE136961
3	0.30000000000000004	0.4	3	0.3779301221073233	0.6666666666666666	GSE136961
4	0.4	0.5	3	0.4300160813967171	0.6666666666666666	GSE136961
5	0.5	0.6000000000000001	0			GSE136961
6	0.6000000000000001	0.7000000000000001	0			GSE136961
7	0.7000000000000001	0.8	0			GSE136961
8	0.8	0.9	0			GSE136961
9	0.9	1.0	0			GSE136961
0	0.0	0.1	0			GSE168204
1	0.1	0.2	0			GSE168204
2	0.2	0.30000000000000004	0			GSE168204
3	0.30000000000000004	0.4	0			GSE168204
4	0.4	0.5	0			GSE168204
5	0.5	0.6000000000000001	1	0.5645537067771066	1.0	GSE168204
6	0.6000000000000001	0.7000000000000001	2	0.6625432543709562	0.5	GSE168204
7	0.7000000000000001	0.8	4	0.7741250294641637	0.75	GSE168204
8	0.8	0.9	8	0.8434485976660503	0.5	GSE168204
9	0.9	1.0	6	0.9209649590490508	0.5	GSE168204
0	0.0	0.1	21	0.06610197712417351	0.9047619047619048	GSE176307
1	0.1	0.2	30	0.1386682064859611	0.7333333333333333	GSE176307
2	0.2	0.30000000000000004	22	0.25270093695738177	0.8636363636363636	GSE176307
3	0.30000000000000004	0.4	6	0.3477048795816839	0.8333333333333334	GSE176307
4	0.4	0.5	6	0.43488671662682316	0.6666666666666666	GSE176307
5	0.5	0.6000000000000001	2	0.531822473616844	1.0	GSE176307
6	0.6000000000000001	0.7000000000000001	0			GSE176307
7	0.7000000000000001	0.8	1	0.7153199292764622	1.0	GSE176307
8	0.8	0.9	0			GSE176307
9	0.9	1.0	0			GSE176307
0	0.0	0.1	0			GSE78220
1	0.1	0.2	0			GSE78220
2	0.2	0.30000000000000004	0			GSE78220
3	0.30000000000000004	0.4	0			GSE78220
4	0.4	0.5	0			GSE78220
5	0.5	0.6000000000000001	0			GSE78220
6	0.6000000000000001	0.7000000000000001	1	0.6937677596800541	1.0	GSE78220
7	0.7000000000000001	0.8	4	0.7789011498083437	0.5	GSE78220
8	0.8	0.9	11	0.8472555199524833	0.2727272727272727	GSE78220
9	0.9	1.0	11	0.9384983266786567	0.6363636363636364	GSE78220
0	0.0	0.1	0			GSE91061
1	0.1	0.2	0			GSE91061
2	0.2	0.30000000000000004	12	0.26919829960078073	0.75	GSE91061
3	0.30000000000000004	0.4	22	0.36673296267301814	0.8636363636363636	GSE91061
4	0.4	0.5	15	0.44928602036261756	0.7333333333333333	GSE91061
5	0.5	0.6000000000000001	7	0.5490784077037956	0.5714285714285714	GSE91061
6	0.6000000000000001	0.7000000000000001	4	0.6275982393011015	1.0	GSE91061
7	0.7000000000000001	0.8	2	0.7450240559130707	0.5	GSE91061
8	0.8	0.9	0			GSE91061
9	0.9	1.0	0			GSE91061
