threshold	net_benefit	cohort
0.05	0.7368421052631579	GSE115821
0.1	0.7222222222222222	GSE115821
0.15	0.7058823529411765	GSE115821
0.2	0.6875	GSE115821
0.25	0.6666666666666666	GSE115821
0.3	0.6428571428571428	GSE115821
0.35	0.6153846153846154	GSE115821
0.4	0.5833333333333333	GSE115821
0.45	0.5454545454545454	GSE115821
0.5	0.375	GSE115821
0.55	0.3472222222222222	GSE115821
0.6	0.3125	GSE115821
0.65	0.2678571428571428	GSE115821
0.7	0.20833333333333337	GSE115821
0.75	-0.125	GSE115821
0.8	-0.2500000000000001	GSE115821
0.85	-0.5833333333333333	GSE115821
0.9	0.0	GSE115821
0.95	0.0	GSE115821
0.05	0.45614035087719296	GSE136961
0.1	0.3915343915343915	GSE136961
0.15	0.196078431372549	GSE136961
0.2	0.15476190476190477	GSE136961
0.25	0.14285714285714285	GSE136961
0.3	0.14965986394557823	GSE136961
0.35	0.1391941391941392	GSE136961
0.4	0.06349206349206349	GSE136961
0.45	0.047619047619047616	GSE136961
0.5	0.0	GSE136961
0.55	0.0	GSE136961
0.6	0.0	GSE136961
0.65	0.0	GSE136961
0.7	0.0	GSE136961
0.75	0.0	GSE136961
0.8	0.0	GSE136961
0.85	0.0	GSE136961
0.9	0.0	GSE136961
0.95	0.0	GSE136961
0.05	0.5488721804511278	GSE168204
0.1	0.5238095238095237	GSE168204
0.15	0.49579831932773105	GSE168204
0.2	0.46428571428571425	GSE168204
0.25	0.42857142857142855	GSE168204
0.3	0.3877551020408163	GSE168204
0.35	0.34065934065934067	GSE168204
0.4	0.28571428571428564	GSE168204
0.45	0.2207792207792208	GSE168204
0.5	0.14285714285714285	GSE168204
0.55	0.04761904761904745	GSE168204
0.6	-0.11904761904761885	GSE168204
0.65	-0.1836734693877552	GSE168204
0.7	-0.41269841269841256	GSE168204
0.75	-0.7142857142857142	GSE168204
0.8	-1.0000000000000002	GSE168204
0.85	-1.1587301587301586	GSE168204
0.9	-1.142857142857143	GSE168204
0.95	-0.9047619047619039	GSE168204
0.05	0.7177033492822966	GSE176307
0.1	0.5845959595959597	GSE176307
0.15	0.4117647058823529	GSE176307
0.2	0.33522727272727276	GSE176307
0.25	0.2159090909090909	GSE176307
0.3	0.12175324675324674	GSE176307
0.35	0.09003496503496504	GSE176307
0.4	0.06439393939393939	GSE176307
0.45	0.056818181818181816	GSE176307
0.5	0.03409090909090909	GSE176307
0.55	0.011363636363636364	GSE176307
0.6	0.011363636363636364	GSE176307
0.65	0.011363636363636364	GSE176307
0.7	0.011363636363636364	GSE176307
0.75	0.0	GSE176307
0.8	0.0	GSE176307
0.85	0.0	GSE176307
0.9	0.0	GSE176307
0.95	0.0	GSE176307
0.05	0.45419103313840153	GSE78220
0.1	0.4238683127572016	GSE78220
0.15	0.38997821350762524	GSE78220
0.2	0.35185185185185186	GSE78220
0.25	0.30864197530864196	GSE78220
0.3	0.2592592592592592	GSE78220
0.35	0.20227920227920226	GSE78220
0.4	0.1358024691358024	GSE78220
0.45	0.057239057239057256	GSE78220
0.5	-0.037037037037037035	GSE78220
0.55	-0.15226337448559685	GSE78220
0.6	-0.2962962962962961	GSE78220
0.65	-0.48148148148148157	GSE78220
0.7	-0.765432098765432	GSE78220
0.75	-1.148148148148148	GSE78220
0.8	-1.4074074074074079	GSE78220
0.85	-1.3827160493827158	GSE78220
0.9	-1.0740740740740742	GSE78220
0.95	-0.5925925925925919	GSE78220
0.05	0.7623089983022071	GSE91061
0.1	0.7491039426523297	GSE91061
0.15	0.7343453510436433	GSE91061
0.2	0.717741935483871	GSE91061
0.25	0.6720430107526882	GSE91061
0.3	0.5529953917050692	GSE91061
0.35	0.445409429280397	GSE91061
0.4	0.23655913978494622	GSE91061
0.45	0.1466275659824047	GSE91061
0.5	0.08064516129032259	GSE91061
0.55	0.03763440860215052	GSE91061
0.6	0.05645161290322581	GSE91061
0.65	-0.01382488479262673	GSE91061
0.7	-0.021505376344086016	GSE91061
0.75	-0.04838709677419355	GSE91061
0.8	0.0	GSE91061
0.85	0.0	GSE91061
0.9	0.0	GSE91061
0.95	0.0	GSE91061
