cohort	cell_type	n_samples	n_scored_samples	mean_abundance_score	median_abundance_score	sd_abundance_score	n_markers_available	status
GSE115821	b_cell_plasma	8	8	-1.3877787807814457e-17	-0.223178231661693	0.7978335139767329	8	PASS
GSE115821	cd8_t_effector	8	8	1.249000902703301e-16	-0.3619429202909953	0.9776766357946897	10	PASS
GSE115821	checkpoint_t_cell	8	8	2.7755575615628914e-17	-0.40292462209007995	0.9633521344551178	8	PASS
GSE115821	dendritic_apc	8	8	7.632783294297951e-17	-0.08306362973432983	0.7836710624161212	8	PASS
GSE115821	endothelial	8	8	-2.185751579730777e-16	-0.013630070878317677	0.8739319761610292	8	PASS
GSE115821	fibroblast_caf	8	8	4.9439619065339e-17	0.08269673888247206	0.8711249666269054	9	PASS
GSE115821	ifng_axis	8	8	1.1102230246251565e-16	-0.2382583423279493	0.9624984255835357	8	PASS
GSE115821	macrophage_myeloid	8	8	6.418476861114186e-17	-0.053844717762091675	0.9211355127271806	10	PASS
GSE115821	melanoma_tumor	8	8	-1.1102230246251565e-16	0.22192684461276974	0.6949006024651369	8	PASS
GSE115821	proliferation	8	8	1.1102230246251565e-16	0.16223161116150167	0.8519367756985365	7	PASS
GSE115821	treg	8	8	4.5102810375396984e-17	-0.18589121444428458	0.8506127133175045	7	PASS
GSE136961	b_cell_plasma	21	21	1.9825411154020654e-16	0.24477626771740424	0.8977878887180781	6	PASS
GSE136961	cd8_t_effector	21	21	1.2423924323186276e-16	0.22785199880799994	0.8911188035036642	10	PASS
GSE136961	checkpoint_t_cell	21	21	-2.967203202718424e-16	0.34384111279362817	0.8398584912526763	7	PASS
GSE136961	dendritic_apc	21	21	2.379049338482478e-16	0.36745028424405096	0.8170684964346584	6	PASS
GSE136961	endothelial	21	0				1	RESULT_PENDING
GSE136961	fibroblast_caf	21	0				0	RESULT_PENDING
GSE136961	ifng_axis	21	21	4.1435109311903164e-16	0.20641845757544217	0.832485304122664	8	PASS
GSE136961	macrophage_myeloid	21	21	1.0044874984703797e-16	0.41715688942678864	0.8616529307817702	9	PASS
GSE136961	melanoma_tumor	21	21	1.0573552615477681e-16	-0.16490209890657528	0.7320356281827775	2	PASS
GSE136961	proliferation	21	21	1.1789511166257614e-15	0.3190682870224061	0.9341297299303561	2	PASS
GSE136961	treg	21	21	4.7580986769649563e-17	0.10901495292136255	0.7049291101558378	6	PASS
GSE168204	b_cell_plasma	21	21	-5.2867763077388404e-17	0.06536416587296613	0.7793996946493795	8	PASS
GSE168204	cd8_t_effector	21	21	-1.0573552615477681e-16	-0.11375066465488289	0.922843286072801	10	PASS
GSE168204	checkpoint_t_cell	21	21	1.3745618400120986e-16	-0.09063612586639498	0.8306317032992578	8	PASS
GSE168204	dendritic_apc	21	21	-1.427429603089487e-16	0.14937974745133104	0.8131790693160039	8	PASS
GSE168204	endothelial	21	21	-1.691768418476429e-16	-0.05540766427664719	0.8480081978531105	8	PASS
GSE168204	fibroblast_caf	21	21	8.458842092382145e-17	-0.11151701563459746	0.8782578069987712	9	PASS
GSE168204	ifng_axis	21	21	-2.431917101559867e-16	-0.30824820212265713	0.8518532504225143	8	PASS
GSE168204	macrophage_myeloid	21	21	6.344131569286608e-17	0.00921599092365602	0.834464513831126	10	PASS
GSE168204	melanoma_tumor	21	21	6.344131569286608e-17	0.1878206035610852	0.8366848496098227	8	PASS
GSE168204	proliferation	21	21	-4.017949993881519e-16	0.07369160173406449	0.823946024643049	7	PASS
GSE168204	treg	21	21	3.8329128231106594e-17	-0.024828350012026507	0.8372267719339606	7	PASS
GSE176307	b_cell_plasma	88	88	2.523234146875356e-18	-0.25876178081466256	0.6801464764098135	7	PASS
GSE176307	cd8_t_effector	88	88	2.8386384152347754e-18	-0.28152872123739425	0.6751917663941217	10	PASS
GSE176307	checkpoint_t_cell	88	88	1.5770213417970973e-18	-0.2971306690953568	0.556794960930056	8	PASS
GSE176307	dendritic_apc	88	88	-2.5232341468753557e-17	-0.053535175444464914	0.6466900389908014	8	PASS
GSE176307	endothelial	88	88	2.3339915858597042e-17	-0.07043101805790229	0.6699224303645664	8	PASS
GSE176307	fibroblast_caf	88	88	5.803438537813318e-17	0.009194750356909491	0.8761144225430215	9	PASS
GSE176307	ifng_axis	88	88	-1.5139404881252134e-17	-0.17037622487014914	0.7262527825858528	8	PASS
GSE176307	macrophage_myeloid	88	88	2.460153293203472e-17	0.08887251264272986	0.7912107504443476	10	PASS
GSE176307	melanoma_tumor	88	88	1.0092936587501423e-17	-0.03858536397285863	0.2436248516431305	7	PASS
GSE176307	proliferation	88	88	-2.8764869274379055e-16	-0.07931164963116366	0.810463233794901	7	PASS
GSE176307	treg	88	88	6.718110916055635e-17	-0.08949101376384389	0.4209936570579247	6	PASS
GSE78220	b_cell_plasma	27	27	-1.644774851296528e-17	-0.22207320955906987	0.9101119522645297	7	PASS
GSE78220	cd8_t_effector	27	27	-2.4671622769447922e-17	0.05923081470867316	0.9042746754170224	10	PASS
GSE78220	checkpoint_t_cell	27	27	0.0	-0.2516181787921837	0.7542942422939989	8	PASS
GSE78220	dendritic_apc	27	27	-8.22387425648264e-18	-0.09781634122557362	0.6460038728939682	8	PASS
GSE78220	endothelial	27	27	-3.001714103616164e-16	-0.09127108917743382	0.7715296204971462	8	PASS
GSE78220	fibroblast_caf	27	27	8.22387425648264e-17	0.07819419807380376	0.8744111595615914	9	PASS
GSE78220	ifng_axis	27	27	1.356939252319636e-16	0.15788864634687008	0.8645616594244424	8	PASS
GSE78220	macrophage_myeloid	27	27	1.833666963125114e-16	-0.014086487945818415	0.8209868449135249	10	PASS
GSE78220	melanoma_tumor	27	27	-1.0691036533427433e-16	0.20442964804934147	0.7288786314618685	8	PASS
GSE78220	proliferation	27	27	-1.4802973661668753e-16	0.11650452314004026	0.7267298048330256	7	PASS
GSE78220	treg	27	27	0.0	-0.21002506646297253	0.6921662891856962	7	PASS
GSE91061	b_cell_plasma	62	62	7.341797420908293e-17	-0.20778754972702307	0.8630850106102907	8	PASS
GSE91061	cd8_t_effector	62	62	-3.581364595565021e-17	-0.050566180365988284	0.952282037607626	10	PASS
GSE91061	checkpoint_t_cell	62	62	-7.879002110243047e-17	-0.13185391094126028	0.8793134314859284	8	PASS
GSE91061	dendritic_apc	62	62	1.8264959437381609e-16	0.017713789956377013	0.7662220075333912	8	PASS
GSE91061	endothelial	62	62	-2.0234709964942368e-16	0.06236262698175493	0.7897474205847445	8	PASS
GSE91061	fibroblast_caf	62	62	-2.2562596952059633e-16	-0.1259190745017445	0.8931467323799737	9	PASS
GSE91061	ifng_axis	62	62	-8.59527502935605e-17	-0.0675647153349687	0.909506764840895	8	PASS
GSE91061	macrophage_myeloid	62	62	1.1460366705808067e-16	0.04452776908386647	0.8874610248583141	10	PASS
GSE91061	melanoma_tumor	62	62	-1.6116140680042596e-17	0.2508375560310922	0.733646864154794	8	PASS
GSE91061	proliferation	62	62	1.6116140680042596e-17	0.09960253177863838	0.8815668296014189	7	PASS
GSE91061	treg	62	62	2.5069552168955147e-17	-0.2203146206720888	0.8365308542976545	7	PASS
