sample_id	cohort	cell_type	abundance_score	relative_abundance	n_markers_available	marker_genes_used	status	expression_file	metadata_file
39-3-31-14_S15.bam	GSE115821	cd8_t_effector	-0.6398866524474209	0.5	10	CD3D;CD3E;CD8A;CD8B;GZMA;GZMB;PRF1;NKG7;CCL5;CXCL13	scored_marker_z_baseline	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.expr.tsv	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.metadata.tsv
208-9-10-14_S11.bam	GSE115821	cd8_t_effector	-1.1208187852014082	0.125	10	CD3D;CD3E;CD8A;CD8B;GZMA;GZMB;PRF1;NKG7;CCL5;CXCL13	scored_marker_z_baseline	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.expr.tsv	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.metadata.tsv
MGH42_101714.bam	GSE115821	cd8_t_effector	-0.08399918813456961	0.625	10	CD3D;CD3E;CD8A;CD8B;GZMA;GZMB;PRF1;NKG7;CCL5;CXCL13	scored_marker_z_baseline	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.expr.tsv	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.metadata.tsv
62-10-2-13_S6.bam	GSE115821	cd8_t_effector	-0.7304175145333696	0.25	10	CD3D;CD3E;CD8A;CD8B;GZMA;GZMB;PRF1;NKG7;CCL5;CXCL13	scored_marker_z_baseline	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.expr.tsv	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.metadata.tsv
115-031814.bam	GSE115821	cd8_t_effector	0.8973172617153568	0.875	10	CD3D;CD3E;CD8A;CD8B;GZMA;GZMB;PRF1;NKG7;CCL5;CXCL13	scored_marker_z_baseline	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.expr.tsv	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.metadata.tsv
MGH272-121914.bam	GSE115821	cd8_t_effector	1.5986506138490753	1.0	10	CD3D;CD3E;CD8A;CD8B;GZMA;GZMB;PRF1;NKG7;CCL5;CXCL13	scored_marker_z_baseline	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.expr.tsv	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.metadata.tsv
MGH422-092815.bam	GSE115821	cd8_t_effector	0.7881461641695112	0.75	10	CD3D;CD3E;CD8A;CD8B;GZMA;GZMB;PRF1;NKG7;CCL5;CXCL13	scored_marker_z_baseline	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.expr.tsv	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.metadata.tsv
148-6-5-14_S9.bam	GSE115821	cd8_t_effector	-0.7089918994171738	0.375	10	CD3D;CD3E;CD8A;CD8B;GZMA;GZMB;PRF1;NKG7;CCL5;CXCL13	scored_marker_z_baseline	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.expr.tsv	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.metadata.tsv
39-3-31-14_S15.bam	GSE115821	checkpoint_t_cell	-0.6321510290411567	0.375	8	PDCD1;CTLA4;LAG3;HAVCR2;TIGIT;ICOS;TOX;CXCL13	scored_marker_z_baseline	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.expr.tsv	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.metadata.tsv
208-9-10-14_S11.bam	GSE115821	checkpoint_t_cell	-1.0645914937927463	0.125	8	PDCD1;CTLA4;LAG3;HAVCR2;TIGIT;ICOS;TOX;CXCL13	scored_marker_z_baseline	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.expr.tsv	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.metadata.tsv
MGH42_101714.bam	GSE115821	checkpoint_t_cell	-0.26681378550357476	0.625	8	PDCD1;CTLA4;LAG3;HAVCR2;TIGIT;ICOS;TOX;CXCL13	scored_marker_z_baseline	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.expr.tsv	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.metadata.tsv
62-10-2-13_S6.bam	GSE115821	checkpoint_t_cell	-0.7372318098636972	0.25	8	PDCD1;CTLA4;LAG3;HAVCR2;TIGIT;ICOS;TOX;CXCL13	scored_marker_z_baseline	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.expr.tsv	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.metadata.tsv
115-031814.bam	GSE115821	checkpoint_t_cell	0.678451854312575	0.75	8	PDCD1;CTLA4;LAG3;HAVCR2;TIGIT;ICOS;TOX;CXCL13	scored_marker_z_baseline	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.expr.tsv	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.metadata.tsv
MGH272-121914.bam	GSE115821	checkpoint_t_cell	1.6791154912187862	1.0	8	PDCD1;CTLA4;LAG3;HAVCR2;TIGIT;ICOS;TOX;CXCL13	scored_marker_z_baseline	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.expr.tsv	D:\EcoNiche-Opt\data\processed\bulk\GSE115821.metadata.tsv
