ablation	metric	delta_vs_full_model
compact_module	AUPRC	-0.0020734754582979464
compact_module	AUROC	-0.01817670177045172
compact_module	Brier	-0.02547862336035145
compact_module	ECE	0.010421552221697161
compact_module	F1	0.14641514147661677
compact_module	MCC	-0.08440340941810534
compact_module	balanced_accuracy	-0.03257275132275134
full_model	AUPRC	0.0
full_model	AUROC	0.0
full_model	Brier	0.0
full_model	ECE	0.0
full_model	F1	0.0
full_model	MCC	0.0
full_model	balanced_accuracy	0.0
no_biological_objective_terms	AUPRC	0.0
no_biological_objective_terms	AUROC	0.0
no_biological_objective_terms	Brier	0.0
no_biological_objective_terms	ECE	0.0
no_biological_objective_terms	F1	0.0
no_biological_objective_terms	MCC	0.0
no_biological_objective_terms	balanced_accuracy	0.0
no_size_penalty	AUPRC	0.0
no_size_penalty	AUROC	0.0
no_size_penalty	Brier	0.0
no_size_penalty	ECE	0.0
no_size_penalty	F1	0.0
no_size_penalty	MCC	0.0
no_size_penalty	balanced_accuracy	0.0
zero_cell_state_priors	AUPRC	0.020305629134963588
zero_cell_state_priors	AUROC	0.03191058073870573
zero_cell_state_priors	Brier	-0.07304336735468325
zero_cell_state_priors	ECE	-0.07546207221745
zero_cell_state_priors	F1	0.21261382569000692
zero_cell_state_priors	MCC	0.07282426797048222
zero_cell_state_priors	balanced_accuracy	0.033068783068783136
