ablation	metric	estimate	sd	n_cohorts	status	reason
full_model	AUROC	0.45962905728530723	0.06254894196319558	6	computed_from_pipeline	
full_model	AUPRC	0.6887726957628026	0.1089696949297737	6	computed_from_pipeline	
full_model	balanced_accuracy	0.48139880952380953	0.03585609659696415	6	computed_from_pipeline	
full_model	MCC	-0.03842213391468777	0.09728024042935178	6	computed_from_pipeline	
full_model	F1	0.42026424395276857	0.3100760001110697	6	computed_from_pipeline	
full_model	ECE	0.3836568769752072	0.12560381747749247	6	computed_from_pipeline	
full_model	Brier	0.3720193956721176	0.10218249554235614	6	computed_from_pipeline	
zero_cell_state_priors	AUROC	0.49153963802401296	0.0951533067646509	6	computed_from_pipeline	
zero_cell_state_priors	AUPRC	0.7090783248977662	0.12201938971738048	6	computed_from_pipeline	
zero_cell_state_priors	balanced_accuracy	0.5144675925925927	0.03159637429333033	6	computed_from_pipeline	
zero_cell_state_priors	MCC	0.034402134055794446	0.07258840516979762	6	computed_from_pipeline	
zero_cell_state_priors	F1	0.6328780696427755	0.18614635542613925	6	computed_from_pipeline	
zero_cell_state_priors	ECE	0.3081948047577572	0.07323610584805079	6	computed_from_pipeline	
zero_cell_state_priors	Brier	0.29897602831743436	0.05306082164603428	6	computed_from_pipeline	
no_biological_objective_terms	AUROC	0.45962905728530723	0.06254894196319558	6	computed_from_pipeline	
no_biological_objective_terms	AUPRC	0.6887726957628026	0.1089696949297737	6	computed_from_pipeline	
no_biological_objective_terms	balanced_accuracy	0.48139880952380953	0.03585609659696415	6	computed_from_pipeline	
no_biological_objective_terms	MCC	-0.03842213391468777	0.09728024042935178	6	computed_from_pipeline	
no_biological_objective_terms	F1	0.42026424395276857	0.3100760001110697	6	computed_from_pipeline	
no_biological_objective_terms	ECE	0.3836568769752072	0.12560381747749247	6	computed_from_pipeline	
no_biological_objective_terms	Brier	0.3720193956721176	0.10218249554235614	6	computed_from_pipeline	
no_size_penalty	AUROC	0.45962905728530723	0.06254894196319558	6	computed_from_pipeline	
no_size_penalty	AUPRC	0.6887726957628026	0.1089696949297737	6	computed_from_pipeline	
no_size_penalty	balanced_accuracy	0.48139880952380953	0.03585609659696415	6	computed_from_pipeline	
no_size_penalty	MCC	-0.03842213391468777	0.09728024042935178	6	computed_from_pipeline	
no_size_penalty	F1	0.42026424395276857	0.3100760001110697	6	computed_from_pipeline	
no_size_penalty	ECE	0.3836568769752072	0.12560381747749247	6	computed_from_pipeline	
no_size_penalty	Brier	0.3720193956721176	0.10218249554235614	6	computed_from_pipeline	
compact_module	AUROC	0.4414523555148555	0.060112207821910346	6	computed_from_pipeline	
compact_module	AUPRC	0.6866992203045047	0.11608706166644145	6	computed_from_pipeline	
compact_module	balanced_accuracy	0.4488260582010582	0.06332677354011544	6	computed_from_pipeline	
compact_module	MCC	-0.12282554333279311	0.13063285968847993	6	computed_from_pipeline	
compact_module	F1	0.5666793854293853	0.12248828284374032	6	computed_from_pipeline	
compact_module	ECE	0.39407842919690433	0.07004843999990241	6	computed_from_pipeline	
compact_module	Brier	0.34654077231176617	0.0716672137257746	6	computed_from_pipeline	
