scope	metric	estimate	n
global_pooled	AUROC	0.6148727272727272	360
global_pooled	AUPRC	0.45358519829782956	360
global_pooled	balanced_accuracy	0.5929090909090908	360
global_pooled	accuracy	0.5972222222222222	360
global_pooled	MCC	0.17196007978122155	360
global_pooled	F1	0.46886446886446886	360
global_pooled	sensitivity	0.5818181818181818	360
global_pooled	specificity	0.604	360
global_pooled	PPV	0.39263803680981596	360
global_pooled	NPV	0.766497461928934	360
global_pooled	Brier	0.24887589759972223	360
global_pooled	ECE	0.2023316100268739	360
global_pooled	calibration_slope	0.5131328787559888	360
global_pooled	calibration_intercept	-0.855453853004995	360
mean_lodo_cohort	AUROC	0.6417223170348171	11
mean_lodo_cohort	AUPRC	0.5682776166985026	11
mean_lodo_cohort	balanced_accuracy	0.6153166278166278	11
mean_lodo_cohort	MCC	0.21923587170105566	11
mean_lodo_cohort	F1	0.5277351496630494	11
mean_lodo_cohort	Brier	0.24833214625096903	11
mean_lodo_cohort	ECE	0.28317784055606104	11
