accession	name	layer	cancer_type	therapy	platform	role	access	access_status	priority	warning	is_valid	normalized_access_status	download_action
GSE91061	Riaz_antiPD1_melanoma	A	melanoma	anti-PD1	RNA-seq	discovery_or_lodo	public	public	high		True	public	download_or_metadata_extract
GSE78220	Hugo_antiPD1_melanoma	A	melanoma	anti-PD1	RNA-seq	classic_external_benchmark	public	public	high		True	public	download_or_metadata_extract
GSE145996	JerbyArnon_or_related_melanoma_antiPD1	A	melanoma	anti-PD1	RNA-seq	external_small	public	public	medium		True	public	download_or_metadata_extract
GSE168204	Du_pathway_signature_melanoma_antiPD1	A	melanoma	anti-PD1_based	RNA-seq	pathway_signature_comparator	public	public	high		True	public	download_or_metadata_extract
GSE115821	Auslander_IMPRES_melanoma	A	melanoma	ICB	expression	IMPRES_comparator	public	public	high		True	public	download_or_metadata_extract
GSE93157	Prat_mixed_antiPD1_panel	A_B	melanoma_NSCLC_HNSC	pembrolizumab_or_nivolumab	NanoString_nCounter_immune_panel	mixed_tumor_external	public	public	medium		True	public	download_or_metadata_extract
PRJEB23709	Gide_melanoma_ICB	A	melanoma	anti-PD1_or_combo	RNA-seq	locked_external_if_accessible	public_or_EBI_verify	unknown	high	ACCESS_UNKNOWN_VERIFY_BEFORE_USE	True	unknown	verify_before_use
Liu_DFCI_melanoma	Liu_NatMed_2019_melanoma	A	melanoma	anti-PD1	RNA-seq_WES	locked_external_if_accessible	dbGaP_or_controlled_verify	controlled	high	ACCESS_RESTRICTED	True	controlled	emit_access_instructions
GSE244982	acquired_resistance_melanoma_progression	A_C	melanoma	ICB_progression	RNA-seq	mechanism_only	public	public	medium		True	public	download_or_metadata_extract
GSE136961	NSCLC_antiPD1_DCB_NDB	B	NSCLC	anti-PD1	expression	pan_cancer_external	public	public	high		True	public	download_or_metadata_extract
GSE176307	urothelial_ICB_real_world	B	urothelial_cancer	ICB	RNA-seq	pan_cancer_external	public	public	high		True	public	download_or_metadata_extract
IMvigor210	IMvigor210_urothelial_atezolizumab	B	urothelial_cancer	anti-PDL1_atezolizumab	RNA-seq	pan_cancer_external_large	public_or_package_verify	unknown	high	ACCESS_UNKNOWN_VERIFY_BEFORE_USE	True	unknown	verify_before_use
GSE67501	RCC_nivolumab_small	B	renal_cell_carcinoma	nivolumab	expression	pan_cancer_external_small	public	public	medium		True	public	download_or_metadata_extract
GSE121810	glioblastoma_pembrolizumab	B	glioblastoma	pembrolizumab	RNA-seq	pan_cancer_external_context_specific	public	public	medium		True	public	download_or_metadata_extract
GSE140901	HCC_ICI_nCounter	B	hepatocellular_carcinoma	anti-PD1_or_anti-PDL1_based	NanoString_nCounter	pan_cancer_external	public	public	medium		True	public	download_or_metadata_extract
GSE165252	PERFECT_esophageal_atezolizumab	B	esophageal_cancer	atezolizumab_plus_chemoradiotherapy	RNA-seq	pan_cancer_dynamic	public	public	medium		True	public	download_or_metadata_extract
GSE183924	esophageal_GEj_durvalumab	B	esophageal_or_GEj_adenocarcinoma	durvalumab	RNA-seq	survival_external	public	public	medium		True	public	download_or_metadata_extract
GSE115978	melanoma_ecosystem_scRNA	C	melanoma	mixed_or_ICB_context	scRNA-seq	single_cell_mechanism	public	public	high		True	public	download_or_metadata_extract
GSE123139	melanoma_Tcell_states_scRNA	C	melanoma	ICB_context	scRNA-seq	single_cell_Tcell_validation	public	public	high		True	public	download_or_metadata_extract
GSE123728	melanoma_ICB_public_candidate	A	melanoma	ICB	RNA-seq	candidate_external_requires_metadata_curation	public	public	medium		True	public	download_or_metadata_extract
GSE165745	melanoma_ICB_public_candidate	A	melanoma	ICB	expression	candidate_external_requires_metadata_curation	public	public	medium		True	public	download_or_metadata_extract
GSE122220	melanoma_ICB_public_candidate	A	melanoma	ICB	RNA-seq	candidate_external_requires_metadata_curation	public	public	medium		True	public	download_or_metadata_extract
TCGA_SKCM_Xena	TCGA_SKCM_UCSC_Xena	D	melanoma	reference_survival	RNA-seq	survival_reference	public	public	medium		True	public	download_or_metadata_extract
GDC_TCGA_SKCM	TCGA_SKCM_GDC	D	melanoma	reference_survival	RNA-seq	survival_reference	public	public	medium		True	public	download_or_metadata_extract
LINCS_L1000	LINCS_L1000_perturbation	E	perturbation_reference	perturbagen	L1000	perturbation_prioritization	public	public	medium		True	public	download_or_metadata_extract
CMap	Connectivity_Map	E	perturbation_reference	perturbagen	signature_database	perturbation_prioritization	public_or_manual	unknown	medium	ACCESS_UNKNOWN_VERIFY_BEFORE_USE	True	unknown	verify_before_use
DepMap	DepMap_dependency	E	dependency_reference	genetic_dependency	CRISPR_screen	perturbation_prioritization	public	public	medium		True	public	download_or_metadata_extract
DGIdb	Drug_Gene_Interaction_database	E	actionability_reference	drug_gene_interaction	database	actionability_annotation	public	public	medium		True	public	download_or_metadata_extract
DrugBank_optional	DrugBank_optional	E	actionability_reference	drug_gene_interaction	database	optional_actionability_annotation	controlled_or_license_required	controlled	low	ACCESS_RESTRICTED	True	controlled	emit_access_instructions
