state	gene	direction	selection_frequency	cell_state_prior	coefficient
antigen_presentation_mhc	HLA-A	1	0.6146376960445845	0.9	-0.17428448878090438
antigen_presentation_mhc	HLA-B	1	0.5	0.9	-0.17428448878090438
antigen_presentation_mhc	TAP1	-1	1.0	0.9	-0.17428448878090438
caf_ecm_exclusion	CD3E	-1	0.5020734301197597		1.1331310443381677
caf_ecm_exclusion	PSMB9	-1	0.5		1.1331310443381677
caf_ecm_exclusion	TGFB1	1	1.0	0.9	1.1331310443381677
myeloid_suppression	IL10	1	1.0	0.9	0.2876021136951668
myeloid_suppression	LILRB2	-1	0.5	0.9	0.2876021136951668
myeloid_suppression	S100A9	1	0.6562358522009104	0.9	0.2876021136951668
tcell_dysfunction	HAVCR2	-1	0.5	0.9	0.14056658206305825
tcell_dysfunction	LAG3	-1	1.0	0.9	0.14056658206305825
tcell_dysfunction	TIGIT	-1	0.5621724146605912	0.9	0.14056658206305825
tnk_effector	GZMB	-1	0.5505663820986704	0.9	-0.12804341336679556
tnk_effector	NKG7	-1	1.0	0.9	-0.12804341336679556
tnk_effector	PRF1	-1	0.5	0.9	-0.12804341336679556
tumor_dedifferentiation	AXL	1	0.9996020187525565	0.9	0.18129374908906523
tumor_dedifferentiation	CD3E	-1	0.5020734301197597		0.18129374908906523
tumor_dedifferentiation	ZEB1	1	1.0	0.9	0.18129374908906523
