state	gene	direction	selection_frequency	cell_state_prior	coefficient
antigen_presentation_mhc	CD3E	-1	0.5052143507919254		-0.3199653309147677
antigen_presentation_mhc	HLA-A	1	0.9913297126311402	0.9	-0.3199653309147677
antigen_presentation_mhc	HLA-B	1	0.9887504728928249	0.9	-0.3199653309147677
antigen_presentation_mhc	ITGB7	-1	0.5001675546614099		-0.3199653309147677
antigen_presentation_mhc	PSMB9	-1	0.5031539998688171		-0.3199653309147677
antigen_presentation_mhc	TAP1	-1	1.0	0.9	-0.3199653309147677
caf_ecm_exclusion	CD3D	-1	0.5000312574863817		1.72484146846466
caf_ecm_exclusion	CD3E	-1	0.5052143507919254		1.72484146846466
caf_ecm_exclusion	ITGB7	-1	0.5001675546614099		1.72484146846466
caf_ecm_exclusion	PSMB9	-1	0.5031539998688171		1.72484146846466
caf_ecm_exclusion	PTEN	1	0.5		1.72484146846466
caf_ecm_exclusion	TGFB1	1	1.0	0.9	1.72484146846466
myeloid_suppression	CD163	1	0.984099241936008	0.9	0.8072197980925845
myeloid_suppression	CD3E	-1	0.5052143507919254		0.8072197980925845
myeloid_suppression	IL10	1	1.0	0.9	0.8072197980925845
myeloid_suppression	LILRB2	-1	0.9857192458244484	0.9	0.8072197980925845
myeloid_suppression	S100A8	-1	0.982994258518964	0.9	0.8072197980925845
myeloid_suppression	S100A9	1	0.9901815774218264	0.9	0.8072197980925845
tcell_dysfunction	CD3E	-1	0.5052143507919254		0.04528161334745964
tcell_dysfunction	HAVCR2	-1	0.9914674110491428	0.9	0.04528161334745964
tcell_dysfunction	LAG3	-1	1.0	0.9	0.04528161334745964
tcell_dysfunction	PDCD1	-1	0.9890422918386137	0.9	0.04528161334745964
tcell_dysfunction	PSMB9	-1	0.5031539998688171		0.04528161334745964
tcell_dysfunction	TIGIT	-1	0.9925283943659049	0.9	0.04528161334745964
tnk_effector	CD3E	-1	0.5052143507919254		-0.6660506420297118
tnk_effector	GNLY	-1	0.9818055497940801	0.9	-0.6660506420297118
tnk_effector	GZMB	-1	0.9947793765913413	0.9	-0.6660506420297118
tnk_effector	IFNG	1	0.9783750741610489	0.9	-0.6660506420297118
tnk_effector	NKG7	-1	1.0	0.9	-0.6660506420297118
tnk_effector	PRF1	-1	0.994191997215254	0.9	-0.6660506420297118
tumor_dedifferentiation	AXL	1	0.9996060519727794	0.9	-0.3332303188423113
tumor_dedifferentiation	CD3D	-1	0.5000312574863817		-0.3332303188423113
tumor_dedifferentiation	CD3E	-1	0.5052143507919254		-0.3332303188423113
tumor_dedifferentiation	ITGB7	-1	0.5001675546614099		-0.3332303188423113
tumor_dedifferentiation	PSMB9	-1	0.5031539998688171		-0.3332303188423113
tumor_dedifferentiation	ZEB1	1	1.0	0.9	-0.3332303188423113
