setting	metric	estimate	sd	n_cohorts	status	reason
baseline_seed_42	AUROC	0.45962905728530723	0.06254894196319558	6	computed_from_pipeline	
baseline_seed_42	AUPRC	0.6887726957628026	0.1089696949297737	6	computed_from_pipeline	
baseline_seed_42	balanced_accuracy	0.48139880952380953	0.03585609659696415	6	computed_from_pipeline	
baseline_seed_42	MCC	-0.03842213391468777	0.09728024042935178	6	computed_from_pipeline	
baseline_seed_42	F1	0.42026424395276857	0.3100760001110697	6	computed_from_pipeline	
baseline_seed_42	ECE	0.3836568769752072	0.12560381747749247	6	computed_from_pipeline	
baseline_seed_42	Brier	0.3720193956721176	0.10218249554235614	6	computed_from_pipeline	
seed_7	AUROC	0.45962905728530723	0.06254894196319558	6	computed_from_pipeline	
seed_7	AUPRC	0.6887726957628026	0.1089696949297737	6	computed_from_pipeline	
seed_7	balanced_accuracy	0.48139880952380953	0.03585609659696415	6	computed_from_pipeline	
seed_7	MCC	-0.03842213391468777	0.09728024042935178	6	computed_from_pipeline	
seed_7	F1	0.42026424395276857	0.3100760001110697	6	computed_from_pipeline	
seed_7	ECE	0.3836568769752072	0.12560381747749247	6	computed_from_pipeline	
seed_7	Brier	0.3720193956721176	0.10218249554235614	6	computed_from_pipeline	
seed_99	AUROC	0.45962905728530723	0.06254894196319558	6	computed_from_pipeline	
seed_99	AUPRC	0.6887726957628026	0.1089696949297737	6	computed_from_pipeline	
seed_99	balanced_accuracy	0.48139880952380953	0.03585609659696415	6	computed_from_pipeline	
seed_99	MCC	-0.03842213391468777	0.09728024042935178	6	computed_from_pipeline	
seed_99	F1	0.42026424395276857	0.3100760001110697	6	computed_from_pipeline	
seed_99	ECE	0.3836568769752072	0.12560381747749247	6	computed_from_pipeline	
seed_99	Brier	0.3720193956721176	0.10218249554235614	6	computed_from_pipeline	
compact_3_genes	AUROC	0.4414523555148555	0.060112207821910346	6	computed_from_pipeline	
compact_3_genes	AUPRC	0.6866992203045047	0.11608706166644145	6	computed_from_pipeline	
compact_3_genes	balanced_accuracy	0.4488260582010582	0.06332677354011544	6	computed_from_pipeline	
compact_3_genes	MCC	-0.12282554333279311	0.13063285968847993	6	computed_from_pipeline	
compact_3_genes	F1	0.5666793854293853	0.12248828284374032	6	computed_from_pipeline	
compact_3_genes	ECE	0.39407842919690433	0.07004843999990241	6	computed_from_pipeline	
compact_3_genes	Brier	0.34654077231176617	0.0716672137257746	6	computed_from_pipeline	
expanded_min_6_genes	AUROC	0.4935696055487722	0.10776896047886633	6	computed_from_pipeline	
expanded_min_6_genes	AUPRC	0.6919521858286991	0.12958125507681548	6	computed_from_pipeline	
expanded_min_6_genes	balanced_accuracy	0.5071097883597884	0.07726038350364624	6	computed_from_pipeline	
expanded_min_6_genes	MCC	0.010618918482033937	0.15927744868990593	6	computed_from_pipeline	
expanded_min_6_genes	F1	0.5047782535976405	0.26221519600678883	6	computed_from_pipeline	
expanded_min_6_genes	ECE	0.3716224608928788	0.13123220497610422	6	computed_from_pipeline	
expanded_min_6_genes	Brier	0.35751092835005566	0.10641555947166607	6	computed_from_pipeline	
high_robustness_penalty	AUROC	0.45962905728530723	0.06254894196319558	6	computed_from_pipeline	
high_robustness_penalty	AUPRC	0.6887726957628026	0.1089696949297737	6	computed_from_pipeline	
high_robustness_penalty	balanced_accuracy	0.48139880952380953	0.03585609659696415	6	computed_from_pipeline	
high_robustness_penalty	MCC	-0.03842213391468777	0.09728024042935178	6	computed_from_pipeline	
high_robustness_penalty	F1	0.42026424395276857	0.3100760001110697	6	computed_from_pipeline	
high_robustness_penalty	ECE	0.3836568769752072	0.12560381747749247	6	computed_from_pipeline	
high_robustness_penalty	Brier	0.3720193956721176	0.10218249554235614	6	computed_from_pipeline	
no_calibration_penalty	AUROC	0.45962905728530723	0.06254894196319558	6	computed_from_pipeline	
no_calibration_penalty	AUPRC	0.6887726957628026	0.1089696949297737	6	computed_from_pipeline	
no_calibration_penalty	balanced_accuracy	0.48139880952380953	0.03585609659696415	6	computed_from_pipeline	
no_calibration_penalty	MCC	-0.03842213391468777	0.09728024042935178	6	computed_from_pipeline	
no_calibration_penalty	F1	0.42026424395276857	0.3100760001110697	6	computed_from_pipeline	
no_calibration_penalty	ECE	0.3836568769752072	0.12560381747749247	6	computed_from_pipeline	
no_calibration_penalty	Brier	0.3720193956721176	0.10218249554235614	6	computed_from_pipeline	
