candidate	group	external_AUROC	external_AUPRC	external_BA	primary_AUROC	primary_AUPRC	primary_BA
0.80*base+0.20*pct__TPI1P3	strict_phs_gse	0.7257440476190475	0.7339126612547224	0.6613095238095238	0.8318667504714016	0.6953706566813644	0.7650848522941547
0.80*base+0.20*pct__TPI1P3	phs_only	0.6939393939393939	0.6939292709570534	0.6331439393939394	0.8318667504714016	0.6953706566813644	0.7650848522941547
0.80*base+0.20*pct__TPI1P3	gse145996_only	0.875	0.9206845238095238	0.8	0.8318667504714016	0.6953706566813644	0.7650848522941547
0.65*base+0.35*pct__TPI1P3	strict_phs_gse	0.7260416666666667	0.7311126492433327	0.6678571428571429	0.8079824010056568	0.6621259736384377	0.6802325581395349
0.65*base+0.35*pct__TPI1P3	phs_only	0.6981060606060606	0.6927686532331206	0.6568181818181817	0.8079824010056568	0.6621259736384377	0.6802325581395349
0.65*base+0.35*pct__TPI1P3	gse145996_only	0.85	0.8956845238095238	0.7	0.8079824010056568	0.6621259736384377	0.6802325581395349
0.80*base+0.20*rz__TPI1P3	strict_phs_gse	0.7087797619047618	0.7216733093940314	0.6589285714285715	0.8067253299811439	0.6873477967010555	0.6829038340666247
0.80*base+0.20*rz__TPI1P3	phs_only	0.6708333333333334	0.6727656717969067	0.6382575757575758	0.8067253299811439	0.6873477967010555	0.6829038340666247
0.80*base+0.20*rz__TPI1P3	gse145996_only	0.875	0.9206845238095238	0.7375	0.8067253299811439	0.6873477967010555	0.6829038340666247
0.65*base+0.35*z__GCH1	strict_phs_gse	0.6404761904761904	0.6470153802379507	0.6125	0.798240100565682	0.7012711689591402	0.6836895034569453
0.65*base+0.35*z__GCH1	phs_only	0.6272727272727273	0.6160483770609251	0.6047348484848485	0.798240100565682	0.7012711689591402	0.6836895034569453
0.65*base+0.35*z__GCH1	gse145996_only	0.9	0.9317956349206349	0.75	0.798240100565682	0.7012711689591402	0.6836895034569453
0.65*base+0.35*rz__GCH1	strict_phs_gse	0.6404761904761904	0.6470153802379507	0.6125	0.798240100565682	0.7012711689591402	0.6836895034569453
0.65*base+0.35*rz__GCH1	phs_only	0.6272727272727273	0.6160483770609251	0.6047348484848485	0.798240100565682	0.7012711689591402	0.6836895034569453
0.65*base+0.35*rz__GCH1	gse145996_only	0.9	0.9317956349206349	0.75	0.798240100565682	0.7012711689591402	0.6836895034569453
0.65*base+0.35*rz__TPI1P3	strict_phs_gse	0.7251488095238094	0.7358725328636292	0.6827380952380953	0.7976115650534255	0.6921071427539426	0.6877749842866122
0.65*base+0.35*rz__TPI1P3	phs_only	0.6958333333333334	0.6977920193720932	0.6619318181818181	0.7976115650534255	0.6921071427539426	0.6877749842866122
0.65*base+0.35*rz__TPI1P3	gse145996_only	0.85	0.8956845238095238	0.8	0.7976115650534255	0.6921071427539426	0.6877749842866122
0.50*base+0.50*z__SIRPG	strict_phs_gse	0.646875	0.6591796488778646	0.5797619047619048	0.7941546197360151	0.6815809879098613	0.6285355122564424
0.50*base+0.50*z__SIRPG	phs_only	0.6242424242424243	0.6182063287813171	0.5706439393939394	0.7941546197360151	0.6815809879098613	0.6285355122564424
0.50*base+0.50*z__SIRPG	gse145996_only	0.9	0.9415178571428572	0.6875	0.7941546197360151	0.6815809879098613	0.6285355122564424
0.50*base+0.50*rz__SIRPG	strict_phs_gse	0.6492559523809525	0.6667163698449639	0.5642857142857143	0.7941546197360151	0.6815809879098613	0.6285355122564424
0.50*base+0.50*rz__SIRPG	phs_only	0.6196969696969699	0.6127793499804965	0.534280303030303	0.7941546197360151	0.6815809879098613	0.6285355122564424
0.50*base+0.50*rz__SIRPG	gse145996_only	0.825	0.9105519480519481	0.8125	0.7941546197360151	0.6815809879098613	0.6285355122564424
0.80*base+0.20*z__TPI1P3	strict_phs_gse	0.7087797619047618	0.7216733093940314	0.6607142857142857	0.7910119421747329	0.6800600793693108	0.7118164676304211
0.80*base+0.20*z__TPI1P3	phs_only	0.6708333333333334	0.6727656717969067	0.6318181818181818	0.7910119421747329	0.6800600793693108	0.7118164676304211
0.80*base+0.20*z__TPI1P3	gse145996_only	0.875	0.9206845238095238	0.8	0.7910119421747329	0.6800600793693108	0.7118164676304211
0.65*base+0.35*z__SIRPG	strict_phs_gse	0.665625	0.6775434475117809	0.5773809523809524	0.7910119421747328	0.6906130065620478	0.7012884978001257
0.65*base+0.35*z__SIRPG	phs_only	0.6359848484848485	0.6286106223973651	0.5549242424242424	0.7910119421747328	0.6906130065620478	0.7012884978001257
0.65*base+0.35*z__SIRPG	gse145996_only	0.9	0.9415178571428572	0.75	0.7910119421747328	0.6906130065620478	0.7012884978001257
0.65*base+0.35*rz__SIRPG	strict_phs_gse	0.6641369047619048	0.680509326417626	0.6053571428571429	0.7910119421747328	0.6906130065620478	0.7012884978001257
0.65*base+0.35*rz__SIRPG	phs_only	0.6325757575757576	0.6266823577211362	0.5784090909090909	0.7910119421747328	0.6906130065620478	0.7012884978001257
0.65*base+0.35*rz__SIRPG	gse145996_only	0.9	0.9415178571428572	0.8125	0.7910119421747328	0.6906130065620478	0.7012884978001257
0.80*base+0.20*pct__DIAPH1	strict_phs_gse	0.7038690476190477	0.7138438308128189	0.6821428571428572	0.7906976744186047	0.6979998961332659	0.7077309868007542
0.80*base+0.20*pct__DIAPH1	phs_only	0.6738636363636364	0.6706151587697525	0.6710227272727273	0.7906976744186047	0.6979998961332659	0.7077309868007542
0.80*base+0.20*pct__DIAPH1	gse145996_only	0.85	0.908531746031746	0.7375	0.7906976744186047	0.6979998961332659	0.7077309868007542
0.80*base+0.20*z__GCH1	strict_phs_gse	0.6635416666666666	0.6706215075717473	0.6029761904761906	0.7900691389063482	0.6941177749702576	0.623664362036455
0.80*base+0.20*z__GCH1	phs_only	0.6382575757575757	0.6227751601831	0.6020833333333333	0.7900691389063482	0.6941177749702576	0.623664362036455
0.80*base+0.20*z__GCH1	gse145996_only	0.9	0.9317956349206349	0.65	0.7900691389063482	0.6941177749702576	0.623664362036455
0.80*base+0.20*rz__GCH1	strict_phs_gse	0.6635416666666666	0.6706215075717473	0.6029761904761906	0.7900691389063482	0.6941177749702576	0.623664362036455
0.80*base+0.20*rz__GCH1	phs_only	0.6382575757575757	0.6227751601831	0.6020833333333333	0.7900691389063482	0.6941177749702576	0.623664362036455
0.80*base+0.20*rz__GCH1	gse145996_only	0.9	0.9317956349206349	0.65	0.7900691389063482	0.6941177749702576	0.623664362036455
0.50*base+0.50*z__GCH1	strict_phs_gse	0.6193452380952381	0.6335120527744514	0.5738095238095238	0.78975487115022	0.6835713743740433	0.7166876178504085
0.50*base+0.50*z__GCH1	phs_only	0.6106060606060606	0.6051123014699966	0.5668560606060606	0.78975487115022	0.6835713743740433	0.7166876178504085
0.50*base+0.50*z__GCH1	gse145996_only	0.85	0.9202741702741702	0.6875	0.78975487115022	0.6835713743740433	0.7166876178504085
0.50*base+0.50*rz__GCH1	strict_phs_gse	0.6193452380952381	0.6335120527744514	0.5738095238095238	0.78975487115022	0.6835713743740433	0.7166876178504085
0.50*base+0.50*rz__GCH1	phs_only	0.6106060606060606	0.6051123014699966	0.5668560606060606	0.78975487115022	0.6835713743740433	0.7166876178504085
0.50*base+0.50*rz__GCH1	gse145996_only	0.85	0.9202741702741702	0.6875	0.78975487115022	0.6835713743740433	0.7166876178504085
0.50*base+0.50*z__BLK	strict_phs_gse	0.6699404761904763	0.6778688498198483	0.5839285714285715	0.7891263356379635	0.6881580413944002	0.7283155248271527
0.50*base+0.50*z__BLK	phs_only	0.6655303030303031	0.6618176049902983	0.5776515151515151	0.7891263356379635	0.6881580413944002	0.7283155248271527
0.50*base+0.50*z__BLK	gse145996_only	0.8	0.874440836940837	0.7125	0.7891263356379635	0.6881580413944002	0.7283155248271527
0.80*base+0.20*z__DIAPH1	strict_phs_gse	0.6967261904761904	0.6998771190841047	0.680952380952381	0.7881835323695789	0.697264387983543	0.7155876807039598
0.80*base+0.20*z__DIAPH1	phs_only	0.6659090909090909	0.6512550924573065	0.659280303030303	0.7881835323695789	0.697264387983543	0.7155876807039598
0.80*base+0.20*z__DIAPH1	gse145996_only	0.875	0.9206845238095238	0.8375	0.7881835323695789	0.697264387983543	0.7155876807039598
0.80*base+0.20*rz__DIAPH1	strict_phs_gse	0.6973214285714286	0.7033840710579405	0.680952380952381	0.7881835323695789	0.697264387983543	0.7155876807039598
0.80*base+0.20*rz__DIAPH1	phs_only	0.6659090909090909	0.6547481763407802	0.659280303030303	0.7881835323695789	0.697264387983543	0.7155876807039598
0.80*base+0.20*rz__DIAPH1	gse145996_only	0.875	0.9206845238095238	0.8375	0.7881835323695789	0.697264387983543	0.7155876807039598
0.65*base+0.35*z__BLK	strict_phs_gse	0.6764880952380953	0.6832682292576913	0.6333333333333333	0.7872407291011941	0.6856118982755071	0.7253299811439347
0.65*base+0.35*z__BLK	phs_only	0.6625	0.6582729838884567	0.6308712121212121	0.7872407291011941	0.6856118982755071	0.7253299811439347
0.65*base+0.35*z__BLK	gse145996_only	0.85	0.8956845238095238	0.7125	0.7872407291011941	0.6856118982755071	0.7253299811439347
0.35*base+0.65*z__SIRPG	strict_phs_gse	0.6391369047619047	0.6476123215921493	0.5720238095238095	0.7862979258328096	0.660088041597067	0.6780326838466373
0.35*base+0.65*z__SIRPG	phs_only	0.6151515151515152	0.6044544352599377	0.5628787878787879	0.7862979258328096	0.660088041597067	0.6780326838466373
0.35*base+0.65*z__SIRPG	gse145996_only	0.9	0.9415178571428572	0.6875	0.7862979258328096	0.660088041597067	0.6780326838466373
0.35*base+0.65*rz__SIRPG	strict_phs_gse	0.6334821428571429	0.6470976063016592	0.5732142857142857	0.7862979258328096	0.660088041597067	0.6780326838466373
0.35*base+0.65*rz__SIRPG	phs_only	0.6106060606060606	0.5935993004439652	0.5642045454545455	0.7862979258328096	0.660088041597067	0.6780326838466373
0.35*base+0.65*rz__SIRPG	gse145996_only	0.85	0.908531746031746	0.65	0.7862979258328096	0.660088041597067	0.6780326838466373
0.80*base+0.20*pct__PLA2G2D	strict_phs_gse	0.6992559523809524	0.7135080960583332	0.6273809523809524	0.7837837837837839	0.6886842789800562	0.6829038340666247
0.80*base+0.20*pct__PLA2G2D	phs_only	0.6803030303030303	0.6791603094514942	0.6176136363636364	0.7837837837837839	0.6886842789800562	0.6829038340666247
0.80*base+0.20*pct__PLA2G2D	gse145996_only	0.875	0.9206845238095238	0.7125	0.7837837837837839	0.6886842789800562	0.6829038340666247
0.80*base+0.20*z__SIRPG	strict_phs_gse	0.6729166666666667	0.6805769107558638	0.5648809523809524	0.7812696417347581	0.6748958187606471	0.7204588309239472
0.80*base+0.20*z__SIRPG	phs_only	0.6428030303030304	0.6309793919912896	0.5446969696969697	0.7812696417347581	0.6748958187606471	0.7204588309239472
0.80*base+0.20*z__SIRPG	gse145996_only	0.875	0.9206845238095238	0.7125	0.7812696417347581	0.6748958187606471	0.7204588309239472
0.80*base+0.20*rz__SIRPG	strict_phs_gse	0.669047619047619	0.6810055150569841	0.5565476190476191	0.7812696417347581	0.6748958187606471	0.7204588309239472
0.80*base+0.20*rz__SIRPG	phs_only	0.640530303030303	0.6306758935361185	0.5356060606060606	0.7812696417347581	0.6748958187606471	0.7204588309239472
0.80*base+0.20*rz__SIRPG	gse145996_only	0.9	0.9415178571428572	0.7125	0.7812696417347581	0.6748958187606471	0.7204588309239472
0.80*base+0.20*z__CD83	strict_phs_gse	0.684077380952381	0.6999236110677175	0.5851190476190476	0.781269641734758	0.693186118294474	0.6642049025769956
