cell_id	module_score	state	patient_id	cell_type	treatment_group	Cohort	no.of.genes	no.of.reads
cy78_CD45_neg_1_B04_S496_comb	2.1683234150681345	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	8258	357919
cy79_p4_CD45_neg_PDL1_neg_E11_S1115_comb	3.2569824778317042	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	2047	5727
CY88_5_B10_S694_comb	2.763637629441354	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	5375	139218
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F07_S67_comb	3.452353673471054	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5648	73996
cy78_CD45_neg_3_H06_S762_comb	2.310733625132344	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	7409	380341
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G01_S73_comb	4.63376803008656	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	6988	92485
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D09_S141_comb	5.86170140479995	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5195	63696
CY88_3_D02_S614_comb	5.90164070133089	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	7345	494895
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D06_S138_comb	4.446483328989362	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4847	60074
cy53_1_CD45_neg_C06_S318_comb	2.279966442702258	antigen_presentation_mhc	Mel53	Mal	treatment.naive	Tirosh	4467	97098
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C04_S28_comb	3.867140100442782	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	3968	37095
Cy71_CD45_D08_S524_comb	3.1221709800323802	antigen_presentation_mhc	Mel71	Mal	treatment.naive	Tirosh	4660	143878
Cy81_FNA_CD45_B01_S301_comb	1.831113525956128	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	6387	195829
CY88_5_B06_S690_comb	4.148339569992542	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	6987	387883
cy79_p3_CD45_neg_PDL1_neg_E04_S244_comb	4.375862147186144	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5197	590351
Cy80_II_CD45_B07_S883_comb	4.253200340845806	antigen_presentation_mhc	Mel80	Mal	treatment.naive	Tirosh	5913	103997
cy79_p4_CD45_neg_PDL1_neg_H11_S1151_comb	4.163404335730594	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4855	128141
Cy81_Bulk_CD45_B10_S118_comb	1.91963533044478	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	8366	561231
cy79_p5_CD45_neg_PDL1_neg_F10_S838_comb	3.08732769130418	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	2394	10669
CY88_3_F01_S637_comb	5.005588263204178	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	6010	254178
CY88_3_C01_S601_comb	3.1777157426399563	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	6332	402959
CY89NEG_E07_S55_comb	4.225402173410098	antigen_presentation_mhc	Mel89	Mal	treatment.naive	Tirosh	7752	561966
CY89CORE11_G02_S170_comb	3.4890529366292085	antigen_presentation_mhc	Mel89	Mal	treatment.naive	Tirosh	6591	408607
cy78_CD45_neg_1_D07_S523_comb	3.7403571107063533	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	8548	394632
cy78_CD45_neg_3_D01_S709_comb	3.6597881243406905	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	8472	425938
cy79_p5_CD45_neg_PDL1_pos_A04_S676_comb	5.57468343261994	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	6065	176919
Cy71_CD45_B05_S497_comb	3.232135441531748	antigen_presentation_mhc	Mel71	Mal	treatment.naive	Tirosh	4721	23926
Cy80_II_CD45_C09_S897_comb	4.084009732722204	antigen_presentation_mhc	Mel80	Mal	treatment.naive	Tirosh	6021	310389
cy81_FNA_CD45_neg_D04_S1000_comb	1.215461334195116	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	9551	227393
cy82_CD45_pos_2_H12_S576_comb	4.861997324994935	antigen_presentation_mhc	Mel82	Macrophage	treatment.naive	Tirosh	4431	12102
cy79_p3_CD45_neg_PDL1_neg_F04_S256_comb	5.0406348063409	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	6717	441424
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C01_S121_comb	3.988915755021602	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4758	33564
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D02_S134_comb	3.964195949220546	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	2862	63175
cy80_CD45_neg_G01_S937_comb	4.195025776826839	antigen_presentation_mhc	Mel80	Mal	treatment.naive	Tirosh	7453	154339
cy78_CD45_neg_2_B08_S596_comb	3.2843685696746343	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	6475	70466
cy78_CD45_neg_1_E02_S530_comb	2.41270657410869	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	7690	369174
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F07_S163_comb	5.017702392159346	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5376	73999
CY89CORE11_A11_S107_comb	4.004602759444386	antigen_presentation_mhc	Mel89	Mal	treatment.naive	Tirosh	6825	464978
cy78_CD45_neg_3_B02_S686_comb	4.740919523872696	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	7586	315886
cy79_p5_CD45_neg_PDL1_neg_A02_S770_comb	3.230346981732462	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	3715	63501
cy79_p4_CD45_neg_PDL1_neg_D01_S1093_comb	4.24582936246553	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4702	112991
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C01_S313_comb	4.749730316206756	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5901	112405
cy81_Bulk_CD45_neg_A10_S106_comb	1.25594670249342	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	5266	54399
cy53_1_CD45_neg_E04_S340_comb	3.032314330957238	antigen_presentation_mhc	Mel53	Mal	treatment.naive	Tirosh	4653	44271
cy79_p5_CD45_neg_PDL1_neg_C03_S795_comb	4.1695290865688275	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4608	82513
cy78_CD45_neg_3_D04_S712_comb	2.6371754715088676	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	7933	627292
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A10_S10_comb	4.82024239210514	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	6014	115465
cy81_FNA_CD45_neg_B01_S973_comb	2.943724112911542	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	6667	186354
Cy81_FNA_CD45_E05_S341_comb	1.430201781080766	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	7719	145124
