endpoint	stratum	target_model	baseline_model	n_samples	target_AUROC	baseline_AUROC	delta_AUROC	target_balanced_accuracy	baseline_balanced_accuracy	delta_balanced_accuracy	target_ECE	baseline_ECE	delta_ECE	mean_delta	ci_low	ci_high	p_value	fdr_q	claim_level
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-RankModulePrior	EcoNiche-Opt-RawModulePrior	117	0.6926461345065996	0.7049025769956003	-0.012256442489000707	0.5378692646134506	0.6315210559396606	-0.09365179132620993	0.23733656255480784	0.2348619118541941	0.0024746507006137286	-0.01184624101345084	-0.05403045582896328	0.02601667111640541	0.596	0.596	not_supported
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-RankModulePriorCalibrated	EcoNiche-Opt-RawModulePrior	117	0.6404776869893148	0.7049025769956003	-0.06442489000628548	0.6217787554996858	0.6315210559396606	-0.009742300439974816	0.1874434038390314	0.2348619118541941	-0.0474185080151627	-0.06317106193791296	-0.11738229570296062	-0.013952922077922186	0.012	0.016	point_estimate_or_calibration_tradeoff
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-SignedRankResponseModules	EcoNiche-Opt-RawModulePrior	117	0.57950974230044	0.7049025769956003	-0.12539283469516038	0.45490257699560027	0.6315210559396606	-0.1766184789440603	0.27718583269674507	0.2348619118541941	0.04232392084255096	-0.1248714353635734	-0.20356210784849887	-0.05442024225443721	0.002	0.004	not_supported
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-SignedRankResponseModulesCalibrated	EcoNiche-Opt-RawModulePrior	117	0.549654305468259	0.7049025769956003	-0.15524827152734133	0.5182275298554369	0.6315210559396606	-0.11329352608422372	0.19042340463584254	0.2348619118541941	-0.044438507218351575	-0.15496371478971296	-0.22563271604938273	-0.07573641095264208	0.0	0.0	point_estimate_or_calibration_tradeoff
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-RankModulePrior	EcoNiche-Opt-RawModulePrior	131	0.6830882352941177	0.6845588235294118	-0.0014705882352941124	0.5498774509803922	0.6128676470588235	-0.06299019607843126	0.24787394749287872	0.23858416431842683	0.009289783174451893	-0.0010848803009977897	-0.04003074328116847	0.03529972442614	0.946	0.946	not_supported
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-RankModulePriorCalibrated	EcoNiche-Opt-RawModulePrior	131	0.6502450980392157	0.6845588235294118	-0.03431372549019607	0.6093137254901961	0.6128676470588235	-0.0035539215686273273	0.15688772319861632	0.23858416431842683	-0.0816964411198105	-0.033845782303908396	-0.08063922965776257	0.010078321191012669	0.158	0.21066666666666667	point_estimate_or_calibration_tradeoff
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-SignedRankResponseModules	EcoNiche-Opt-RawModulePrior	131	0.5838235294117647	0.6845588235294118	-0.10073529411764703	0.4971813725490196	0.6128676470588235	-0.11568627450980384	0.26000051459415624	0.23858416431842683	0.021416350275729412	-0.10041961568639476	-0.17066303905154082	-0.03554384136907584	0.0	0.0	not_supported
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-SignedRankResponseModulesCalibrated	EcoNiche-Opt-RawModulePrior	131	0.5750000000000001	0.6845588235294118	-0.10955882352941171	0.5549019607843138	0.6128676470588235	-0.05796568627450971	0.14248193447885218	0.23858416431842683	-0.09610222983957464	-0.10897323455257757	-0.17023975002559405	-0.05048446085404284	0.0	0.0	point_estimate_or_calibration_tradeoff
strict_recist	strict_cbio_liu_plus_gse145996	EcoNiche-Opt-RankModulePrior	EcoNiche-Opt-RawModulePrior	116	0.5472429210134129	0.5561847988077496	-0.00894187779433675	0.5272727272727272	0.5515648286140089	-0.02429210134128168	0.39436298051910995	0.20927646437006744	0.1850865161490425	-0.0075021674985107445	-0.08158468614718598	0.07264269890648566	0.85	0.942	not_supported
strict_recist	strict_cbio_liu_plus_gse145996	EcoNiche-Opt-RankModulePriorCalibrated	EcoNiche-Opt-RawModulePrior	116	0.5472429210134129	0.5561847988077496	-0.00894187779433675	0.5087928464977645	0.5515648286140089	-0.042771982116244445	0.13108316301506615	0.20927646437006744	-0.0781933013550013	-0.0075021674985107445	-0.08158468614718598	0.07264269890648566	0.85	0.942	point_estimate_or_calibration_tradeoff
strict_recist	strict_cbio_liu_plus_gse145996	EcoNiche-Opt-SignedRankResponseModules	EcoNiche-Opt-RawModulePrior	116	0.5585692995529061	0.5561847988077496	0.0023845007451565037	0.5025335320417288	0.5515648286140089	-0.049031296572280114	0.2666539885981975	0.20927646437006744	0.057377524228130056	0.0025873236154875137	-0.06798716490618932	0.07154359198899879	0.942	0.942	point_estimate_or_calibration_tradeoff
strict_recist	strict_cbio_liu_plus_gse145996	EcoNiche-Opt-SignedRankResponseModulesCalibrated	EcoNiche-Opt-RawModulePrior	116	0.5585692995529061	0.5561847988077496	0.0023845007451565037	0.5005961251862892	0.5515648286140089	-0.05096870342771975	0.1437666683671805	0.20927646437006744	-0.06550979600288695	0.0025873236154875137	-0.06798716490618932	0.07154359198899879	0.942	0.942	point_estimate_or_calibration_tradeoff
strict_recist	strict_melanoma_pd1_like_external	EcoNiche-Opt-RankModulePrior	EcoNiche-Opt-RawModulePrior	116	0.5464285714285714	0.5711309523809525	-0.024702380952381087	0.5035714285714286	0.530952380952381	-0.027380952380952395	0.3709935564977045	0.2612959989566861	0.1096975575410184	-0.023832573881571423	-0.07404186077245854	0.02705619308649723	0.322	0.644	not_supported
strict_recist	strict_melanoma_pd1_like_external	EcoNiche-Opt-RankModulePriorCalibrated	EcoNiche-Opt-RawModulePrior	116	0.5464285714285714	0.5711309523809525	-0.024702380952381087	0.4904761904761905	0.530952380952381	-0.04047619047619044	0.1511869557794982	0.2612959989566861	-0.11010904317718789	-0.023832573881571423	-0.07404186077245854	0.02705619308649723	0.322	0.644	point_estimate_or_calibration_tradeoff
strict_recist	strict_melanoma_pd1_like_external	EcoNiche-Opt-SignedRankResponseModules	EcoNiche-Opt-RawModulePrior	116	0.5657738095238096	0.5711309523809525	-0.005357142857142838	0.531547619047619	0.530952380952381	0.0005952380952380931	0.2225162092845841	0.2612959989566861	-0.038779789672101994	-0.005792772871877891	-0.06020539003217635	0.05115531161633145	0.812	0.812	point_estimate_or_calibration_tradeoff
strict_recist	strict_melanoma_pd1_like_external	EcoNiche-Opt-SignedRankResponseModulesCalibrated	EcoNiche-Opt-RawModulePrior	116	0.5657738095238096	0.5711309523809525	-0.005357142857142838	0.5642857142857143	0.530952380952381	0.033333333333333326	0.1149211986671001	0.2612959989566861	-0.146374800289586	-0.005792772871877891	-0.06020539003217635	0.05115531161633145	0.812	0.812	point_estimate_or_calibration_tradeoff
