axis	cohort	n_samples	n_positive_genes_available	n_negative_genes_available	positive_genes_available	negative_genes_available	context
MAP4K1_minus_TBX3	GSE91061	49	1	1	MAP4K1	TBX3	primary
map4k1_apm_minus_tbx3_ipres	GSE91061	49	5	5	MAP4K1,HLA-A,B2M,TAP1,CXCL9	TBX3,AXL,VIM,ZEB1,FN1	primary
cyt_apm_minus_ipres	GSE91061	49	6	5	GZMA,PRF1,HLA-A,B2M,TAP1,CXCL9	AXL,VIM,ZEB1,COL1A1,FN1	primary
immune_effector_minus_tumor	GSE91061	49	9	6	MAP4K1,CD8A,CD8B,GZMB,PRF1,NKG7,CXCL9,CXCL10,IFNG	TBX3,AXL,MITF,SOX10,WNT5A,PAK4	primary
MAP4K1_minus_TBX3	GSE78220	27	1	1	MAP4K1	TBX3	primary
map4k1_apm_minus_tbx3_ipres	GSE78220	27	5	5	MAP4K1,HLA-A,B2M,TAP1,CXCL9	TBX3,AXL,VIM,ZEB1,FN1	primary
cyt_apm_minus_ipres	GSE78220	27	6	5	GZMA,PRF1,HLA-A,B2M,TAP1,CXCL9	AXL,VIM,ZEB1,COL1A1,FN1	primary
immune_effector_minus_tumor	GSE78220	27	9	6	MAP4K1,CD8A,CD8B,GZMB,PRF1,NKG7,CXCL9,CXCL10,IFNG	TBX3,AXL,MITF,SOX10,WNT5A,PAK4	primary
MAP4K1_minus_TBX3	PRJEB23709_PD1_PRE	41	1	1	MAP4K1	TBX3	primary
map4k1_apm_minus_tbx3_ipres	PRJEB23709_PD1_PRE	41	5	5	MAP4K1,HLA-A,B2M,TAP1,CXCL9	TBX3,AXL,VIM,ZEB1,FN1	primary
cyt_apm_minus_ipres	PRJEB23709_PD1_PRE	41	6	5	GZMA,PRF1,HLA-A,B2M,TAP1,CXCL9	AXL,VIM,ZEB1,COL1A1,FN1	primary
immune_effector_minus_tumor	PRJEB23709_PD1_PRE	41	9	6	MAP4K1,CD8A,CD8B,GZMB,PRF1,NKG7,CXCL9,CXCL10,IFNG	TBX3,AXL,MITF,SOX10,WNT5A,PAK4	primary
MAP4K1_minus_TBX3	GSE91061	33	1	1	MAP4K1	TBX3	strict_external
map4k1_apm_minus_tbx3_ipres	GSE91061	33	5	5	MAP4K1,HLA-A,B2M,TAP1,CXCL9	TBX3,AXL,VIM,ZEB1,FN1	strict_external
cyt_apm_minus_ipres	GSE91061	33	6	5	GZMA,PRF1,HLA-A,B2M,TAP1,CXCL9	AXL,VIM,ZEB1,COL1A1,FN1	strict_external
immune_effector_minus_tumor	GSE91061	33	9	6	MAP4K1,CD8A,CD8B,GZMB,PRF1,NKG7,CXCL9,CXCL10,IFNG	TBX3,AXL,MITF,SOX10,WNT5A,PAK4	strict_external
MAP4K1_minus_TBX3	GSE78220	27	1	1	MAP4K1	TBX3	strict_external
map4k1_apm_minus_tbx3_ipres	GSE78220	27	5	5	MAP4K1,HLA-A,B2M,TAP1,CXCL9	TBX3,AXL,VIM,ZEB1,FN1	strict_external
cyt_apm_minus_ipres	GSE78220	27	6	5	GZMA,PRF1,HLA-A,B2M,TAP1,CXCL9	AXL,VIM,ZEB1,COL1A1,FN1	strict_external
immune_effector_minus_tumor	GSE78220	27	9	6	MAP4K1,CD8A,CD8B,GZMB,PRF1,NKG7,CXCL9,CXCL10,IFNG	TBX3,AXL,MITF,SOX10,WNT5A,PAK4	strict_external
MAP4K1_minus_TBX3	PRJEB23709_PD1_PRE	35	1	1	MAP4K1	TBX3	strict_external
map4k1_apm_minus_tbx3_ipres	PRJEB23709_PD1_PRE	35	5	5	MAP4K1,HLA-A,B2M,TAP1,CXCL9	TBX3,AXL,VIM,ZEB1,FN1	strict_external
cyt_apm_minus_ipres	PRJEB23709_PD1_PRE	35	6	5	GZMA,PRF1,HLA-A,B2M,TAP1,CXCL9	AXL,VIM,ZEB1,COL1A1,FN1	strict_external
immune_effector_minus_tumor	PRJEB23709_PD1_PRE	35	9	6	MAP4K1,CD8A,CD8B,GZMB,PRF1,NKG7,CXCL9,CXCL10,IFNG	TBX3,AXL,MITF,SOX10,WNT5A,PAK4	strict_external
MAP4K1_minus_TBX3	GSE145996	13	1	1	MAP4K1	TBX3	strict_external
map4k1_apm_minus_tbx3_ipres	GSE145996	13	3	5	MAP4K1,B2M,CXCL9	TBX3,AXL,VIM,ZEB1,FN1	strict_external
cyt_apm_minus_ipres	GSE145996	13	4	5	GZMA,PRF1,B2M,CXCL9	AXL,VIM,ZEB1,COL1A1,FN1	strict_external
immune_effector_minus_tumor	GSE145996	13	9	6	MAP4K1,CD8A,CD8B,GZMB,PRF1,NKG7,CXCL9,CXCL10,IFNG	TBX3,AXL,MITF,SOX10,WNT5A,PAK4	strict_external
MAP4K1_minus_TBX3	PHS000452_LIU_LIKE_PRE	103	1	1	MAP4K1	TBX3	strict_external
map4k1_apm_minus_tbx3_ipres	PHS000452_LIU_LIKE_PRE	103	5	5	MAP4K1,HLA-A,B2M,TAP1,CXCL9	TBX3,AXL,VIM,ZEB1,FN1	strict_external
cyt_apm_minus_ipres	PHS000452_LIU_LIKE_PRE	103	6	5	GZMA,PRF1,HLA-A,B2M,TAP1,CXCL9	AXL,VIM,ZEB1,COL1A1,FN1	strict_external
immune_effector_minus_tumor	PHS000452_LIU_LIKE_PRE	103	9	6	MAP4K1,CD8A,CD8B,GZMB,PRF1,NKG7,CXCL9,CXCL10,IFNG	TBX3,AXL,MITF,SOX10,WNT5A,PAK4	strict_external
