accession	name	cancer_type	therapy_registry	role	source_file	qc_status	n_metadata_rows	n_processed_samples	n_genes	response_raw_counts	processed_label_counts	evidence_field	decision	reason	next_action	geo_url
GSE91061	Riaz_antiPD1_melanoma	melanoma	anti-PD1	discovery_or_lodo	D:\EcoNiche-Opt\data\raw\GSE91061\suppl\GSE91061_BMS038109Sample.hg19KnownGene.fpkm.csv.gz	processed	109	49	22187	"{""PD"": 48, ""PR"": 23, ""SD"": 34, ""nan"": 4}"	"{""0.0"": 10, ""1.0"": 39}"	characteristics_ch1 visit_pre_or_on_treatment and response	usable_response_benchmark	Sample-level response labels and expression matrix are available after harmonization.	Keep in primary response benchmark if endpoint/setting matches registry role.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE91061
GSE78220	Hugo_antiPD1_melanoma	melanoma	anti-PD1	classic_external_benchmark	D:\EcoNiche-Opt\data\raw\GSE78220\suppl\GSE78220_PatientFPKM.xlsx	processed	28	27	25265	"{""CR"": 5, ""PD"": 13, ""PR"": 10}"	"{""0.0"": 14, ""1.0"": 13}"	clinical/FPKM workbook metadata response fields	usable_response_benchmark	Sample-level response labels and expression matrix are available after harmonization.	Keep in primary response benchmark if endpoint/setting matches registry role.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78220
GSE145996	JerbyArnon_or_related_melanoma_antiPD1	melanoma	anti-PD1	external_small	D:\EcoNiche-Opt\data\raw\GSE145996\suppl\GSE145996_Melanoma_Immune_FPKM.txt.gz	processed	14	14	19734	"{""nan"": 14}"	"{""0"": 8, ""1"": 6}"	MDPI Cancers supplementary workbook: SuppTable1 Patient Number/Best Response plus SuppTable2 Tumor ID number/RNASEQ; expression columns matched by MB tumor ID	usable_melanoma_response	Paper supplement maps RNA-seq tumor IDs to patient-level RECIST best response; expression columns match MB tumor IDs.	Include in melanoma endpoint-stratified analysis with explicit supplement citation/evidence.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145996
GSE168204	Du_pathway_signature_melanoma_antiPD1	melanoma	anti-PD1_based	pathway_signature_comparator	D:\EcoNiche-Opt\data\raw\GSE168204\suppl\GSE168204_MGH_counts.csv.gz	processed	27	21	75251	"{""NR"": 18, ""R"": 9}"	"{""0.0"": 9, ""1.0"": 12}"	series/sample metadata response fields	usable_response_benchmark	Sample-level response labels and expression matrix are available after harmonization.	Keep in primary response benchmark if endpoint/setting matches registry role.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168204
GSE115821	Auslander_IMPRES_melanoma	melanoma	ICB	IMPRES_comparator	D:\EcoNiche-Opt\data\raw\GSE115821\suppl\GSE115821_MGH_counts.csv.gz	processed	37	8	75249	"{""NR"": 34, ""R"": 3}"	"{""0.0"": 2, ""1.0"": 6}"	series/sample metadata response fields	usable_response_benchmark	Sample-level response labels and expression matrix are available after harmonization.	Keep in primary response benchmark if endpoint/setting matches registry role.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115821
GSE93157	Prat_mixed_antiPD1_panel	melanoma_NSCLC_HNSC	pembrolizumab_or_nivolumab	mixed_tumor_external	D:\EcoNiche-Opt\data\raw\GSE93157\suppl\GSE93157_raw_data_values.txt.gz	processed	65	65	770	"{""CR"": 3, ""PD"": 29, ""PR"": 17, ""SD"": 16}"	"{""0.0"": 20, ""1.0"": 45}"	characteristics_ch1 best.resp/drug/biopsy; expression columns matched by GEO sample order	usable_pan_cancer_response	Sample-level response labels, therapy, and expression sample matching are traceable from GEO metadata/supplementary files.	Include in real processed data and stratified pan-cancer LODO.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE93157
GSE244982	acquired_resistance_melanoma_progression	melanoma	ICB_progression	mechanism_only	D:\EcoNiche-Opt\data\raw\GSE244982\suppl\GSE244982_ProcessedData_bulkRNAseq.txt.gz	metadata_needs_manual_curation	41	0	18759	"{""nan"": 41}"	{}	response_raw harmonized from available sample metadata	exclude_primary_response	Registry and sample metadata describe acquired resistance/progression mechanism groups rather than primary binary ICB response.	Keep for mechanism analyses; exclude from primary response LODO.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE244982
GSE136961	NSCLC_antiPD1_DCB_NDB	NSCLC	anti-PD1	pan_cancer_external	D:\EcoNiche-Opt\data\raw\GSE136961\suppl\GSE136961_TPM.tsv.gz	processed	21	21	390	"{""DCB"": 9, ""NDB"": 12}"	"{""0.0"": 9, ""1.0"": 12}"	GEO sample title D/N durable clinical benefit encoding	usable_response_benchmark	Sample-level response labels and expression matrix are available after harmonization.	Keep in primary response benchmark if endpoint/setting matches registry role.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE136961
GSE176307	urothelial_ICB_real_world	urothelial_cancer	ICB	pan_cancer_external	D:\EcoNiche-Opt\data\raw\GSE176307\suppl\GSE176307_BACI_log_trans_normalized_RNAseq.csv.gz	processed	90	88	16383	"{""CR"": 7, ""PD"": 69, ""PR"": 9, ""SD"": 4, ""nan"": 1}"	"{""0.0"": 16, ""1.0"": 72}"	series/sample metadata response fields	usable_response_benchmark	Sample-level response labels and expression matrix are available after harmonization.	Keep in primary response benchmark if endpoint/setting matches registry role.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE176307
GSE67501	RCC_nivolumab_small	renal_cell_carcinoma	nivolumab	pan_cancer_external_small	D:\EcoNiche-Opt\data\raw\GSE67501\suppl\GSE67501_Non-normalized_data.txt.gz	processed	11	11	20819	"{""NR"": 7, ""R"": 4}"	"{""0.0"": 4, ""1.0"": 7}"	description (RCC sample ID); characteristics_ch1 response to anti-PD-1 nivolumab; GEO series design states pre-treatment tumors	usable_pan_cancer_response	Sample-level response labels, therapy, and expression sample matching are traceable from GEO metadata/supplementary files.	Include in real processed data and stratified pan-cancer LODO.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67501
GSE121810	glioblastoma_pembrolizumab	glioblastoma	pembrolizumab	pan_cancer_external_context_specific	D:\EcoNiche-Opt\data\raw\GSE121810\suppl\GSE121810_Prins.PD1NeoAdjv.Jul2018.HUGO.PtID.xlsx	metadata_needs_manual_curation	29	0	37036	"{""nan"": 29}"	{}	response_raw harmonized from available sample metadata	exclude_primary_response	GEO metadata describes neoadjuvant/adjuvant pembrolizumab treatment-arm and survival setting in recurrent glioblastoma, not per-sample RECIST response.	Use only as context-specific survival/mechanism cohort unless a traceable binary response table is added.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE121810
GSE140901	HCC_ICI_nCounter	hepatocellular_carcinoma	anti-PD1_or_anti-PDL1_based	pan_cancer_external	D:\EcoNiche-Opt\data\raw\GSE140901\suppl\GSE140901_processed_data.txt.gz	processed	24	24	784	"{""PD"": 8, ""PR"": 6, ""SD"": 10}"	"{""0.0"": 6, ""1.0"": 18}"	characteristics_ch1 best_response/clinical_benefit_response; title Sxx matched to expression column Sxx	usable_pan_cancer_response	Sample-level response labels, therapy, and expression sample matching are traceable from GEO metadata/supplementary files.	Include in real processed data and stratified pan-cancer LODO.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE140901
GSE165252	PERFECT_esophageal_atezolizumab	esophageal_cancer	atezolizumab_plus_chemoradiotherapy	pan_cancer_dynamic	D:\EcoNiche-Opt\data\raw\GSE165252\suppl\GSE165252_vst_PERFECT.txt.gz	processed	77	32	61475	"{""NR"": 48, ""R"": 23, ""nan"": 6}"	"{""0.0"": 12, ""1.0"": 20}"	characteristics_ch1 response; title sample_N baseline/on_treatment/resection; expression columns matched by GEO sample order	usable_secondary_dynamic_confounded	Binary pathologic response labels and baseline samples recovered, but therapy is atezolizumab plus chemoradiotherapy; keep as secondary/context-specific validation.	Use in pan-cancer/secondary analyses; report confounding explicitly.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165252
GSE183924	esophageal_GEj_durvalumab	esophageal_or_GEj_adenocarcinoma	durvalumab	survival_external	D:\EcoNiche-Opt\data\raw\GSE183924\suppl\GSE183924_FPKM.txt.gz	metadata_needs_manual_curation	37	0	28052	"{""nan"": 37}"	{}	response_raw harmonized from available sample metadata	survival_only_not_response	Clinical workbook contains relapse/RFS/OS fields but no CR/PR/SD/PD or DCB/NDB response endpoint.	Use in survival analyses, not response classification.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE183924
GSE123728	melanoma_ICB_public_candidate	melanoma	ICB	candidate_external_requires_metadata_curation		missing_expression_file	0	0	0	{}	{}	response_raw harmonized from available sample metadata	missing_expression_file	No public expression matrix is present locally for this accession.	Download/verify expression data before curation.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123728
GSE165745	melanoma_ICB_public_candidate	melanoma	ICB	candidate_external_requires_metadata_curation		missing_expression_file	0	0	0	{}	{}	response_raw harmonized from available sample metadata	missing_expression_file	No public expression matrix is present locally for this accession.	Download/verify expression data before curation.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165745
GSE122220	melanoma_ICB_public_candidate	melanoma	ICB	candidate_external_requires_metadata_curation		missing_expression_file	0	0	0	{}	{}	response_raw harmonized from available sample metadata	missing_expression_file	No public expression matrix is present locally for this accession.	Download/verify expression data before curation.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122220
