cell_type	state	mean	median	count
?	antigen_presentation_mhc	3.11578359033079	3.3140540681570227	307
?	caf_ecm_exclusion	0.6850252769480438	0.21076128873915798	307
?	myeloid_suppression	0.6394886937210953	0.268397149445724	307
?	tcell_dysfunction	0.5476949750916642	0.1547992650222346	307
?	tnk_effector	0.6111916574587489	0.0	307
?	tumor_dedifferentiation	0.9333661848579975	0.8057011004964199	307
B.cell	antigen_presentation_mhc	4.0763810748116756	4.1323831697478255	818
B.cell	caf_ecm_exclusion	0.8712172362351864	0.7644534443232289	818
B.cell	myeloid_suppression	0.35086392555040236	0.318527142978392	818
B.cell	tcell_dysfunction	0.35232443662783247	0.1885216672223328	818
B.cell	tnk_effector	0.1482891403115956	0.0	818
B.cell	tumor_dedifferentiation	1.0264875860638591	1.080542774069151	818
CAF	antigen_presentation_mhc	2.5939674808419313	2.69372100457377	106
CAF	caf_ecm_exclusion	0.301244741854516	0.0	106
CAF	myeloid_suppression	0.213627829097511	0.1613515419207101	106
CAF	tcell_dysfunction	0.1285418798864109	0.0514882741969952	106
CAF	tnk_effector	0.02222936273282603	0.0	106
CAF	tumor_dedifferentiation	1.1271717792767484	1.169465071964285	106
Endo.	antigen_presentation_mhc	4.373573725455506	4.476712073168872	104
Endo.	caf_ecm_exclusion	0.6601042645224937	0.6344841466000773	104
Endo.	myeloid_suppression	0.2961540605416332	0.20812257618660499	104
Endo.	tcell_dysfunction	0.20981959357830646	0.12877122318174689	104
Endo.	tnk_effector	0.04436183007558328	0.0	104
Endo.	tumor_dedifferentiation	0.9974652501667235	0.9216655078825203	104
Macrophage	antigen_presentation_mhc	5.001398103646217	5.227600983517206	420
Macrophage	caf_ecm_exclusion	1.0754214534497604	1.0265795308815981	420
Macrophage	myeloid_suppression	2.9507259285077323	2.8437094905270204	420
Macrophage	tcell_dysfunction	0.875074670207021	0.830944402073886	420
Macrophage	tnk_effector	0.5073914060795234	0.0	420
Macrophage	tumor_dedifferentiation	1.464765806501472	1.4534060004807436	420
Mal	antigen_presentation_mhc	2.9877837603862214	3.174676043571909	2018
Mal	caf_ecm_exclusion	0.38990517876611935	0.0	2018
Mal	myeloid_suppression	0.1755434461702751	0.0996501554280945	2018
Mal	tcell_dysfunction	0.12125910356170203	0.038059758325319	2018
Mal	tnk_effector	0.05144280179115324	0.0	2018
Mal	tumor_dedifferentiation	0.5673548421069978	0.4203038282185294	2018
NK	antigen_presentation_mhc	5.379257977837196	5.205364560880325	92
NK	caf_ecm_exclusion	1.708090182273928	1.4608456072024358	92
NK	myeloid_suppression	0.4807298074128988	0.34017669755540303	92
NK	tcell_dysfunction	1.446870229946974	1.336417910673284	92
NK	tnk_effector	5.681872558461493	5.83153069501032	92
NK	tumor_dedifferentiation	1.582679825788054	1.543360371656958	92
T.CD4	antigen_presentation_mhc	5.439158853269247	5.516819951468012	856
T.CD4	caf_ecm_exclusion	2.7502183953058585	2.813004799820302	856
T.CD4	myeloid_suppression	0.35893218256715753	0.289726947283353	856
T.CD4	tcell_dysfunction	1.8764501100578643	1.6312860954245894	856
T.CD4	tnk_effector	0.4703812880890118	0.0	856
T.CD4	tumor_dedifferentiation	1.8186094325829192	1.804858946362365	856
T.CD8	antigen_presentation_mhc	6.081113145777197	6.210703954787964	1759
T.CD8	caf_ecm_exclusion	3.2044347950970558	3.3106069904890196	1759
T.CD8	myeloid_suppression	0.34526720664563126	0.300364253084182	1759
T.CD8	tcell_dysfunction	3.1306978355766333	3.134697047371065	1759
T.CD8	tnk_effector	3.6576563613788196	3.5695613461822844	1759
T.CD8	tumor_dedifferentiation	2.277560347400637	2.336243645592794	1759
T.cell	antigen_presentation_mhc	5.113372649511914	5.150515086011968	706
T.cell	caf_ecm_exclusion	2.4919675544263153	2.586235108964273	706
T.cell	myeloid_suppression	0.3648426890888865	0.28665668552427315	706
T.cell	tcell_dysfunction	1.6765472253482412	1.341017013942191	706
T.cell	tnk_effector	1.086672158950994	0.0	706
T.cell	tumor_dedifferentiation	1.7345363226725927	1.6429393683322733	706
