perturbation_id	perturbation_name	target_gene	mechanism	reversal_score	depmap_score	dgidb_evidence	target_state	priority_score	status	interpretation
LJP005;LJP007;LJP008;LJP009	dasatinib	CD163;GZMB;HLA-B;PRF1;PSMB9;S100A9;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	8399.260227178529	-0.022772188362304956	AXL:interaction:DTC	EcoNiche module-derived resistance signature	8409.260227178529	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	KIN001-043	GNLY;GZMB;NKG7;PRF1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	7561.105067928693	-0.009918188361694395		EcoNiche module-derived resistance signature	7561.105067928693	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005;LJP006;LJP008	mitoxantrone	AXL;GNLY;GZMB;HLA-A;HLA-B;NKG7;PSMB9;S100A8;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	5343.710784556607	0.005511323700645923		EcoNiche module-derived resistance signature	5343.7658977936135	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP007	AZ-628	CD163;GNLY;GZMB;PRF1;S100A9;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	5304.722910900314	-0.0010443942517725016		EcoNiche module-derived resistance signature	5304.722910900314	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP009	AZD7762	GNLY;GZMB;PRF1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	3987.7797937326095	0.05642166864966527		EcoNiche module-derived resistance signature	3988.3440104191063	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	NVP-AUY922	GZMB;S100A9;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	3917.0422623651525	-0.013680949509360468		EcoNiche module-derived resistance signature	3917.0422623651525	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005;LJP006;LJP007;LJP008;LJP009	CGP-60474	AXL;CD163;CD3D;CD3E;GNLY;GZMB;HLA-B;NKG7;PSMB9;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	3797.349435107101	-0.009718999110302148		EcoNiche module-derived resistance signature	3797.349435107101	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP008;LJP009	olaparib	HLA-B;PSMB9;S100A8	LINCS Enrichr signature reversal (upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_up)	3442.2284199038268	-0.0082302093933272		EcoNiche module-derived resistance signature	3442.2284199038268	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	BMS-387032	AXL;CD3D;GNLY;HLA-B;NKG7;PSMB9;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	3413.1161874251093	-0.0037974730530125414		EcoNiche module-derived resistance signature	3413.1161874251093	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	AZD-5438	AXL;GNLY;GZMB;ITGB7;NKG7;PSMB9;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	3295.7666321619367	-0.00823791804541741		EcoNiche module-derived resistance signature	3295.7666321619367	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	AT-7519	AXL;CD3D;HLA-B;PSMB9	LINCS Enrichr signature reversal (upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_up)	2481.7829244491027	0.03548159869336113		EcoNiche module-derived resistance signature	2482.1377404360364	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	CYT387	GNLY;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	2320.241457120753	0.020214526625620545		EcoNiche module-derived resistance signature	2320.443602387009	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	alvocidib	AXL;CD3D;GZMB;HLA-B;NKG7;PSMB9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	2234.932148170935	-0.0021689243027112116		EcoNiche module-derived resistance signature	2234.932148170935	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	SAR-245408	GNLY;NKG7;PRF1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	2147.639817881552	-0.031223524084279728		EcoNiche module-derived resistance signature	2147.639817881552	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005;LJP006;LJP008;LJP009	PD-0325901	CD3D;GZMB;HLA-A;HLA-B;PSMB9;S100A8;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	2141.665561090455	0.039524828566494294		EcoNiche module-derived resistance signature	2142.06080937612	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	TG-101348	GNLY;GZMB	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	2108.670534915746	0.0851698687060263		EcoNiche module-derived resistance signature	2109.5222336028064	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	linsitinib	GZMB;HLA-B;PRF1;PSMB9;S100A9;TAP1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	2108.49735634511	-0.010393459979561766		EcoNiche module-derived resistance signature	2108.49735634511	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	PF-562271	AXL;HLA-B;NKG7;S100A9;TAP1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	2080.3432217084614	-0.05389371587295609	AXL:interaction:DTC	EcoNiche module-derived resistance signature	2090.3432217084614	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	OSI-027	S100A9;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	2015.5024106854	-0.04752033366707151		EcoNiche module-derived resistance signature	2015.5024106854	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP009	GSK-429286A	S100A8	LINCS Enrichr signature reversal (upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_up)	1994.7293337992112	0.0121064062395271		EcoNiche module-derived resistance signature	1994.8503978616066	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	selumetinib	GNLY;HLA-A;HLA-B;NKG7;PRF1;PSMB9;S100A8;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	1989.8552872658195	0.0036488418438134105		EcoNiche module-derived resistance signature	1989.8917756842577	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	A443654	AXL;CD163;CD3D;HLA-B;PSMB9;S100A8;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	1813.6847261710009	-0.0003386812096094443		EcoNiche module-derived resistance signature	1813.6847261710009	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP009	dabrafenib	GNLY;GZMB;PRF1;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1788.1338797886938	0.023338035148561472		EcoNiche module-derived resistance signature	1788.3672601401795	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	YM-201636	GNLY;GZMB;PRF1;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1781.6692644151392	0.023338035148561472		EcoNiche module-derived resistance signature	1781.902644766625	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP007	WZ-7043	GNLY;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1775.908514460057	0.020214526625620545		EcoNiche module-derived resistance signature	1776.110659726313	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	AS-605240	GNLY;PSMB9;S100A8;S100A9;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	1731.134539862112	0.0001556643843102404		EcoNiche module-derived resistance signature	1731.136096505955	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP007	KIN001-266	GNLY;GZMB;PRF1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1715.9136392053172	0.05642166864966527		EcoNiche module-derived resistance signature	1716.4778558918138	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP007	tivantinib	GNLY;GZMB	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1707.1440599203274	0.0851698687060263		EcoNiche module-derived resistance signature	1707.9957586073876	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP008	I-BET151	CD163;S100A9;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1637.544059049697	-0.058510457153210266		EcoNiche module-derived resistance signature	1637.544059049697	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP009	PF 573228	GNLY;GZMB;HLA-A;HLA-B	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	1473.0944275217976	0.08321294393627224		EcoNiche module-derived resistance signature	1473.9265569611603	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP007	SB-525334	S100A9;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1334.1875126889731	-0.04752033366707151		EcoNiche module-derived resistance signature	1334.1875126889731	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	XMD16-144	GNLY;GZMB;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1282.315870553066	0.0314756240191009		EcoNiche module-derived resistance signature	1282.6306267932569	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP008	AZ20	CD163;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1268.042169137566	-0.07820178474011885		EcoNiche module-derived resistance signature	1268.042169137566	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	ZSTK-474	GZMB;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1253.43650723337	-0.010957523274344152		EcoNiche module-derived resistance signature	1253.43650723337	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	TWS-119	GNLY;PRF1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1181.011696443937	0.0576335935714671		EcoNiche module-derived resistance signature	1181.5880323796516	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	afatinib	NKG7;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1147.5328828164716	-0.14242531237526165		EcoNiche module-derived resistance signature	1147.5328828164716	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
